nID,Name,catID,RAJ2000,DEJ2000,CHB,12+logOHPG16S,12+logOHPG16R,12+logOHN2,12+logOHO3N2,12+logOHIZI,IZIchi2,12+logOHKK04,12+logOHT04,logNOPG16,r/r25,r/app,Ref
1,ESO097-013,ESO097-013-305,213.2849007,-65.3485923,0.0,8.593193,,8.793354,8.820155,8.91248,0.090784,,9.117844,,0.139337911979412,0.0908792314614837,MUSE
2,ESO097-013,ESO097-013_2-78,213.2849007,-65.3469256,0.0,8.540963,,8.771665,8.780433,8.79921,0.0645835,,9.066235,,0.116297480737994,0.0758517586508492,MUSE
3,ESO097-013,ESO097-013-226,213.2968792,-65.3285918,0.0,8.580069,,8.778853,8.724393,8.88012,0.39185,,8.997122,,0.150373999368448,0.0980772088533479,MUSE
4,ESO097-013,ESO097-013-218,213.2968852,-65.3419251,0.552066,8.638968,,8.81877,8.825433,8.8963,0.144661,,9.124893,,0.063894234519266,0.04167321617959,MUSE
5,ESO097-013,ESO097-013_2-56,213.2928919,-65.3469254,0.025807,8.651548,,8.874037,8.790495,8.83157,0.290115,,9.07908,,0.119542516478338,0.077968241881853,MUSE
6,ESO097-013,ESO097-013-219,213.2968845,-65.3402585,0.298117,8.642458,,8.829324,8.834995,8.91248,0.204602,,9.137787,,0.0466613662463456,0.0304335628629004,MUSE
7,ESO097-013,ESO097-013_2-10,213.3128541,-65.331923,0.0,8.456544,,8.795764,8.774464,8.83157,0.455531,,9.058684,,0.165463604284819,0.107918978967284,MUSE
8,ESO097-013,ESO097-013_2-37,213.3008801,-65.3419248,0.743618,8.617176,,8.839834,8.785805,8.83157,0.283141,,9.073074,,0.0869538869758142,0.0567132254868176,MUSE
9,ESO097-013,ESO097-013-247,213.2928909,-65.3435921,0.433678,8.644587,,8.849263,8.770466,8.83157,0.233486,,9.053653,,0.0707769995806172,0.0461623059773327,MUSE
10,ESO097-013,ESO097-013_2-50,213.2968837,-65.3385918,0.623713,8.634557,,8.863884,8.793432,8.83157,0.270958,,9.082857,,0.0384475412928313,0.0250763267128077,MUSE
11,ESO097-013,ESO097-013-306,213.2849007,-65.3469256,0.207588,,,8.846532,8.812215,8.8963,0.202747,,9.107328,,0.116297480737994,0.0758517586508492,MUSE
12,ESO097-013,ESO097-013_2-5,213.3128629,-65.3402564,0.0,,,8.799865,8.763163,8.8963,0.267288,,9.044519,,0.156250282142371,0.101909848906282,MUSE
13,ESO097-013,ESO097-013-402,213.2689141,-65.3535914,0.499719,,,9.002002,,8.94485,0.513042,,,,0.239192393961508,0.156006506957462,MUSE
14,ESO097-013,ESO097-013-242,213.2928934,-65.3519254,0.461728,,,9.236982,,8.96103,2.54071,,,,0.193022277733385,0.125893348092851,MUSE
15,ESO097-013,ESO097-013-354,213.2769064,-65.3569254,0.42307,,,9.356891,,8.96103,1.67652,,,,0.262929023827886,0.171488055726909,MUSE
16,ESO097-013,ESO097-013-275,213.2888965,-65.3485922,0.0,,,8.839956,8.85832,8.92867,0.207726,,9.169943,,0.13888931254868,0.0905866451084965,MUSE
17,ESO097-013,ESO097-013_2-12,213.3088744,-65.3469237,0.0,8.456426,,8.708749,8.700131,8.84775,0.361883,,8.968268,,0.186316982143165,0.121520007762825,MUSE
18,ESO097-013,ESO097-013_2-67,213.2888963,-65.3469256,0.0,8.574314,,8.818915,8.774767,8.81539,0.0968289,,9.059065,,0.114544779008704,0.0747086082772263,MUSE
19,ESO097-013,ESO097-013_2-49,213.2968845,-65.3402585,0.232436,8.620104,,8.803196,8.84146,8.91248,0.14376,,9.146599,,0.0466613662463456,0.0304335628629004,MUSE
20,ESO097-013,ESO097-013_2-48,213.2968852,-65.3419251,0.52693,8.62515,,8.803868,8.824136,8.8963,0.115592,,9.123157,,0.063894234519266,0.04167321617959,MUSE
21,ESO116-012,ESO116-012,48.2697917,-57.3572222,1.210455,,,8.62784,,8.5241,0.0400542,,,,0.00834994385712113,0.0047249602022008,6df
22,ESO149-001,ESO149-001,356.9530833,-57.0725,0.0,,,8.257637,8.286116,8.23282,0.485718,,8.47071,,0.00604377229255953,0.003257908330569,6df
23,ESO157-047,ESO157-047,69.8300833,-54.2108889,0.097501,,,8.264233,8.248596,8.31373,1.5032,,8.415721,,0.0199330451158994,0.00965876916882045,6df
24,ESO157-049,ESO157-049,69.9036667,-53.0126389,0.098038,,,8.263847,8.250427,8.31373,1.46589,,8.418476,,0.00354067859147941,0.00193706546334781,6df
25,ESO157-049,ESO157-049-115,69.9051871,-53.0104386,0.947475,8.435599,,8.594952,8.645229,8.49174,0.0697942,,8.904675,,0.174582747379572,0.0955122589379237,MUSE
26,ESO157-049,ESO157-049-100,69.9070335,-53.0071052,0.610336,8.439462,,8.711986,8.692409,8.55647,0.86728,,8.959195,,0.431750849135243,0.236206037069726,MUSE
27,ESO157-049,ESO157-049-129,69.9033403,-53.0148831,0.357563,8.458005,,8.727234,8.696234,8.55647,0.809914,,8.963683,,0.174235176979313,0.0953221070783212,MUSE
28,ESO157-049,ESO157-049-110,69.9051873,-53.0159942,0.230846,8.43683,,8.688066,8.647443,8.54029,1.23,,8.907204,,0.2970766755601,0.162527310323643,MUSE
29,ESO157-049,ESO157-049-133,69.9033404,-53.0104386,0.411377,8.454442,,8.735084,8.711094,8.57265,0.813701,,8.981238,,0.182604411784198,0.0999008213773842,MUSE
30,ESO157-049,ESO157-049-114,69.9051871,-53.0115497,0.675248,8.437026,,8.615626,8.695332,8.49174,0.0582439,,8.962623,,0.101741771287621,0.0556617795852338,MUSE
31,ESO157-049,ESO157-049-178,69.8977989,-53.0204385,0.455523,8.395965,,8.608081,8.653606,8.50792,0.302921,,8.914259,,0.610248373252926,0.333860026362492,MUSE
32,ESO157-049,ESO157-049-179,69.897799,-53.0193274,0.597503,8.417572,,8.552954,8.610795,8.45937,0.053506,,8.865585,,0.532284412815766,0.291206819852286,MUSE
33,ESO157-049,ESO157-049-111,69.9051872,-53.014883,0.182323,8.478465,,8.808319,8.708127,8.57265,2.10775,,8.977717,,0.21217124441959,0.116076503207536,MUSE
34,ESO157-049,ESO157-049_full,69.9029336,-53.0129856,0.720238,8.447497,,8.63869,8.661198,8.54029,0.128153,,8.922975,,0.035563548262813,0.0194564175522111,MUSE
35,ESO157-049,ESO157-049-128,69.9033403,-53.0159942,0.254256,8.430067,,8.664501,8.648264,8.5241,0.851272,,8.908144,,0.263086017968142,0.143931403579576,MUSE
36,ESO157-049,ESO157-049-160,69.899646,-53.0204385,0.322591,8.449443,,8.695395,8.657839,8.54029,0.724848,,8.919114,,0.599535315506435,0.327999032874544,MUSE
37,ESO157-049,ESO157-049-145,69.9014933,-53.0171053,0.389587,8.426584,,8.613469,8.664744,8.50792,0.110994,,8.927058,,0.342049429924819,0.187131398783172,MUSE
38,ESO157-049,ESO157-049-182,69.8977995,-53.015994,0.475644,8.417807,,8.629629,8.637924,8.50792,0.503134,,8.896346,,0.333377570754968,0.182387122095263,MUSE
39,ESO157-049,ESO157-049-117,69.905187,-53.0082164,0.399059,8.440722,,8.758607,8.764675,8.58883,0.729998,,9.046404,,0.343887885178377,0.188137196989806,MUSE
40,ESO157-049,ESO157-049-95,69.907034,-53.0126608,0.203399,8.490408,,8.801562,8.717486,8.57265,1.42584,,8.98885,,0.168722671311221,0.092306277182926,MUSE
41,ESO157-049,ESO157-049-196,69.8959517,-53.0204384,0.83732,8.402725,,8.55952,8.645591,8.45937,0.0628332,,8.905089,,0.633935323365991,0.346818890549283,MUSE
42,ESO157-049,ESO157-049-181,69.8977993,-53.0171051,1.007363,8.425735,,8.551394,8.613155,8.45937,0.0340094,,8.868252,,0.390762657840896,0.213781858283083,MUSE
43,ESO157-049,ESO157-049-200,69.8959525,-53.0159939,0.214332,8.419147,,8.662927,8.652339,8.54029,0.838854,,8.912807,,0.39765931296317,0.217554940788263,MUSE
44,ESO157-049,ESO157-049-162,69.8996462,-53.0182163,0.586446,8.416893,,8.559945,8.63278,8.44319,0.0569854,,8.890493,,0.434014165390912,0.237444271955558,MUSE
45,ESO157-049,ESO157-049-148,69.9014935,-53.0137719,0.716164,8.439598,,8.645247,8.693295,8.5241,0.123067,,8.960234,,0.11649930145859,0.0637354584803727,MUSE
46,ESO157-049,ESO157-049-79,69.9088804,-53.0093274,0.808849,8.425784,,8.656571,8.679174,8.54029,0.350194,,8.943753,,0.318544506277334,0.174272119229885,MUSE
47,ESO157-049,ESO157-049-96,69.9070339,-53.0115497,0.272216,8.47137,,8.754163,8.702617,8.57265,0.95371,,8.9712,,0.168440937072082,0.0921521435471332,MUSE
48,ESO157-049,ESO157-049-180,69.8977992,-53.0182162,0.892497,8.420098,,8.540795,8.624826,8.41083,0.0650631,,8.881464,,0.458356651242783,0.250761772377417,MUSE
49,ESO157-049,ESO157-049-127,69.9033403,-53.0171053,0.218254,8.423699,,8.652804,8.651293,8.5241,0.671731,,8.911609,,0.352011078400764,0.192581304704371,MUSE
50,ESO157-049,ESO157-049-201,69.8959527,-53.0148828,0.215352,8.438784,,8.72894,8.673543,8.55647,1.33417,,8.937222,,0.36986264972872,0.202347698742251,MUSE
51,ESO157-049,ESO157-049-146,69.9014934,-53.0159941,0.565563,8.432936,,8.613541,8.667012,8.50792,0.0811511,,8.929673,,0.2582278187953,0.141273537413915,MUSE
52,ESO157-049,ESO157-049-116,69.905187,-53.0093275,0.595794,8.447267,,8.686022,8.706504,8.55647,0.258653,,8.975794,,0.257775675472571,0.141026174883735,MUSE
53,ESO157-049,ESO157-049-80,69.9088802,-53.0082163,1.023193,8.457664,,8.590064,8.642226,8.70211,0.104933,,8.901249,,0.380157136983234,0.207979697018395,MUSE
54,ESO157-049,ESO157-049-163,69.8996463,-53.0171052,0.742516,8.430015,,8.561089,8.625713,8.44319,0.0585497,,8.88247,,0.355798046167882,0.194653112207641,MUSE
55,ESO157-049,ESO157-049-132,69.9033404,-53.0115497,0.696367,8.434076,,8.633247,8.707744,8.50792,0.075532,,8.977263,,0.0939998293384592,0.0514262501573285,MUSE
56,ESO157-049,ESO157-049-215,69.8941051,-53.018216,0.436088,8.39241,,8.658451,8.690621,8.55647,0.647532,,8.957102,,0.550513254216405,0.301179614106753,MUSE
57,ESO157-049,ESO157-049-197,69.8959519,-53.0193272,0.729538,8.417878,,8.549957,8.637125,8.42701,0.0777863,,8.895436,,0.563185844998274,0.308112646094964,MUSE
58,ESO157-049,ESO157-049-214,69.8941049,-53.0193271,0.602333,,,8.697618,8.699571,8.57265,0.417786,,8.967608,,0.606250965142968,0.331673089312815,MUSE
59,ESO157-049,ESO157-049-61,69.910727,-53.0093273,0.840567,,,8.658355,8.73577,8.57265,0.400223,,9.010853,,0.379127807186725,0.207416562255468,MUSE
60,ESO157-049,ESO157-049-47,69.9125732,-53.0071049,1.754764,,,8.526536,8.471373,8.47556,0.3216,,8.707087,,0.535650850415572,0.293048560027401,MUSE
61,ESO157-049,ESO157-049-48,69.912573,-53.0059938,0.448367,,,8.736066,,8.65356,0.0877037,,,,0.594046974425932,0.32499642315343,MUSE
62,ESO157-049,ESO157-049-62,69.9107268,-53.0082162,1.335049,,,8.615131,8.634342,8.5241,0.34026,,8.89227,,0.427089228394456,0.233655716754876,MUSE
63,ESO157-049,ESO157-049-198,69.8959521,-53.0182161,0.558774,8.397298,,8.597712,8.666255,8.49174,0.156014,,8.928799,,0.498320068642705,0.272625308883959,MUSE
64,ESO157-049,ESO157-049-167,69.8996467,-53.0126608,0.194351,8.492973,,8.814939,8.709899,8.57265,1.92212,,8.979818,,0.19466754924776,0.106500428304857,MUSE
65,ESO157-049,ESO157-049-144,69.9014933,-53.0182164,0.263043,8.426436,,8.632073,8.640925,8.5241,0.429453,,8.899765,,0.427966100075645,0.234135443396404,MUSE
66,ESO157-049,ESO157-049-131,69.9033404,-53.0126608,0.955444,8.448194,,8.582345,8.661436,8.73448,0.0989267,,8.923249,,0.0129905424215864,0.00710697975680859,MUSE
67,ESO157-049,ESO157-049-183,69.8977996,-53.0148829,0.215458,8.439027,,8.718663,8.691868,8.55647,0.980183,,8.958561,,0.292277723877651,0.159901857794086,MUSE
68,ESO157-049,ESO157-049-149,69.9014935,-53.0126608,0.467947,8.454212,,8.696422,8.697312,8.55647,0.378207,,8.96495,,0.103820875515589,0.0567992341410888,MUSE
69,ESO157-049,ESO157-049-143,69.9014932,-53.0193275,0.192157,8.424549,,8.662441,8.646254,8.5241,1.04134,,8.905846,,0.514930198479179,0.281712524234538,MUSE
70,ESO157-049,ESO157-049-165,69.8996465,-53.014883,0.581845,8.44245,,8.65863,8.678705,8.54029,0.262951,,8.943209,,0.224860789352084,0.123018810621004,MUSE
71,ESO157-049,ESO157-049-98,69.9070337,-53.0093275,1.131631,8.494291,,8.607806,8.632982,8.71829,0.05157,,8.890723,,0.275149577473178,0.150531241401197,MUSE
72,ESO157-049,ESO157-049-147,69.9014934,-53.014883,0.578528,8.451596,,8.63937,8.666281,8.55647,0.111838,,8.92883,,0.179461317956648,0.0981812700698861,MUSE
73,ESO157-049,ESO157-049-164,69.8996464,-53.0159941,0.999364,8.449822,,8.577751,8.657868,8.75066,0.114529,,8.919148,,0.284001660774775,0.155374116686027,MUSE
74,ESO157-049,ESO157-049-97,69.9070338,-53.0104386,0.614203,8.462394,,8.710818,8.687285,8.55647,0.543529,,8.953201,,0.210045229578862,0.114913384382673,MUSE
75,ESO157-049,ESO157-049-112,69.9051872,-53.0137719,0.228795,8.464309,,8.750183,8.724996,8.58883,0.714819,,8.997846,,0.132740868912085,0.0726210374935337,MUSE
76,ESO157-049,ESO157-049-161,69.8996461,-53.0193274,0.246865,8.406136,,8.619066,8.655597,8.5241,0.351451,,8.916541,,0.51573741422252,0.282154142895339,MUSE
77,ESO157-049,ESO157-049-99,69.9070336,-53.0082163,0.694475,8.442854,,8.609501,8.707555,8.73448,0.0825424,,8.977039,,0.350909136962727,0.191978444928454,MUSE
78,ESO157-049,ESO157-049-199,69.8959523,-53.017105,0.269443,8.392755,,8.61616,8.657817,8.5241,0.419873,,8.91909,,0.441936382566554,0.241778427933739,MUSE
79,ESO157-049,ESO157-049-113,69.9051872,-53.0126608,0.409608,8.445774,,8.653749,8.712156,8.54029,0.07454,,8.982499,,0.077878463809545,0.0426064322661435,MUSE
80,ESO157-049,ESO157-049-78,69.9088805,-53.0104385,0.444172,8.452229,,8.77588,8.733526,8.57265,1.42069,,9.008133,,0.272513530941271,0.149089089970388,MUSE
81,ESO157-049,ESO157-049-134,69.9033404,-53.0093275,0.304537,8.472404,,8.797889,8.712454,8.57265,1.96441,,8.982854,,0.271466323916998,0.148516174777076,MUSE
82,ESO157-049,ESO157-049-130,69.9033403,-53.0137719,0.577399,8.457453,,8.682745,8.703919,8.57265,0.177651,,8.972738,,0.0856897340732609,0.0468798904357532,MUSE
83,ESO157-049,ESO157-049-184,69.8977998,-53.0137718,0.185446,8.474817,,8.797476,8.698318,8.55647,2.36567,,8.966134,,0.27486804896193,0.150377220316821,MUSE
84,ESO157-049,ESO157-049-166,69.8996466,-53.0137719,0.328357,8.47746,,8.787414,8.700779,8.57265,1.62612,,8.969031,,0.190548010797064,0.104246675118397,MUSE
85,ESO157-049,ESO157-049-150,69.9014936,-53.0115497,0.246008,8.489322,,8.789686,8.708895,8.57265,1.32995,,8.978628,,0.1543581079832,0.0844475860309693,MUSE
86,ESO240-004,ESO240-004,351.9717083,-51.1321944,0.089705,,,8.243679,8.244305,8.31373,1.22763,,8.40923,,0.0329613743122019,0.0224482031536031,6df
87,ESO358-015,ESO358-015,53.2785417,-34.8081111,0.0,,,8.627945,8.537955,8.50792,0.323468,,8.78343,,0.130295215081656,0.0537373878920771,6df
88,ESO358-019,ESO358-019,53.6285833,-34.2975833,0.0,,,8.629821,8.537878,8.50792,0.333867,,8.783343,,0.00862688380065139,0.00390123502304688,6df
89,ESO358-051,ESO358-051,55.3858333,-34.8883333,0.0,,,8.459365,8.544177,8.26519,0.182414,,8.790468,,0.0041316997567089,0.00222170776760272,6df
90,ESO358-051,ESO358-051_2-72,55.384394,-34.8889631,0.126077,8.294645,,8.458388,8.524451,8.42701,0.763225,,8.768116,,0.113048560536877,0.0607887503571044,MUSE
91,ESO358-051,ESO358-051-44,55.388441,-34.887271,0.213027,8.273526,,8.472647,8.50253,8.45937,2.30313,,8.7431,,0.203906607277385,0.10964516299087,MUSE
92,ESO358-051,ESO358-051_2-101,55.3803311,-34.8889887,0.0,8.252391,,8.553816,8.585882,8.47556,2.10886,,8.837487,,0.388648619599238,0.208985092788904,MUSE
93,ESO358-051,ESO358-051_2-73,55.3843782,-34.8872968,0.121722,8.277471,,8.488874,8.612725,8.45937,0.467126,,8.867765,,0.137922868402181,0.0741642244361086,MUSE
94,ESO358-051,ESO358-051-73,55.3843782,-34.8872968,0.135176,8.28268,,8.483014,8.606906,8.44319,0.414993,,8.861192,,0.137922868402181,0.0741642244361086,MUSE
95,ESO358-051,ESO358-051_2-60,55.3863778,-34.8839512,0.160993,8.237332,,8.4655,8.580519,8.47556,0.990354,,8.831446,,0.378039762001968,0.203280471757094,MUSE
96,ESO358-051,ESO358-051-77,55.3843147,-34.8806313,0.034353,8.233278,,8.45635,8.470742,8.47556,4.08119,,8.706351,,0.666946695526413,0.358632219493193,MUSE
97,ESO358-051,ESO358-051_2-43,55.388457,-34.8889374,0.196411,8.255221,,8.420361,8.505567,8.42701,0.746527,,8.746579,,0.188017946012666,0.101101472929336,MUSE
98,ESO358-051,ESO358-051_2-55,55.3864573,-34.892283,0.048309,8.275302,,8.467546,8.519292,8.45937,1.50267,,8.762247,,0.334271688172647,0.179745395317496,MUSE
99,ESO358-051,ESO358-051-117,55.3762682,-34.8890142,0.0,8.187578,,8.509903,8.698218,8.3461,0.180924,,8.966016,,0.670935785619584,0.360777242841338,MUSE
100,ESO358-051,ESO358-051_2_full,55.3850911,-34.8886563,0.147811,8.284644,,8.423363,8.495193,8.41083,0.5806,,8.734674,,0.0579329225420406,0.0311518337707341,MUSE
101,ESO358-051,ESO358-051-78,55.3842988,-34.878965,0.058761,8.28192,,8.442202,8.382639,8.44319,4.96814,,8.59982,,0.807138398346961,0.434016447159813,MUSE
102,ESO358-051,ESO358-051_2-57,55.3864255,-34.8889503,0.168837,8.285911,,8.442803,8.53548,8.41083,0.450932,,8.780628,,0.0629332411447813,0.0338406174032231,MUSE
103,ESO358-051,ESO358-051-42,55.3884729,-34.8906037,0.135269,8.253777,,8.337983,8.377973,8.37846,0.609373,,8.593924,,0.263070567870099,0.141458953573677,MUSE
104,ESO358-051,ESO358-051_2-78,55.3842988,-34.878965,0.044936,8.273917,,8.438244,8.384695,8.44319,5.42694,,8.602409,,0.807138398346961,0.434016447159813,MUSE
105,ESO358-051,ESO358-051-62,55.3863459,-34.8806185,0.109334,8.26796,,8.436194,8.442578,8.47556,2.56885,,8.673163,,0.660273823306382,0.355044066210905,MUSE
106,ESO358-051,ESO358-051_2-56,55.3864414,-34.8906166,0.105138,8.270453,,8.417226,8.452312,8.44319,1.38122,,8.68471,,0.194442198455587,0.104555937772843,MUSE
107,ESO358-051,ESO358-051-70,55.3844258,-34.8922958,0.164897,8.302933,,8.381187,8.458726,8.3461,0.158839,,8.692274,,0.347191934687864,0.186692902090124,MUSE
108,ESO358-051,ESO358-051-41,55.3884889,-34.8922701,0.096194,8.260088,,8.443253,8.49163,8.45937,1.60712,,8.73057,,0.378343890206332,0.203444008324069,MUSE
109,ESO358-051,ESO358-051-85,55.3823942,-34.8923087,0.036319,8.264971,,8.428774,8.491577,8.42701,1.0191,,8.730509,,0.411774499779121,0.221420398027352,MUSE
110,ESO358-051,ESO358-051-31,55.3904884,-34.8889244,0.0,8.200553,,8.541582,8.626159,8.54029,2.19035,,8.882976,,0.327032632268534,0.175852792350361,MUSE
111,ESO358-051,ESO358-051-72,55.384394,-34.8889631,0.14627,8.294386,,8.456017,8.520988,8.44319,0.749493,,8.764177,,0.113048560536877,0.0607887503571044,MUSE
112,ESO358-051,ESO358-051_2-62,55.3863459,-34.8806185,0.116981,8.268636,,8.442771,8.434445,8.45937,2.91521,,8.663444,,0.660273823306382,0.355044066210905,MUSE
113,ESO358-051,ESO358-051_2-45,55.388425,-34.8856047,0.071386,8.251785,,8.545461,8.580332,8.50792,4.27926,,8.831236,,0.296458304597097,0.159412289584746,MUSE
114,ESO358-051,ESO358-051-61,55.3863618,-34.8822848,0.181908,8.277772,,8.424064,8.48378,8.42701,0.841613,,8.721503,,0.519034355677534,0.279096431871415,MUSE
115,ESO358-051,ESO358-051-57,55.3864255,-34.8889503,0.180007,8.284901,,8.439548,8.533772,8.41083,0.43787,,8.778693,,0.0629332411447813,0.0338406174032231,MUSE
116,ESO358-051,ESO358-051_2-58,55.3864096,-34.8872839,0.26531,8.306182,,8.448379,8.521183,8.42701,0.443546,,8.764399,,0.100975061115382,0.0542965585168508,MUSE
117,ESO358-051,ESO358-051_2-100,55.3803469,-34.8906551,0.0,8.287111,,8.54879,8.533334,8.49174,3.82873,,8.778196,,0.42997136513243,0.231205261275418,MUSE
1455,NGC0628,182,24.1851,15.77,0.18366,,,8.527015,,8.60502,0.0168047,,,,0.207736399450589,0.106188033126972,Sanchez12
118,ESO358-051,ESO358-051-58,55.3864096,-34.8872839,0.268793,8.305638,,8.44595,8.522912,8.41083,0.40336,,8.766365,,0.100975061115382,0.0542965585168508,MUSE
119,ESO358-051,ESO358-051_2-46,55.3884091,-34.8839383,0.189899,8.177534,,8.449612,8.635707,8.49174,0.807147,,8.893822,,0.417468012135235,0.224481927511913,MUSE
120,ESO358-051,ESO358-051_2-94,55.3822676,-34.8789778,0.0,8.25554,,8.424152,8.358162,8.41083,3.04534,,8.568538,,0.836983153917611,0.450064642618801,MUSE
121,ESO358-051,ESO358-051_2-87,55.3823784,-34.8906423,0.066964,8.27538,,8.454849,8.523009,8.44319,1.02525,,8.766476,,0.309260889809292,0.166296527231768,MUSE
122,ESO358-051,ESO358-051_2-88,55.3823626,-34.8889759,0.054687,8.256935,,8.499903,8.575481,8.49174,1.66805,,8.825772,,0.248614155161049,0.13368541573245,MUSE
123,ESO358-051,ESO358-051-47,55.3883931,-34.8822719,0.370373,8.404593,,8.525375,8.663691,8.39464,0.128657,,8.925844,,0.548410331352676,0.294892553850607,MUSE
124,ESO358-051,ESO358-051-98,55.3803469,-34.8906551,0.0,8.264264,,8.515224,8.528027,8.47556,1.90078,,8.772177,,0.42997136513243,0.231205261275418,MUSE
125,ESO358-051,ESO358-051_2-127,55.3742367,-34.8890269,0.0,,,8.70862,,8.42701,0.919298,,,,0.812418217875727,0.436855524718523,MUSE
126,ESO358-051,ESO358-051_2-3,55.3986143,-34.8888724,0.0,,,8.721004,,8.32992,0.687222,,,,0.891875105359796,0.479581277921245,MUSE
127,ESO358-051,ESO358-051-71,55.3844099,-34.8906295,0.189067,8.298767,,8.380068,8.458705,8.3461,0.177245,,8.692249,,0.215916178852411,0.116102979392095,MUSE
128,ESO358-051,ESO358-051_2-77,55.3843147,-34.8806313,0.028705,8.256584,,8.483453,8.474032,8.47556,5.29424,,8.710186,,0.666946695526413,0.358632219493193,MUSE
129,ESO358-051,ESO358-051-87,55.3823626,-34.8889759,0.119112,8.266191,,8.49595,8.563023,8.49174,1.6248,,8.811737,,0.248614155161049,0.13368541573245,MUSE
130,ESO358-051,ESO358-051-55,55.3864573,-34.892283,0.071526,8.277739,,8.449665,8.505848,8.44319,1.10972,,8.746901,,0.334271688172647,0.179745395317496,MUSE
131,ESO358-051,ESO358-051_2-42,55.3884729,-34.8906037,0.12351,8.252959,,8.336941,8.374467,8.37846,0.620861,,8.589473,,0.263070567870099,0.141458953573677,MUSE
132,ESO358-051,ESO358-051-59,55.3863937,-34.8856175,0.205573,8.261496,,8.436308,8.547494,8.42701,0.476807,,8.794216,,0.237726333646085,0.127830789535861,MUSE
133,ESO358-051,ESO358-051-46,55.3884091,-34.8839383,0.217035,8.179627,,8.435738,8.623314,8.44319,0.579453,,8.87975,,0.417468012135235,0.224481927511913,MUSE
134,ESO358-051,ESO358-051_2-86,55.3823942,-34.8923087,0.036164,8.273215,,8.445107,8.496056,8.45937,1.30994,,8.735666,,0.411774499779121,0.221420398027352,MUSE
135,ESO358-051,ESO358-051_full,55.385362,-34.8885661,0.158308,8.283924,,8.419117,8.493407,8.39464,0.508929,,8.732618,,0.0375489103086434,0.0201908925163965,MUSE
136,ESO358-051,ESO358-051_2-44,55.388441,-34.887271,0.195345,8.272619,,8.48618,8.501533,8.47556,3.12247,,8.741956,,0.203906607277385,0.10964516299087,MUSE
137,ESO358-051,ESO358-051-45,55.388425,-34.8856047,0.111822,8.241436,,8.506871,8.575612,8.49174,2.5361,,8.82592,,0.296458304597097,0.159412289584746,MUSE
138,ESO358-051,ESO358-051_2-70,55.3844258,-34.8922958,0.162118,8.303716,,8.38206,8.459175,8.3461,0.162428,,8.692802,,0.347191934687864,0.186692902090124,MUSE
139,ESO358-051,ESO358-051-43,55.388457,-34.8889374,0.202596,8.257375,,8.416457,8.502234,8.41083,0.673348,,8.742761,,0.188017946012666,0.101101472929336,MUSE
140,ESO358-051,ESO358-051-56,55.3864414,-34.8906166,0.122539,8.27242,,8.41345,8.456274,8.44319,1.10938,,8.689386,,0.194442198455587,0.104555937772843,MUSE
141,ESO358-051,ESO358-051-84,55.3824101,-34.893975,0.098628,8.236289,,8.488199,8.557321,8.49174,1.95074,,8.805307,,0.532500591490789,0.286337529353898,MUSE
142,ESO358-051,ESO358-051_2-59,55.3863937,-34.8856175,0.180221,8.259751,,8.43744,8.54735,8.42701,0.508399,,8.794054,,0.237726333646085,0.127830789535861,MUSE
143,ESO358-051,ESO358-051-63,55.38633,-34.8789521,0.089992,8.224564,,8.472357,8.52804,8.47556,1.68693,,8.772192,,0.801628708214325,0.431053763013927,MUSE
144,ESO358-051,ESO358-051_2-41,55.3884889,-34.8922701,0.09213,8.268716,,8.466008,8.498463,8.45937,2.42423,,8.738433,,0.378343890206332,0.203444008324069,MUSE
145,ESO358-051,ESO358-051-99,55.3803311,-34.8889887,0.0,8.240056,,8.50669,8.572028,8.49174,1.52813,,8.821882,,0.388648619599238,0.208985092788904,MUSE
146,ESO358-051,ESO358-051-76,55.3843305,-34.8822977,0.046287,8.216678,,8.474265,8.585419,8.49174,1.52568,,8.836965,,0.527489908837172,0.28364317273845,MUSE
147,ESO358-051,ESO358-051-69,55.3844417,-34.8939622,0.003443,8.238785,,8.481198,8.548024,8.47556,2.05939,,8.794815,,0.484300918288804,0.260419482386695,MUSE
148,ESO358-051,ESO358-051_2-71,55.3844099,-34.8906295,0.183214,8.300144,,8.383578,8.460524,8.3461,0.19389,,8.694387,,0.215916178852411,0.116102979392095,MUSE
149,ESO358-051,ESO358-051-93,55.3822676,-34.8789778,0.0,8.204862,,8.383248,8.355173,8.39464,1.50702,,8.564657,,0.836983153917611,0.450064642618801,MUSE
150,ESO358-051,ESO358-051-60,55.3863778,-34.8839512,0.180134,8.239807,,8.459649,8.577012,8.47556,0.818431,,8.827496,,0.378039762001968,0.203280471757094,MUSE
151,ESO358-051,ESO358-051-86,55.3823784,-34.8906423,0.082873,8.269402,,8.44204,8.517286,8.44319,0.855541,,8.759963,,0.309260889809292,0.166296527231768,MUSE
152,ESO358-051,ESO358-051-74,55.3843623,-34.8856304,0.12596,8.223311,,8.498068,8.629673,8.50792,1.14152,,8.886964,,0.255632446578886,0.137459308676386,MUSE
153,ESO358-051,ESO358-051_2-61,55.3863618,-34.8822848,0.17204,8.281773,,8.427745,8.484923,8.42701,0.844166,,8.722826,,0.519034355677534,0.279096431871415,MUSE
154,ESO358-054,ESO358-054-80,55.7554305,-36.2775543,0.02726,8.076778,,8.289784,8.436234,8.37846,0.922821,,8.665588,,0.485667947224123,0.253956500264636,MUSE
