nID,Name,catID,RAJ2000,DEJ2000,CHB,12+logOHPG16S,12+logOHPG16R,12+logOHN2,12+logOHO3N2,12+logOHIZI,IZIchi2,12+logOHKK04,12+logOHT04,logNOPG16,r/r25,r/app,Ref
8640,NGC6946,7,308.6627537,60.0814139,0.0,8.471943,8.336453,8.564097,8.563756,8.79921,0.135772,8.78046,8.812562,-1.19962313,0.882018716971267,0.730389058859605,Pilyu14(McCall_1985ApJS...57....1M)
8641,NGC6946,5,308.6465668,60.1944694,0.0,8.484268,8.334664,8.531602,8.595745,8.86394,0.14032,8.901635,8.848601,-1.14968709,0.589341815629251,0.488026847709267,Pilyu14(McCall_1985ApJS...57....1M)
8642,NGC6946,2,308.6990347,60.1316917,0.0,8.602372,8.407123,8.660667,8.96009,7.35897,0.986286,9.082841,,-0.94047737,0.273739167127425,0.226680101911857,Pilyu14(McCall_1985ApJS...57....1M)
8643,NGC6946,6,308.581261,60.1691917,0.0,8.479346,8.343052,8.508905,8.578299,8.86394,0.147475,8.93757,8.828946,-1.12387656,0.735655305535836,0.609187283576544,Pilyu14(McCall_1985ApJS...57....1M)
8644,NGC6946,1,308.7135472,60.1722472,0.0,8.622563,8.527684,8.791962,8.840426,8.96103,0.157445,9.074063,9.145184,-0.84985151,0.212966776852025,0.17635521868226,Pilyu14(McCall_1985ApJS...57....1M)
8645,NGC6946,4,308.8195994,60.182525,0.0,8.416545,8.277162,8.448112,8.412828,8.6212,0.130116,8.673124,8.637281,-1.27189542,0.629625061796215,0.521384917883482,Pilyu14(McCall_1985ApJS...57....1M)
8646,NGC7090,NGC7090,324.1205,-54.5575,0.258476,,,8.477027,8.499042,8.44319,0.172728,,8.739098,,0.00650637119246992,0.00373308641822357,6df
8647,NGC7320,5,339.0064722,33.9487156,0.006839,8.260883,8.251133,8.409589,8.539292,8.3461,0.20526,8.76192,8.784943,-1.26851305,0.393827111246259,0.484492450948349,Rodr14
8648,NGC7320,14,339.0136944,33.9453822,0.006839,8.281493,8.313131,8.398683,8.401785,8.42701,1.04932,8.682621,8.623711,-1.24397347,0.19714908047874,0.242535971942347,Rodr14
8649,NGC7320,6,339.0086944,33.9514933,0.0,8.251098,8.169803,8.302029,8.323918,8.32992,0.383431,8.607855,8.5232,-1.37810319,0.269500843208211,0.331544274962186,Rodr14
8650,NGC7320,11,339.01925,33.9509378,0.0,8.26106,8.23888,8.428641,8.453919,8.44319,1.33094,8.40665,8.686608,-1.3752651,0.384364951314256,0.472851949505434,Rodr14
8651,NGC7320,2,339.0073056,33.94566,0.0,8.233907,8.204784,8.365218,8.445914,8.3461,0.42226,8.675083,8.67713,-1.33665521,0.466131810855318,0.573442856159971,Rodr14
8652,NGC7320,13,339.0173056,33.9453822,0.0,8.2645,8.219963,8.337705,8.350457,8.3461,0.406233,8.673577,8.558505,-1.31829114,0.176491736909952,0.217122975401675,Rodr14
8653,NGC7320,3,339.0100833,33.9462156,0.0,8.294471,8.316713,8.399551,8.493772,8.32992,0.160811,8.886721,8.733038,-1.17190094,0.3013505459746,0.370726291930071,Rodr14
8654,NGC7320,4,339.0086944,33.9476044,0.009841,8.260494,8.280471,8.346973,8.396616,8.36228,0.399137,8.797022,8.617308,-1.23205099,0.311554649593938,0.383279544438817,Rodr14
8655,NGC7320,1,339.0086944,33.9437156,0.0,8.275616,8.242891,8.396323,8.417259,8.39464,0.534527,8.60996,8.642686,-1.3244629,0.500739224400819,0.616017453313996,Rodr14
