Name,mtot,re,n,q,PA,Her,map,logLum,logMass,i,T,e_T,SimbadName
ESO149-013,15.75,21.22,1.12,0.49,-78.3,,15.85,7.27,8.49,63.5,9.9,0.5,ESO149-013
NGC0007,14.13,28.35,0.94,0.28,32.2,,14.23,7.94,9.15,90.0,4.8,0.7,NGC0007
ESO410-005,14.45,29.37,0.8,0.79,62.9,,,,,38.4,0.4,2.3,ESO410-005
IC0010,7.78,182.23,0.96,0.69,-56.8,,7.83,7.67,8.88,48.0,9.9,0.6,IC0010
NGC0115,13.44,25.8,1.34,0.37,-56.0,*,13.52,8.51,9.72,69.9,3.9,0.8,NGC0115
ESO410-012,15.91,30.64,1.07,0.29,-55.8,,16.57,7.02,8.23,77.3,4.7,2.0,ESO410-012
NGC0131,12.93,17.53,1.05,0.36,63.9,*,12.98,8.37,9.59,70.4,3.0,0.3,NGC0131
UGC00300,15.53,25.31,0.97,0.69,15.4,,15.56,7.28,8.49,48.1,10.0,0.5,UGC00300
UGC00313,13.88,11.82,0.81,0.55,12.8,,13.89,8.35,9.56,51.7,4.3,2.1,UGC00313
UGC00320,15.79,19.3,0.78,0.15,-7.9,,16.0,7.83,9.04,90.0,6.0,0.5,UGC00320
NGC0147,9.08,261.06,1.21,0.52,29.1,,9.28,6.99,8.2,61.2,-4.8,0.6,NGC0147
ESO410-018,14.09,36.64,1.23,0.81,-14.5,,14.23,7.86,9.08,27.6,8.9,0.5,ESO410-018
NGC0148,11.53,12.66,3.84,0.38,90.0,,11.64,9.18,10.4,69.8,-2.0,0.5,NGC0148
NGC0150,10.8,29.08,1.83,0.75,-63.1,*,10.84,9.31,10.53,60.3,3.4,0.9,NGC0150
ESO411-013,15.17,28.83,0.67,0.23,31.3,,16.32,7.22,8.44,90.0,9.0,0.5,ESO411-013
NGC0254,10.94,32.79,5.91,0.52,-46.6,,11.19,8.99,10.2,49.6,-1.2,1.0,NGC0254
