Name,F100,re100,n100,q100,PA100,F160,re160,n160,q160,PA160,F250,re250,n250,q250,PA250,F350,re350,n350,q350,PA350,F500,re500,n500,q500,PA500,chi2nu
NGC3729,7.23769037,25.63,0.53,0.63,-8.8,9.65878562,26.97,0.61,0.63,-8.8,5.25702459,28.98,0.73,0.63,-8.8,2.39476298,31.22,0.78,0.63,-8.8,0.85090293,34.58,0.78,0.63,-8.8,2.237
UGC06575,0.66582485,23.73,0.2,0.22,-9.3,0.9299991,27.05,0.26,0.22,-9.3,0.72480304,28.99,0.52,0.22,-9.3,0.43154147,30.98,0.57,0.22,-9.3,0.20709042,33.17,0.5,0.22,-9.3,1.422
NGC3755,3.17102744,49.24,1.5,0.38,-61.4,3.51335898,47.44,1.22,0.38,-61.4,2.21177023,46.37,0.75,0.38,-61.4,1.19251139,47.51,0.66,0.38,-61.4,0.56634363,53.78,0.62,0.38,-61.4,1.088
NGC3756,7.13444181,44.33,0.39,0.47,-0.3,11.25129539,50.83,0.44,0.47,-0.3,7.19879835,53.44,0.44,0.47,-0.3,3.60929629,59.5,0.48,0.47,-0.3,1.47842745,67.58,0.49,0.47,-0.3,1.63
NGC3773,2.24078403,5.88,2.28,0.84,81.5,2.19443402,8.99,3.36,0.84,81.5,0.95926811,12.83,5.3,0.84,81.5,0.45379796,15.95,4.1,0.84,81.5,0.14691969,18.35,1.81,0.84,81.5,1.57
NGC3795,1.27643881,23.17,0.17,0.28,54.4,1.71128572,25.54,0.28,0.28,54.4,1.3537548,29.61,0.36,0.28,54.4,0.80623665,34.86,0.54,0.28,54.4,0.3979972,44.19,0.65,0.28,54.4,1.122
NGC3794,1.23708631,24.96,0.67,0.6,-56.2,1.82189157,29.84,0.69,0.6,-56.2,1.49121412,35.47,0.68,0.6,-56.2,0.86151439,39.37,0.66,0.6,-56.2,0.38183877,40.55,0.55,0.6,-56.2,1.235
NGC3813,22.6360164,25.3,0.61,0.42,85.2,23.95093801,27.18,0.53,0.42,85.2,10.8627556,29.97,0.33,0.42,85.2,4.52545797,33.02,0.47,0.42,85.2,1.63184918,37.5,0.63,0.42,85.2,3.174
NGC3846A,0.60707172,12.43,0.24,0.54,39.1,1.11800186,22.71,0.06,0.54,39.1,0.91264107,28.38,0.37,0.54,39.1,0.58460501,32.48,0.61,0.54,39.1,0.27894592,39.58,0.45,0.54,39.1,1.004
NGC3870,2.24078403,9.14,1.33,0.55,38.7,2.02359001,12.24,1.25,0.55,38.7,0.93055063,16.17,1.4,0.55,38.7,0.42389914,19.51,0.96,0.55,38.7,0.15187281,22.51,0.67,0.55,38.7,1.629
NGC3898,3.22700769,55.16,0.35,0.39,-73.0,4.86768568,58.75,0.26,0.39,-73.0,3.32307397,66.53,0.18,0.39,-73.0,1.87958745,78.53,0.3,0.39,-73.0,0.95209441,103.21,0.64,0.39,-73.0,1.252
NGC3938,29.2954383,49.72,0.99,0.9,43.3,40.52495365,55.8,0.92,0.9,43.3,22.219793,63.71,0.69,0.9,43.3,10.43428117,70.82,0.76,0.9,43.3,3.94711716,78.14,0.73,0.9,43.3,2.828
NGC3952,1.28943662,8.53,1.68,0.34,37.2,1.83148146,15.09,0.13,0.34,37.2,0.53340859,10.01,1.56,0.34,37.2,0.31030054,12.53,1.39,0.34,37.2,0.13107505,10.92,2.32,0.34,37.2,1.069
NGC3953,27.23955447,82.25,0.31,0.46,14.0,45.09439107,88.66,0.32,0.46,14.0,29.42659477,97.03,0.26,0.46,14.0,14.02369751,104.59,0.38,0.46,14.0,5.21290748,112.48,0.43,0.46,14.0,3.843
UGC06879,0.63503842,20.38,1.01,0.33,-10.6,1.40385588,22.82,0.8,0.33,-10.6,0.98251685,26.04,0.62,0.33,-10.6,0.54759886,29.02,0.43,0.33,-10.6,0.24835907,32.27,0.47,0.33,-10.6,0.909
NGC3982,16.79577314,16.68,0.36,0.82,23.1,16.29755768,18.41,0.43,0.82,23.1,6.9685113,20.8,0.44,0.82,23.1,2.9434898,23.19,0.7,0.82,23.1,1.1300041,26.23,0.93,0.82,23.1,2.204
NGC4013,22.38308789,58.72,0.23,0.08,65.2,33.33669386,60.81,0.29,0.08,65.2,18.391621,64.57,0.27,0.08,65.2,8.14146454,67.34,0.28,0.08,65.2,2.86602528,70.84,0.24,0.08,65.2,2.305
NGC4030,61.65950019,23.83,0.97,0.81,40.5,71.2069734,27.99,1.16,0.81,40.5,35.1511881,33.12,1.46,0.81,40.5,14.90261684,37.26,1.49,0.81,40.5,5.1603602,40.42,1.42,0.81,40.5,2.201
NGC4032,2.12617986,15.06,1.27,0.81,-7.8,2.67252962,18.47,1.02,0.81,-7.8,1.6335785,22.92,0.62,0.81,-7.8,0.90544596,26.93,0.73,0.81,-7.8,0.40764303,31.11,0.99,0.81,-7.8,1.254
IC0755,1.50383435,13.53,0.66,0.33,-33.3,1.51259453,16.79,0.91,0.33,-33.3,0.82935412,21.08,1.06,0.33,-33.3,0.45631268,25.03,1.09,0.33,-33.3,0.18944363,29.31,0.61,0.33,-33.3,1.082
NGC4045,12.12271793,13.49,2.46,0.81,19.5,15.7515221,14.5,2.53,0.81,19.5,8.20238233,16.71,3.17,0.81,19.5,3.58148004,20.16,2.52,0.81,19.5,1.30942316,27.29,2.22,0.81,19.5,2.399
NGC4067,2.03422974,16.87,0.16,0.74,40.0,2.55459776,18.21,0.17,0.74,40.0,1.43595228,19.99,0.15,0.74,40.0,0.67680341,21.68,0.27,0.74,40.0,0.26126427,23.62,0.38,0.74,40.0,1.048
NGC4100,16.21810097,50.7,0.23,0.3,-17.5,22.83087345,51.4,0.28,0.3,-17.5,12.7508756,53.2,0.3,0.3,-17.5,6.55333751,56.25,0.47,0.3,-17.5,2.61505012,62.92,0.65,0.3,-17.5,4.335
NGC4116,6.20011864,40.8,1.01,0.51,-26.0,7.95284516,46.4,0.9,0.51,-26.0,5.17058889,53.84,0.61,0.51,-26.0,2.81619378,60.75,0.68,0.51,-26.0,1.26671822,68.45,0.65,0.51,-26.0,2.039
NGC4123,22.51541727,335.0,20.0,0.5,-66.3,29.41186249,342.95,10.45,0.5,-66.3,7.02975208,70.19,0.54,0.5,-66.3,4.52504118,86.31,1.54,0.5,-66.3,1.73764085,81.08,0.8,0.5,-66.3,2.926
NGC4144,4.61657611,67.47,0.66,0.19,-77.9,5.61930399,69.86,0.75,0.19,-77.9,3.52289751,73.23,0.62,0.19,-77.9,2.23595231,75.7,0.52,0.19,-77.9,1.16863804,80.85,0.53,0.19,-77.9,1.071
NGC4165,1.09657919,26.72,0.86,0.53,-28.9,2.13384332,30.0,0.86,0.53,-28.9,0.85455498,24.26,0.36,0.53,-28.9,0.43023183,25.87,0.44,0.53,-28.9,0.18843433,29.08,0.6,0.53,-28.9,1.488
NGC4178,10.22350939,76.81,1.62,0.28,33.7,14.11635355,78.6,1.24,0.28,33.7,8.62859348,81.64,0.98,0.28,33.7,4.99416096,85.53,0.48,0.28,33.7,2.19725275,92.37,0.43,0.28,33.7,4.55
NGC4180,10.32761406,11.53,0.76,0.49,23.1,10.18878802,12.24,0.76,0.49,23.1,4.23779563,13.6,0.94,0.49,23.1,1.71894719,15.53,0.88,0.49,23.1,0.59632088,19.26,1.09,0.49,23.1,0.919
NGC4183,4.00313282,54.61,1.93,0.17,-13.4,5.60431486,55.89,1.47,0.17,-13.4,3.72855032,59.38,1.15,0.17,-13.4,2.18003033,65.47,0.73,0.17,-13.4,1.05361032,78.97,0.95,0.17,-13.4,1.173
NGC4189,10.52931213,35.65,0.45,0.79,76.8,13.94834006,35.56,0.41,0.79,76.8,6.50938575,35.79,0.28,0.79,76.8,2.80067384,36.53,0.33,0.79,76.8,1.02018755,38.62,0.3,0.79,76.8,3.228
NGC4192,19.90856695,110.67,0.31,0.2,-29.2,35.57316664,120.0,0.31,0.2,-29.2,21.06783987,133.41,0.31,0.2,-29.2,10.8069349,138.59,0.39,0.2,-29.2,4.38611503,140.1,0.43,0.2,-29.2,4.789
NGC4193,4.15834004,19.47,1.79,0.45,17.3,6.34866669,21.0,1.77,0.45,17.3,3.56467556,29.8,0.86,0.45,17.3,1.72513281,33.75,0.85,0.45,17.3,0.68542512,38.12,0.71,0.45,17.3,5.188
NGC4194,26.79908709,1.34,4.64,0.79,21.9,18.93051926,0.05,20.0,0.79,21.9,5.6314471,3.81,5.13,0.79,21.9,1.94045035,5.27,3.1,0.79,21.9,0.5671266,8.91,1.43,0.79,21.9,3.141
NGC4197,5.16131066,25.68,0.49,0.18,37.7,5.97093752,24.0,0.49,0.18,37.7,3.37644756,32.89,0.91,0.18,37.7,1.83612623,38.27,0.77,0.18,37.7,0.8271038,45.1,0.92,0.18,37.7,5.798
IC3061,1.55596563,19.02,0.87,0.27,-58.2,2.47356044,21.2,0.85,0.27,-58.2,1.43595228,24.99,1.09,0.27,-58.2,0.76218875,29.92,0.88,0.27,-58.2,0.34000086,38.76,1.0,0.27,-58.2,1.045
NGC4203,2.30780973,18.79,3.41,0.93,68.0,3.38939767,41.12,2.67,0.93,68.0,2.31174543,64.08,1.96,0.93,68.0,1.20576462,74.77,1.15,0.93,68.0,0.37868667,61.53,0.86,0.93,68.0,1.514
NGC4206,3.00884628,48.76,1.04,0.2,0.8,5.46163316,54.18,0.9,0.2,0.8,4.00995971,61.98,0.89,0.2,0.8,2.32307128,70.16,0.69,0.2,0.8,1.10123503,81.49,0.76,0.2,0.8,1.318
NGC4214,32.62871721,56.02,3.28,0.55,-38.6,35.13358983,90.44,3.01,0.55,-38.6,20.92859186,129.44,3.4,0.55,-38.6,12.03545561,154.97,2.35,0.55,-38.6,5.44853842,158.16,2.04,0.55,-38.6,2.634
NGC4212,22.90867653,39.85,0.6,0.6,72.5,27.83059727,38.93,0.51,0.6,72.5,12.08759801,38.53,0.35,0.6,72.5,5.00797942,39.43,0.38,0.6,72.5,1.80251969,43.46,0.49,0.6,72.5,7.819
NGC4217,43.57124805,46.77,0.52,0.12,49.4,58.25356746,50.5,0.51,0.12,49.4,29.0495901,54.8,0.66,0.12,49.4,11.66440352,57.74,0.5,0.12,49.4,3.90732933,58.56,0.51,0.12,49.4,3.176
NGC4216,16.85776518,115.65,0.16,0.15,20.4,30.12468586,117.48,0.13,0.15,20.4,18.32905223,121.01,0.09,0.15,20.4,8.79959198,126.04,0.08,0.15,20.4,3.49848501,135.77,0.08,0.15,20.4,4.091
NGC4222,3.45780104,30.09,0.57,0.11,56.7,5.89878445,30.0,0.56,0.11,56.7,3.39203253,41.81,0.82,0.11,56.7,1.87941434,47.2,0.85,0.11,56.7,0.83184042,51.17,0.72,0.11,56.7,14.608
NGC4224,1.35931466,31.94,0.36,0.19,58.9,2.43221816,40.68,0.45,0.19,58.9,1.68694145,53.5,0.02,0.19,58.9,0.83142396,53.87,0.03,0.19,58.9,0.298951,56.13,0.03,0.19,58.9,0.73
NGC4236,11.24087193,255.65,0.48,0.23,-22.0,14.71372134,276.7,0.55,0.23,-22.0,9.20322434,302.92,0.48,0.23,-22.0,6.57147009,324.49,0.66,0.23,-22.0,3.68366406,341.92,0.65,0.23,-22.0,1.26
NGC4234,4.22980163,16.25,0.25,0.78,62.8,146.08395788,3259.68,9.81,0.78,62.8,2.12960966,17.46,0.25,0.78,62.8,0.96521161,17.78,0.38,0.78,62.8,0.36860398,17.27,0.74,0.78,62.8,2.502
NGC4237,12.62408761,26.04,0.75,0.6,-74.6,16.22267721,26.25,0.61,0.6,-74.6,7.11115277,26.82,0.58,0.6,-74.6,2.90845625,27.84,0.41,0.6,-74.6,0.98691561,30.13,0.48,0.6,-74.6,4.062
IC3102,1.0656142,32.33,0.63,0.56,-46.3,2.02732104,32.1,0.48,0.56,-46.3,1.23236685,33.48,0.36,0.56,-46.3,0.64872784,37.44,0.31,0.56,-46.3,0.33012622,48.17,0.51,0.56,-46.3,1.063
NGC4244,12.70574105,179.72,1.14,0.12,46.7,18.97241111,186.25,1.05,0.12,46.7,15.23140649,197.55,0.72,0.12,46.7,9.8733046,212.21,0.88,0.12,46.7,5.18417934,238.39,0.86,0.12,46.7,1.668
UGC07321,1.25776643,42.27,1.25,0.17,81.1,2.1111667,46.87,1.18,0.17,81.1,1.61711166,52.94,1.07,0.17,81.1,1.05308284,58.52,1.11,0.17,81.1,0.50428961,64.61,1.19,0.17,81.1,0.84
IC3115,0.63462913,27.31,0.7,0.78,-19.1,3.25928642,30.0,0.7,0.78,-19.1,1.02032848,39.63,0.72,0.78,-19.1,0.63741538,39.41,0.56,0.78,-19.1,0.27994971,39.23,0.43,0.78,-19.1,7.433
NGC4254,101.1113712,50.81,1.11,0.75,51.8,126.39285583,55.64,1.06,0.75,51.8,59.640326,62.16,0.88,0.75,51.8,25.23844163,68.39,0.99,0.75,51.8,9.27854797,75.74,1.03,0.75,51.8,13.383
NGC4260,1.13135786,45.97,0.01,0.46,43.7,1.29217855,29.14,0.02,0.46,43.7,1.14588229,37.48,0.08,0.46,43.7,1.12218003,94.05,0.13,0.46,43.7,0.90173726,272.27,0.28,0.46,43.7,1.219
NGC4273,23.87591367,12.38,1.46,0.65,9.4,24.14362777,15.6,1.45,0.65,9.4,10.15453425,21.17,1.51,0.65,9.4,4.20825972,23.9,1.43,0.65,9.4,1.55138653,27.36,1.47,0.65,9.4,2.402
NGC4276,1.44410908,19.37,0.21,0.92,39.2,2.20050585,21.79,0.3,0.92,39.2,1.58613449,24.85,0.32,0.92,39.2,0.76853303,27.42,0.47,0.92,39.2,0.28254005,29.66,0.54,0.92,39.2,1.627
UGC07387,1.12139858,21.31,1.23,0.08,17.1,2.23832181,23.78,1.23,0.08,17.1,1.12434608,24.62,0.61,0.08,17.1,0.58660064,26.88,0.63,0.08,17.1,0.26392469,29.6,0.5,0.08,17.1,4.192
NGC4287,1.05390145,10.64,2.73,0.63,73.2,1.28980046,10.62,1.83,0.63,73.2,0.65635683,11.9,1.26,0.63,73.2,0.33148397,15.18,1.52,0.63,73.2,0.16318492,23.75,3.99,0.63,73.2,0.966
NGC4289,2.53046305,13.43,1.89,0.2,2.3,3.53608362,20.02,2.15,0.2,2.3,2.29900549,29.34,3.04,0.2,2.3,1.27662262,38.9,2.49,0.2,2.3,0.5784689,51.69,2.25,0.2,2.3,1.249
NGC4294,6.92468464,29.37,0.69,0.4,-24.0,8.07834742,31.96,0.71,0.4,-24.0,4.08075018,35.45,0.8,0.4,-24.0,2.12844551,38.75,0.69,0.4,-24.0,0.91175891,42.58,0.58,0.4,-24.0,1.112
NGC4299,4.92039536,20.66,0.34,0.9,-75.1,4.75688363,20.9,0.3,0.9,-75.1,2.39850158,21.51,0.27,0.9,-75.1,1.168591,22.51,0.31,0.9,-75.1,0.49054631,24.67,0.48,0.9,-75.1,1.287
NGC4300,1.60990408,29.38,2.76,0.36,42.1,1.5664716,22.64,1.62,0.36,42.1,0.64675532,18.73,0.5,0.36,42.1,0.30092796,23.07,0.51,0.36,42.1,0.16853109,46.75,2.37,0.36,42.1,0.894
NGC4302,18.46715524,51.42,0.57,0.14,-0.5,28.3480067,56.3,0.56,0.14,-0.5,18.39670349,62.49,0.74,0.14,-0.5,8.1145144,67.75,0.63,0.14,-0.5,2.83321816,72.47,0.73,0.14,-0.5,4.499
NGC4307,5.47520015,26.3,0.64,0.25,22.8,8.17565444,26.68,0.55,0.25,22.8,4.36857714,27.69,0.51,0.25,22.8,1.94295408,29.43,0.42,0.25,22.8,0.70320187,33.24,0.49,0.25,22.8,2.286
NGC4303A,1.31232076,24.85,0.57,0.7,8.3,2.30272739,26.4,0.57,0.7,8.3,1.00503228,33.17,0.78,0.7,8.3,0.58779046,32.04,0.59,0.7,8.3,0.29561061,36.46,0.88,0.7,8.3,3.015
NGC4312,6.76705958,13.42,0.9,0.39,-8.2,8.18318796,14.93,0.9,0.39,-8.2,3.97319617,17.03,0.84,0.39,-8.2,1.59831559,19.13,0.87,0.39,-8.2,0.51508632,21.83,0.8,0.39,-8.2,1.017
NGC4313,5.01187234,21.19,1.01,0.28,-36.3,7.47003311,23.55,0.84,0.28,-36.3,4.05826132,26.79,0.67,0.28,-36.3,1.76222978,29.96,0.7,0.28,-36.3,0.62098344,33.87,0.98,0.28,-36.3,1.274
NGC4316,6.02004864,23.32,0.44,0.24,-67.1,8.62427362,26.46,0.47,0.24,-67.1,4.57446184,30.59,0.46,0.24,-67.1,2.06472652,34.35,0.49,0.24,-67.1,0.73026421,38.34,0.43,0.24,-67.1,2.288
IC3229,0.2746629,18.0,0.67,0.34,39.1,0.36361562,19.5,0.67,0.34,39.1,0.26272416,22.35,0.67,0.34,39.1,0.19584051,26.05,0.83,0.34,39.1,0.09831958,24.28,0.67,0.34,39.1,1.2
NGC4321,73.79042301,79.25,1.44,0.84,-65.3,99.11115261,86.29,1.0,0.84,-65.3,55.30189441,94.16,0.43,0.84,-65.3,23.85956577,99.15,0.4,0.84,-65.3,10.05263739,99.18,0.79,0.84,-65.3,17.231
NGC4324,1.96263708,26.67,0.02,0.4,51.1,3.41069219,28.5,0.03,0.4,51.1,1.62577338,25.78,0.57,0.4,51.1,1.01939509,42.45,1.8,0.4,51.1,0.46972104,66.29,3.02,0.4,51.1,5.897
NGC4330,3.45461775,30.03,0.73,0.21,57.4,5.5631725,33.19,0.57,0.21,57.4,3.50541958,37.35,0.37,0.21,57.4,1.72211653,41.15,0.32,0.21,57.4,0.69803953,45.22,0.41,0.21,57.4,1.432
NGC4343,5.00264862,19.24,1.18,0.28,-47.9,6.44054363,22.35,1.15,0.28,-47.9,3.61359943,27.71,0.85,0.28,-47.9,1.72053113,34.65,1.29,0.28,-47.9,0.71561596,46.98,1.67,0.28,-47.9,2.19
IC3258,1.21115576,16.21,0.76,0.79,-57.3,1.62675641,18.53,0.87,0.79,-57.3,0.81197005,21.67,1.1,0.79,-57.3,0.47869902,24.68,0.98,0.79,-57.3,0.21891727,28.24,0.8,0.79,-57.3,1.361
IC3259,0.69617753,10.25,0.86,0.55,14.6,1.6228655,20.07,1.24,0.55,14.6,1.04959078,21.46,0.9,0.55,14.6,0.54073258,23.07,0.77,0.55,14.6,0.22832844,24.69,0.74,0.55,14.6,2.156
NGC4351,2.16411333,15.64,1.52,0.61,62.6,3.40880789,18.0,1.5,0.61,62.6,1.60538799,22.8,0.94,0.61,62.6,0.90494573,28.72,1.43,0.61,62.6,0.33339572,30.1,1.15,0.61,62.6,5.087
IC3267,0.89454048,17.54,0.63,0.98,36.6,1.24773549,18.26,0.55,0.98,36.6,0.81346713,19.22,0.34,0.98,36.6,0.37989409,20.12,0.4,0.98,36.6,0.14121474,21.11,0.45,0.98,36.6,0.862
IC3268,1.50189648,13.38,0.05,0.6,51.4,1.98007904,16.48,0.05,0.6,51.4,0.88858711,16.64,1.09,0.6,51.4,0.58020643,26.85,2.58,0.6,51.4,0.51575093,102.59,6.27,0.6,51.4,5.661
NGC4359,2.030486,30.73,0.8,0.28,-72.2,2.90618011,34.99,0.72,0.28,-72.2,1.9245979,40.77,0.63,0.28,-72.2,1.23726445,46.32,0.61,0.28,-72.2,0.64726186,52.95,0.67,0.28,-72.2,1.186
NGC4356,1.78813375,16.01,0.73,0.35,39.3,2.38408934,17.57,0.7,0.35,39.3,1.41886151,19.87,0.53,0.35,39.3,0.63337736,22.37,0.71,0.35,39.3,0.23242349,26.0,0.84,0.35,39.3,0.828
NGC4376,1.91249364,18.73,0.6,0.6,-38.5,2.10340318,18.93,0.52,0.6,-38.5,1.108511,19.75,0.47,0.6,-38.5,0.57499297,21.37,0.52,0.6,-38.5,0.25320951,25.25,0.76,0.6,-38.5,1.041
NGC4378,2.19118981,45.0,0.41,0.79,-10.8,7.94113404,52.5,0.41,0.79,-10.8,3.49510324,62.88,0.41,0.79,-10.8,1.79102866,69.0,0.39,0.79,-10.8,0.72237053,72.69,0.37,0.79,-10.8,3.259
NGC4380,4.40554864,37.05,1.07,0.53,-23.4,7.65107619,39.81,0.91,0.53,-23.4,4.95609941,43.3,0.73,0.53,-23.4,2.28908825,46.3,0.58,0.53,-23.4,0.81410424,49.01,0.52,0.53,-23.4,2.206
IC3311,0.53269669,22.17,0.05,0.22,-47.3,1.02273361,29.13,1.14,0.22,-47.3,0.62078328,25.26,0.24,0.22,-47.3,0.38549836,27.73,0.27,0.22,-47.3,0.17360412,28.09,0.22,0.22,-47.3,0.845
NGC4388,17.96387399,29.73,0.32,0.25,-89.1,19.57593556,31.52,0.26,0.25,-89.1,8.08239383,33.98,0.25,0.25,-89.1,3.29657177,36.39,0.23,0.25,-89.1,1.16059319,39.36,0.34,0.25,-89.1,3.97
NGC4390,2.0931483,25.06,0.24,0.73,-81.0,2.91959443,26.38,0.26,0.73,-81.0,1.7074186,28.24,0.32,0.73,-81.0,0.94550218,30.11,0.35,0.73,-81.0,0.40577008,32.55,0.46,0.73,-81.0,1.942
IC3322,2.07969669,25.54,0.43,0.25,-22.0,2.96021004,27.18,0.33,0.25,-22.0,1.79779434,29.6,0.28,0.25,-22.0,0.87833975,32.25,0.2,0.25,-22.0,0.36064508,36.14,0.29,0.25,-22.0,1.268
UGC07522,2.54683025,32.33,0.47,0.17,-51.3,3.88081131,35.2,0.37,0.17,-51.3,2.48622259,39.03,0.32,0.17,-51.3,1.2614282,42.64,0.22,0.17,-51.3,0.5453559,46.76,0.27,0.17,-51.3,1.208
NGC4396,4.38530698,35.95,1.17,0.27,-52.6,5.91183803,38.68,1.04,0.27,-52.6,3.55091281,42.77,1.15,0.27,-52.6,1.99371252,47.31,0.9,0.27,-52.6,0.90339986,54.11,1.07,0.27,-52.6,2.053
NGC4402,19.57041341,35.08,0.31,0.23,88.8,26.67611167,36.92,0.25,0.23,88.8,13.55002226,39.33,0.21,0.23,88.8,5.63978484,41.52,0.17,0.23,88.8,1.89618199,43.83,0.24,0.23,88.8,6.98
NGC4411A,1.32556186,30.24,0.7,0.92,4.5,1.84213955,31.41,0.57,0.92,4.5,1.23123232,33.63,0.38,0.92,4.5,0.70349746,36.73,0.45,0.92,4.5,0.35406257,42.67,0.61,0.92,4.5,0.863
NGC4413,3.69487712,22.25,1.11,0.62,50.4,4.69593986,25.3,0.91,0.62,50.4,2.55587735,28.93,0.76,0.62,50.4,1.19251139,31.66,0.53,0.62,50.4,0.44450845,33.16,0.48,0.62,50.4,1.727
NGC4412,6.17163168,16.66,0.41,0.9,-48.2,6.56632731,17.47,0.42,0.9,-48.2,2.83360956,18.58,0.39,0.9,-48.2,1.14093929,19.67,0.4,0.9,-48.2,0.3659991,21.02,0.32,0.9,-48.2,2.303
NGC4416,4.5708819,25.54,1.23,0.91,-57.5,5.83072457,24.57,0.99,0.91,-57.5,2.61782137,23.88,0.79,0.91,-57.5,1.1108682,24.17,0.53,0.91,-57.5,0.39580385,26.7,0.44,0.91,-57.5,1.662
NGC4355,29.2119131,0.02,1.36,0.36,10.3,18.55079503,1.7,0.56,0.36,10.3,6.15828819,0.05,1.0,0.36,10.3,2.88338434,0.5,10.29,0.36,10.3,0.99156233,1.48,9.39,0.36,10.3,4.448
NGC4419,16.09904076,16.24,0.99,0.35,-45.9,17.90286459,18.27,0.89,0.35,-45.9,8.0749531,21.05,0.62,0.35,-45.9,3.20968591,23.75,0.72,0.35,-45.9,1.04011179,27.05,0.72,0.35,-45.9,2.463
NGC4409,7.55788014,23.68,0.33,0.41,9.6,8.59255908,25.84,0.34,0.41,9.6,4.16811803,28.61,0.4,0.41,9.6,1.85892786,31.04,0.38,0.41,9.6,0.69547259,33.41,0.4,0.41,9.6,1.808
NGC4423,1.35344309,25.29,0.54,0.19,20.5,1.70169815,25.29,0.54,0.19,20.5,0.95284006,28.32,0.54,0.19,20.5,0.60126031,33.81,0.66,0.19,20.5,0.36485476,45.71,1.21,0.19,20.5,2.076
NGC4430,5.61306408,29.88,0.54,0.86,86.7,7.28655969,31.61,0.53,0.86,86.7,4.05079261,33.91,0.52,0.86,86.7,1.91100813,36.07,0.52,0.86,86.7,0.71561596,38.51,0.55,0.86,86.7,2.293
NGC4435,5.14422553,0.05,1.96,0.45,23.3,4.61320259,1.7,7.74,0.45,23.3,2.64374771,4.91,20.0,0.45,23.3,4.23977232,804.07,20.0,0.45,23.3,0.84957166,188.05,20.0,0.45,23.3,3.342
NGC4438,10.18591388,13.95,1.58,0.55,24.5,11.99285345,13.68,2.26,0.55,24.5,6.58172919,17.8,3.59,0.55,24.5,3.38269262,28.76,4.08,0.55,24.5,1.59323566,57.78,5.19,0.55,24.5,9.721
UGC07579,1.02046943,11.5,0.55,0.49,-46.2,1.25580592,12.96,0.48,0.49,-46.2,0.72700937,15.07,0.33,0.49,-46.2,0.38059452,17.29,0.39,0.49,-46.2,0.14624466,20.39,0.43,0.49,-46.2,1.142
NGC4449,77.83949326,91.09,1.78,0.67,28.3,70.81455441,97.66,1.34,0.67,28.3,30.02894045,104.53,0.87,0.67,28.3,13.60387195,107.97,0.66,0.67,28.3,5.42350466,104.86,0.86,0.67,28.3,9.209
NGC4445,1.4723125,20.43,0.28,0.3,-75.4,2.58775125,22.13,0.24,0.3,-75.4,1.46939991,24.14,0.29,0.3,-75.4,0.64932561,25.64,0.24,0.3,-75.4,0.21771082,26.43,0.33,0.3,-75.4,1.373
IC3391,1.15239138,20.14,0.1,0.75,70.7,1.85747307,21.29,0.12,0.75,70.7,1.1736538,22.79,0.12,0.75,70.7,0.62010115,24.15,0.16,0.75,70.7,0.23937568,25.58,0.17,0.75,70.7,1.2
NGC4450,10.64633187,56.06,1.25,0.48,0.5,14.79525745,62.62,1.03,0.48,0.5,8.11222539,70.74,0.78,0.48,0.5,3.73992192,77.35,0.6,0.48,0.5,1.38127457,82.5,0.6,0.48,0.5,2.9
NGC4451,4.85690937,11.39,0.21,0.53,-23.5,4.76433759,11.4,0.2,0.53,-23.5,2.30366863,12.91,1.01,0.53,-23.5,1.01873807,14.24,1.81,0.53,-23.5,0.44389476,20.9,5.47,0.53,-23.5,3.571
IC3392,4.01051366,13.77,0.35,0.52,37.0,4.98106864,14.99,0.36,0.52,37.0,2.6081947,16.69,0.27,0.52,37.0,1.06674971,18.38,0.38,0.52,37.0,0.34536635,20.52,0.38,0.52,37.0,1.453
NGC4460,5.47015963,11.58,0.22,0.45,42.9,4.65717467,12.98,0.43,0.45,42.9,2.00419516,15.26,0.86,0.45,42.9,0.98279409,18.09,1.17,0.45,42.9,0.41445751,22.89,1.8,0.45,42.9,1.394
NGC4470,4.91134,16.06,0.58,0.59,7.6,5.21581918,17.76,0.67,0.59,7.6,2.4498529,19.89,0.87,0.59,7.6,1.08758331,21.68,0.79,0.59,7.6,0.37868667,23.2,0.69,0.59,7.6,1.084
NGC4480,4.16102189,25.74,0.41,0.53,-5.6,5.52742078,27.4,0.41,0.53,-5.6,3.21173725,29.73,0.32,0.53,-5.6,1.53766785,32.08,0.43,0.53,-5.6,0.61529023,35.12,0.45,0.53,-5.6,1.183
NGC4492,1.3626992,18.57,0.23,0.88,85.6,1.98848595,18.8,0.19,0.88,85.6,1.31564891,21.07,0.18,0.88,85.6,0.72922666,26.26,0.5,0.88,85.6,0.3619762,39.35,1.23,0.88,85.6,0.867
NGC4496A,8.55066713,43.58,0.71,0.92,48.4,10.85731722,46.39,0.65,0.92,48.4,6.44376967,50.22,0.65,0.92,48.4,3.4045721,53.94,0.51,0.92,48.4,1.46110026,58.45,0.52,0.92,48.4,1.172
NGC4498,4.63020266,34.91,0.85,0.46,-50.2,6.39915348,38.2,0.74,0.46,-50.2,3.75612476,42.53,0.69,0.46,-50.2,1.9375929,46.49,0.56,0.46,-50.2,0.85719577,50.75,0.56,0.46,-50.2,1.434
