Name,RAJ2000,DEJ2000,MType,D25,Dist,Mdust,e_Mdust,Uav,e_Uav,QPAH,e_QPAH,SFR,e_SFR,log10M*,e_log10M*,SED,ModSED,SimbadName
ESO097-013,213.2913,-65.339,3.3,8.71,4.20727,3.54,0.68,25.69,9.04,0.074,0.013,6.062,5.888,10.568,0.209,SED,ModSED,ESO097-013
ESO149-001,356.9529,-57.07261,8.0,3.388,20.89297,2.08,1.03,1.14,0.86,0.101,0.035,0.151,0.135,9.858,0.209,SED,ModSED,ESO149-001
ESO149-013,0.6945,-52.77158,9.9,1.175,20.2485,0.03,0.04,1.03,1.13,0.109,0.037,,,8.122,0.207,SED,ModSED,ESO149-013
ESO157-047,69.8301,-54.21068,0.0,1.259,21.49099,0.05,0.07,1.14,1.19,0.114,0.035,3.088,2.942,8.457,0.208,SED,ModSED,ESO157-047
ESO157-049,69.9036,-53.01267,5.3,1.738,23.6592,2.9,1.1,6.5,2.7,0.097,0.011,0.776,0.714,9.701,0.209,SED,ModSED,ESO157-049
ESO209-009,119.5644,-49.85424,6.1,6.457,12.58925,13.39,2.36,2.84,0.8,0.132,0.017,1.365,1.275,10.312,0.209,SED,ModSED,ESO209-009
ESO240-004,351.9711,-51.13189,6.7,1.778,20.60631,0.38,0.32,0.99,0.92,0.092,0.031,0.042,0.036,8.26,0.207,SED,ModSED,ESO240-004
ESO351-030,15.03885,-33.709,-4.8,1.148,0.08433,0.0,0.0,0.87,1.57,0.091,0.059,,,1.569,0.201,SED,ModSED,ESO351-030
ESO358-015,53.27805,-34.80702,8.7,1.071,16.14359,0.03,0.05,1.09,1.15,0.112,0.035,1.829,1.719,8.219,0.207,SED,ModSED,ESO358-015
ESO358-016,53.28885,-35.71908,7.1,1.122,22.28291,0.25,0.28,1.36,1.37,0.101,0.029,0.027,0.023,8.297,0.207,SED,ModSED,ESO358-016
ESO358-019,53.6286,-34.2975,-3.0,1.175,16.04315,0.07,0.11,1.15,1.25,0.109,0.033,,,8.232,0.207,SED,ModSED,ESO358-019
ESO358-042,54.5382,-34.51858,-2.2,1.23,20.41738,0.02,0.02,1.16,1.29,0.125,0.038,,,8.47,0.208,SED,ModSED,ESO358-042
ESO358-043,54.5568,-33.12725,-3.0,1.318,20.79696,0.6,0.43,0.65,0.54,0.114,0.03,0.018,0.015,8.994,0.208,SED,ModSED,ESO358-043
ESO358-050,55.2651,-33.77946,-2.1,1.622,19.67885,0.18,0.17,1.42,1.35,0.131,0.033,0.013,0.012,9.702,0.209,SED,ModSED,ESO358-050
ESO358-051,55.38585,-34.88838,0.3,1.413,14.3,0.81,0.53,2.08,1.41,0.093,0.014,0.075,0.065,8.837,0.208,SED,ModSED,ESO358-051
ESO358-054,55.75965,-36.27269,7.9,1.66,16.9,1.61,0.74,0.43,0.27,0.096,0.026,0.042,0.036,8.714,0.208,SED,ModSED,ESO358-054
ESO358-056,55.84425,-33.94002,-2.2,1.413,21.37962,0.04,0.05,1.43,1.51,0.12,0.034,,,8.67,0.208,SED,ModSED,ESO358-056
ESO358-059,56.265,-35.9727,-3.3,1.38,19.58844,0.04,0.05,1.67,1.82,0.137,0.035,2.605,2.472,9.379,0.208,SED,ModSED,ESO358-059
ESO358-060,56.3013,-35.57055,9.8,1.622,15.7,0.01,0.03,0.94,1.09,0.099,0.039,,,7.456,0.207,SED,ModSED,ESO358-060
ESO358-063,56.5791,-34.94359,6.9,4.266,16.82673,5.96,0.52,3.48,0.41,0.129,0.009,0.768,0.708,9.989,0.209,SED,ModSED,ESO358-063
ESO358-066,56.9694,-36.47167,-3.8,1.097,19.7697,0.05,0.07,1.38,1.4,0.115,0.033,0.005,0.004,8.527,0.208,SED,ModSED,ESO358-066
ESO359-002,57.65295,-35.90937,-3.4,1.259,19.14256,0.1,0.13,2.23,2.39,0.116,0.033,,,9.183,0.208,SED,ModSED,ESO359-002
ESO373-008,143.33955,-33.03346,6.1,3.715,9.68278,5.08,1.15,1.17,0.4,0.102,0.018,0.241,0.216,9.498,0.209,SED,ModSED,ESO373-008
ESO377-039,169.84035,-36.59571,3.3,1.071,36.29164,1.08,0.76,1.38,1.1,0.116,0.027,0.076,0.066,9.463,0.208,SED,ModSED,ESO377-039
