Name,RAJ2000,DEJ2000,z,SF,AGN,Comp,12+logOHPG16S,MzPG16S,12+logOHPG16R,MzPG16R,12+logOHN2,MzN2,12+logOHO3N2,MzO3N2,12+logOHIZI,MzIZI,12+logOHKK04,MzK04,12+logOHT04,MzT04,logNOPG16
NGC3620,169.01955,-76.21625,0.00403,0,0,0,,,,,,,,,,,,,,,
NGC3621,169.5687,-32.81398,0.0015,98,2,2,8.428,8.029502,8.291,7.908299,8.369,7.976768,8.594,8.181499,8.813,8.388221,8.97,8.539421,8.855,8.428467,-1.177
NGC3622,170.05155,67.24166,0.00463,2,0,0,8.256,7.043317,,,8.366,7.13041,8.353,7.119883,8.345,7.113434,,,8.57,7.302694,
NGC3626,170.0157,18.35704,0.00446,1,0,1,,,,,,,,,,,,,,,
NGC3627,170.0625,12.99099,0.00258,4,1,2,8.524,8.035614,,,8.587,8.083485,8.789,8.247164,8.949,8.385799,,,9.084,8.507462,
NGC3628,170.0706,13.58876,0.00243,3,1,1,8.512,8.483618,8.509692,8.481604,8.825,8.767273,8.84,8.781296,8.695,8.647192,8.5241,8.494197,9.147,9.073952,-0.773689
NGC3629,170.1324,26.96329,0.00797,2,1,1,8.314974,7.812516,8.26708,7.776315,8.456127,7.924504,8.465356,7.932079,,,8.44319,7.913936,8.700056,8.133294,-1.367223
NGC3631,170.262,53.16994,0.00196,5,2,0,8.529,7.364964,,,8.587,7.411947,8.738,7.539383,8.878,7.663031,8.81539,7.607162,9.023,7.795415,
NGC3655,170.7279,16.59003,0.00519,1,2,0,,,,,8.659733,,8.760555,,,,8.8963,,9.041275,,
NGC3659,170.9391,17.81839,0.00484,3,1,0,8.407,7.504875,8.39684,7.496205,8.612,7.685483,8.646,7.71634,8.509,7.593475,8.44319,7.535996,8.906,7.958529,-1.133809
NGC3666,171.10875,11.34198,0.00379,2,1,1,8.309,7.468101,,,8.327,7.482383,8.371,7.517796,8.425,7.562181,8.83157,7.921649,8.571,7.686693,
NGC3681,171.62415,16.8633,0.00575,2,0,0,,,,,9.351,,,,8.751,,,,,,
NGC3683,171.8826,56.87699,0.00723,3,2,1,8.563,8.119212,8.536009,8.097495,8.716,8.246921,8.731,8.259823,8.749,8.275386,8.76684,8.290895,9.002,8.502108,-0.964054
NGC3684,171.79665,17.03018,0.00463,4,0,0,8.518,7.843188,,,8.596,7.911215,8.694,7.998731,8.86,8.151207,8.83157,8.124768,8.961,8.24604,
NGC3686,171.933,17.22409,0.00357,3,0,0,8.583,7.431186,,,8.647,7.479281,8.833,7.628199,8.943,7.721687,8.78302,7.586962,9.14,7.896855,
NGC3691,172.0392,16.92044,0.00635,2,1,0,8.393252,7.138649,8.37499,7.126245,8.533629,7.239341,8.547856,7.250044,,,8.47556,7.196579,8.794625,7.448129,-1.237893
NGC3692,172.10115,9.40754,0.00906,2,1,0,,,,,8.68593,,8.643336,,,,8.60502,,8.902514,,
NGC3718,173.14515,53.06787,0.00853,10,1,0,,,,,8.489607,,8.543027,,,,8.44319,,8.789169,,
NGC3729,173.45535,53.12568,0.00473,2,1,2,8.590692,8.105502,8.651325,8.162893,8.80291,8.308031,8.694099,8.203625,,,8.65356,8.165016,8.961177,8.461523,-0.758728
NGC3755,174.13905,36.41031,0.00771,3,2,1,8.152,7.869366,8.318532,8.012422,8.14,7.859372,8.129,7.850251,8.382,8.068814,8.41083,8.094723,8.653437,8.318656,-1.266798
NGC3756,174.2007,54.29333,0.0046,3,0,1,8.551,7.834187,,,8.575,7.852828,8.828,8.061768,8.925,8.146865,,,9.137,8.339831,
NGC3773,174.55425,12.11216,0.00382,61,3,2,8.318,6.509761,8.325,6.515586,8.506,6.671193,8.481,6.64918,8.458,6.629064,8.98,7.110227,8.712,6.857658,-1.077
NGC3794,175.2252,56.20218,0.00465,1,0,0,8.287945,7.315189,8.270938,7.300917,8.511,7.50973,8.405407,7.416055,8.369,7.384385,8.36228,7.378578,8.628178,7.616401,-1.280369
NGC3795,175.02825,58.61319,0.00549,3,0,1,8.272391,7.244343,8.201405,7.200763,8.618,7.492328,8.550445,7.439663,8.4,7.329369,8.39464,7.325633,8.797549,7.640277,-1.400943
NGC3796,175.1298,60.29894,0.00526,0,0,0,,,,,,,,,,,,,,,
NGC3813,175.32765,36.54669,0.00482,3,0,0,8.511,7.899507,8.395209,7.805901,8.598,7.972768,8.659,8.025442,8.82,8.168822,8.50792,7.896957,8.919,8.259576,-1.209235
NGC3846A,176.06175,55.035,0.00568,5,0,0,8.208,7.129644,8.075,7.032559,8.415,7.295103,8.429,7.306832,8.393,7.276797,8.525,7.388828,8.652,7.500991,-1.541
NGC3870,176.4858,50.19983,0.00351,3,1,0,8.25,6.540017,8.326436,6.607058,8.313,6.59517,8.302,6.585469,8.297,6.581069,8.39464,6.66803,8.506,6.76958,-1.251398
NGC3898,177.31365,56.08403,0.00811,3,0,0,,,,,,,,,,,,,,,
NGC3938,178.2057,44.1208,0.00436,5,0,0,8.549,8.253534,,,8.583,8.282496,8.777,8.453478,8.908,8.573407,,,9.07,8.725377,
NGC3941,178.2306,36.98636,0.00271,0,1,0,,,,,,,,,,,,,,,
NGC3945,178.3071,60.67556,0.0052,1,0,0,,,,,,,,,,,,,,,
NGC3952,178.41915,-3.99634,0.00606,2,0,2,8.208963,7.269456,8.13266,7.199237,8.276,7.331906,8.244,7.302013,8.267,7.323484,8.29755,7.352116,8.429,7.476624,-1.421041
NGC3953,178.45425,52.32653,0.0028,2,1,0,,,,,8.728023,,9.07403,,,,8.96103,,,,
NGC3982,179.11725,55.12493,0.00526,4,1,0,8.498,7.787269,8.56819,7.846685,8.618,7.889704,8.799,8.051071,8.897,8.141153,8.66975,7.935081,9.101,8.333157,-0.924229
NGC4013,179.6307,43.94673,0.00422,1,1,0,,,,,,,,,,,,,,,
NGC4030,180.09825,-1.1,0.0061,126,1,5,8.591,8.439463,8.32,8.239961,8.747,8.567512,8.836,8.643955,8.932,8.728701,9.081,8.864105,9.132,8.91135,-1.159
NGC4032,180.1368,20.07392,0.00638,2,1,0,8.304,7.542474,8.474852,7.684008,8.54,7.740301,8.437,7.651849,8.423,7.640063,8.41083,7.629867,8.67,7.855762,-0.909905
NGC4037,180.34875,13.40086,0.0031,3,0,0,8.497,6.940487,,,8.663,7.050571,8.64,7.034487,8.715,7.08786,8.58883,6.99964,8.899,7.229206,
NGC4051,180.79035,44.53121,0.00252,2,2,0,8.531,7.579244,8.636612,7.666337,8.609,7.643213,8.822,7.827167,8.949,7.941966,8.75066,7.764217,9.116,8.097178,-0.7611
NGC4067,181.04805,10.85433,0.00953,1,0,0,,,,,8.725034,,,,,,8.83157,,,,
NGC4100,181.53585,49.5828,0.00448,5,1,0,8.52,8.024646,8.596347,8.088743,8.659,8.142623,8.796,8.263893,8.88,8.34023,8.75066,8.22328,9.094,8.539901,-0.89763
NGC4102,181.5978,52.71097,0.0041,0,1,3,,,,,,,,,,,,,,,
NGC4111,181.7628,43.06556,0.00334,1,2,0,,,,,,,,,,,,,,,
NGC4116,181.9038,2.69142,0.00385,2,2,0,8.407,8.140299,,,8.517,8.241939,8.675,8.390915,8.737,8.450142,8.36228,8.099574,8.938,8.644372,
NGC4117,181.94205,43.12632,0.00453,0,3,0,,,,,,,,,,,,,,,
NGC4123,182.0463,2.87825,0.00452,2,0,0,8.617,8.041167,,,8.869,8.265469,8.772,8.177475,8.798,8.20088,8.75066,8.158372,9.066,8.449001,
NGC4138,182.37405,43.68527,0.00307,2,1,1,8.531,7.461363,,,8.768,7.671386,8.696,7.606246,8.616,7.535165,,,8.965,7.854173,
NGC4144,182.49375,46.45731,0.00155,10,4,0,8.144,6.581466,8.171,6.60204,8.288,6.69453,8.355,6.749711,8.332,6.7306,8.641,6.999603,8.562,6.928588,-1.429
NGC4151,182.63595,39.40579,0.00087,1,2,0,,,,,,,,,,,,,,,
NGC4152,182.6562,16.03282,0.00761,3,0,0,8.551,8.464993,8.628562,8.538617,8.661,8.569597,8.678,8.585873,8.744,8.649307,,,8.954,8.853254,-0.626002
NGC4165,183.04905,13.24642,0.01274,1,0,0,8.46,7.49837,,,8.67,7.645098,8.607,7.59887,8.542,7.553109,,,8.862,7.796081,
NGC4178,183.1932,10.86585,0.00561,5,2,0,8.353,8.069651,8.378711,8.0893,8.394,8.101113,8.472,8.162796,8.345,8.063594,,,8.699,8.353953,-1.180352
NGC4180,183.2625,7.03875,0.00786,2,0,1,8.563,7.694578,,,8.734,7.83183,8.824,7.907999,8.882,7.958301,,,9.12,8.172741,
NGC4183,183.3204,43.69854,0.00374,3,1,1,8.341,7.537826,8.249255,7.469266,8.48,7.64817,8.487,7.653913,8.391,7.576673,8.41083,7.592351,8.723,7.856144,-1.235972
NGC4189,183.447,13.42476,0.0051,4,1,0,8.507,7.613641,8.570519,7.660893,8.648,7.720827,8.76,7.811469,8.853,7.889883,,,9.042,8.056391,-0.9406
NGC4191,183.4599,7.20089,0.01012,5,1,1,8.512,7.962645,,,8.619,8.06591,8.585,8.033002,8.569,8.017545,,,8.838,8.27956,
NGC4192,183.4512,14.89996,0.00285,3,0,2,,,,,8.724074,,8.736244,,,,8.84775,,9.011428,,
NGC4193,183.47325,13.17282,0.00808,1,0,0,8.556,7.952126,,,8.706,8.068711,8.653,8.026504,8.781,8.130147,,,8.913,8.242555,
NGC4194,183.54,54.52654,0.00878,1,0,2,8.478,7.735231,,,8.479,7.736098,8.507,7.760473,8.77,7.997907,,,8.746,7.975701,
NGC4197,183.66045,5.80529,0.00561,2,1,0,8.393,7.701023,,,8.519,7.808873,8.574,7.857273,8.513,7.803638,,,8.821,8.082364,
NGC4203,183.77085,33.19722,0.00337,1,0,0,,,,,,,,,,,,,,,
NGC4206,183.82005,13.02386,0.00424,3,0,0,,,,,9.13,,8.611667,,8.554,,,,8.86657,,
NGC4207,183.87705,9.58488,0.00405,3,0,0,8.445,7.080307,8.454048,7.087252,8.647,7.242722,8.645,7.241045,8.62,7.220188,,,8.902,7.465473,-1.14745
NGC4212,183.91395,13.90135,0.00379,5,0,0,8.532,7.706911,,,8.646,7.799046,8.786,7.917955,8.954,8.067336,,,9.07,8.17379,
NGC4214,183.9135,36.32704,0.00067,8,0,0,8.076702,6.401787,8.253257,6.538574,8.249803,6.535782,8.149968,6.457024,8.277891,6.558605,8.37846,6.642468,8.297528,6.574723,-1.284348
NGC4216,183.97635,13.14958,0.0031,3,0,1,8.605,7.675459,,,8.765,7.772571,8.687,7.723475,8.825,7.812512,,,8.952,7.902875,
NGC4217,183.96225,47.0919,0.00416,2,1,2,8.539,7.660908,,,8.656,7.706596,8.754,7.750757,8.875,7.812881,,,9.033,7.906483,
NGC4222,184.0941,13.30724,0.00444,2,1,0,8.393161,7.463691,8.308545,7.404669,8.518,7.556779,8.55505,7.585665,8.352,7.434546,,,8.802747,7.791148,-1.367887
NGC4224,184.14075,7.46214,0.01298,2,0,0,,,,,9.459,,,,8.798,,,,,,
NGC4234,184.2882,3.68315,0.00739,4,2,0,8.456,7.29177,8.525604,7.342657,8.576,7.380826,8.63,7.422881,8.562,7.370116,,,8.888,7.637843,-0.885079
NGC4235,184.2912,7.19157,0.0042,1,2,0,8.08,7.241228,,,8.2,7.349743,8.348,7.487051,8.102,7.260903,,,8.563,7.691516,
NGC4236,184.17525,69.46257,0.00099,2,0,0,8.083,7.211023,8.212,7.323732,8.292,7.395581,8.42,7.513071,8.136,7.256815,8.964,8.034317,8.653,7.732989,-1.256
NGC4237,184.2975,15.3239,0.0044,0,0,1,,,,,,,,,,,,,,,
NGC4244,184.37295,37.80716,0.00098,10,2,0,8.11,7.087488,8.373774,7.302694,8.179,7.141401,8.202,7.159777,8.328,7.263703,8.3461,7.279048,8.838,7.724537,-1.075692
NGC4252,184.6287,5.55947,0.00489,1,0,0,8.214,6.709124,,,8.41,6.87246,8.293,6.773471,8.361,6.830506,,,8.499,6.950297,
NGC4254,184.70655,14.41641,0.00289,30,0,0,8.554,8.082346,8.562,8.088881,8.528,8.061261,8.776,8.271036,8.938,8.416573,9.154,8.617781,9.051,8.520987,-0.691
NGC4258,184.74,47.30388,0.00171,22,2,0,8.512,8.240828,8.51,8.239185,8.575,8.293231,8.593,8.308432,8.726,8.423568,8.971,8.646049,8.84,8.525655,-0.944
NGC4268,184.9467,5.28371,0.00677,2,0,0,,,,,,,,,,,,,,,
NGC4270,184.95585,5.46349,0.0056,1,0,0,,,,,,,,,,,,,,,
NGC4273,184.98345,5.34385,0.00627,2,0,1,8.511,8.012994,,,8.637,8.118421,8.77,8.234588,8.876,8.330088,,,9.061,8.501543,
NGC5574,215.2332,3.23793,0.00531,2,0,0,,,,,,,,,,,,,,,
NGC4276,185.0313,7.69177,0.00618,1,0,0,8.454,7.257323,,,8.679,7.436142,8.664,7.423657,8.621,7.388279,,,8.926,7.650834,
NGC4287,185.202,5.63985,0.00641,2,0,0,,,,,8.581,,,,8.154,,8.5241,,,,
NGC4289,185.25945,3.72208,0.01012,1,0,0,,,,,,,,,,,,,,,
NGC4294,185.3244,11.51048,0.00348,5,0,0,8.213,7.185519,8.37925,7.32052,8.299,7.254146,8.302,7.256588,8.322,7.27295,,,8.499,7.423198,-1.084992
NGC4299,185.41845,11.50228,0.00444,4,0,0,8.264,7.160988,8.281521,7.17584,8.328,7.215667,8.359,7.24256,8.425,7.300624,,,8.563,7.425134,-1.249593
NGC4302,185.4264,14.59814,0.00322,2,0,1,8.542,7.672886,,,9.031,8.05781,8.655,7.753316,8.764,7.836288,,,8.917,7.960433,
NGC4303A,185.613,4.56615,0.00305,4,0,0,8.149,6.812705,8.222717,6.873586,8.196,6.851315,8.193,6.848828,8.387,7.015103,,,8.283,6.924645,-1.320657
NGC4307,185.5233,9.04361,0.00524,1,0,1,,,,,,,,,,,,,,,
NGC4309,185.5515,7.14431,0.00599,1,0,1,,,,,,,,,,,,,,,
NGC4312,185.63055,15.53786,0.00224,1,1,0,8.474,6.76649,,,8.588,6.864374,8.725,6.986319,8.862,7.111998,,,9.003,7.244338,
NGC4313,185.66055,11.80084,0.00275,2,0,0,,,,,9.189,,,,8.538,,,,,,
NGC4316,185.676,9.33255,0.00593,0,0,1,,,,,,,,,,,,,,,
NGC4321,185.7282,15.82189,0.00357,59,1,3,8.557,8.213267,8.585,8.235076,8.624,8.26596,8.833,8.440306,8.95,8.543299,9.16,8.735277,9.122,8.699975,-0.65
NGC4322,185.75715,15.90558,0.00317,1,0,0,,,,,,,,,,,,,,,
NGC4324,185.77575,5.25049,0.00388,0,0,0,,,,,,,,,,,,,,,
NGC4330,185.82075,11.36754,0.0042,1,1,1,8.434,7.189622,,,8.637,7.330255,8.706,7.382398,8.591,7.296652,,,8.973,7.600953,
NGC4343,185.9112,6.95406,0.00493,1,1,1,,,,,,,,,,,,,,,
NGC4351,186.006,12.2046,0.0028,4,0,0,8.39,6.610621,8.557924,6.744271,8.507,6.702645,8.596,6.775958,8.754,6.911993,,,8.853,7.000399,-0.798455
NGC4353,185.99955,7.78444,0.00641,2,0,1,,,,,8.308716,,,,,,,,,,
NGC4355,186.72765,-0.87756,0.00569,2,0,0,,,,,9.38,,,,8.845,,,,,,
NGC4356,186.0606,8.53601,0.00357,1,0,0,,,,,,,,,,,,,,,
NGC4359,186.0465,31.52179,0.00446,2,1,0,8.265,7.319019,8.190005,7.26701,8.494,7.493405,8.475,7.478137,8.414,7.430036,8.42701,7.440174,8.714,7.678747,-1.475588
NGC4370,186.22875,7.44471,0.00712,1,0,0,,,,,9.444,,,,8.802,,,,,,
NGC4376,186.32535,5.74097,0.00498,3,0,0,8.214,6.86831,8.477606,7.083082,8.282,6.921343,8.293,6.93009,8.268,6.910276,,,8.492,7.095454,-0.956188
NGC4378,186.32535,4.92514,0.01089,0,0,0,,,,,,,,,,,,,,,
NGC4380,186.34215,10.01674,0.00452,1,1,0,,,,,,,,,,,,,,,
NGC4385,186.42825,0.5726,0.00752,1,1,2,8.466773,7.500157,8.441197,7.480483,8.460938,7.495645,8.609014,7.614136,,,,,8.863572,7.833917,-0.964144
NGC4388,186.44505,12.66202,0.0039,4,3,0,8.44,7.253738,,,8.614,7.37492,8.58,7.350103,8.495,7.290438,,,8.831,7.544614,
NGC4390,186.4611,10.45895,0.00588,3,0,0,8.371093,7.297957,8.348249,7.281976,8.73,7.578101,8.527809,7.414029,8.567,7.444677,,,8.771929,7.613801,-1.291461
NGC4396,186.49575,15.67109,0.00356,4,0,0,8.312,7.201619,8.353039,7.225682,8.465,7.296015,8.586,7.379298,8.414,7.263143,,,8.838,7.573645,-1.269503
NGC4402,186.5316,13.11312,0.00279,6,1,0,8.5,7.268735,,,8.564,7.311524,8.8,7.485964,8.958,7.615083,,,9.032,7.678288,
NGC4409,186.7437,2.4945,0.00341,4,1,0,8.424,7.207043,8.492339,7.262598,8.58,7.336117,8.6,7.353214,8.495,7.264794,,,8.857,7.581698,-0.986363
NGC4411A,186.62505,8.87167,0.00377,1,2,0,8.417827,7.153428,8.400776,7.138575,8.637568,7.350749,8.60377,7.319769,,,,,8.857652,7.556716,-1.368458
NGC4412,186.65055,3.96474,0.00799,3,1,0,8.578,7.621356,,,8.653,7.68359,8.801,7.811275,8.947,7.9424,,,9.088,8.072772,
NGC4413,186.6342,12.6106,0.00338,4,0,0,8.482,6.834652,,,8.623,6.927558,8.718,6.995693,8.817,7.070952,,,8.992,7.213134,
NGC4416,186.69465,7.91881,0.00894,4,1,0,8.472,7.658144,8.49731,7.675148,8.601,7.748094,8.764,7.872456,8.883,7.969653,,,9.044,8.108107,-1.019179
NGC4419,186.73545,15.04726,0.0039,1,1,0,8.552,7.554571,,,8.637,7.627394,8.842,7.810352,8.945,7.905365,,,9.15,8.098882,
NGC4423,186.78735,5.88011,0.00442,3,0,0,8.13,7.209135,8.110971,7.194484,8.189,7.255474,8.151,7.225474,8.231,7.289259,,,8.292,7.339421,-1.47038
NGC4424,186.79905,9.42018,0.00093,25,0,6,8.503,5.748228,,,8.765,5.981157,8.725,5.944646,8.607,5.838803,,,8.998,6.198814,
NGC4429,186.8607,11.10753,0.00292,0,0,0,,,,,,,,,,,,,,,
NGC4430,186.85995,6.26282,0.008,3,0,0,8.462,7.737007,,,8.646,7.861672,8.696,7.898365,8.766,7.951557,,,8.964,8.112114,
NGC4437,188.18955,0.11462,0.00188,4,0,0,8.417248,7.635493,8.494077,7.689277,8.568602,7.744076,8.55854,7.736533,,,,,8.806682,7.934097,-1.100441
NGC4438,186.94035,13.00884,0.00253,3,0,0,,,,,,,,,,,,,,,
NGC4445,187.0665,9.43629,0.00405,0,0,1,,,,,,,,,,,,,,,
NGC4449,187.0461,44.09324,0.00096,3,1,0,8.225,6.9358,,,8.272,6.974536,8.272,6.974536,8.327,7.020766,,,8.461,7.136985,
NGC4450,187.12335,17.08499,0.00369,0,0,0,,,,,,,,,,,,,,,
NGC4451,187.1691,9.25882,0.00585,31,1,1,8.431,7.183784,,,8.638,7.347764,8.729,7.424533,8.713,7.410856,,,9.003,7.66848,
NGC4454,187.2114,-1.93912,0.00704,1,1,0,,,,,,,,,,,,,,,
NGC4457,187.2459,3.57058,0.00241,1,0,0,,,,,,,,,,,,,,,
NGC4460,187.1898,44.86426,0.00213,1,1,0,,,,,8.465,,,,8.342,,,,,,
NGC4468,187.37865,14.04909,0.00353,1,0,0,,,,,,,,,,,,,,,
NGC4469,187.3668,8.74994,0.00376,1,0,1,,,,,,,,,,,,,,,
NGC4470,187.40745,7.8239,0.00387,56,0,3,8.384,7.034001,8.497,7.12666,8.579,7.196432,8.617,7.229403,8.49,7.120797,8.989,7.56835,8.873,7.460041,-0.923
NGC4480,187.6116,4.24642,0.00823,2,2,0,8.402447,7.808166,8.584876,7.943922,8.549492,7.916477,8.731858,8.062923,,,,,9.006115,8.30221,-0.634425
NGC4486,187.7058,12.39118,0.00376,1,1,0,,,,,,,,,,,,,,,
NGC4492,187.74885,8.07769,0.00733,0,0,0,,,,,,,,,,,,,,,
NGC4496A,187.91295,3.9395,0.00327,2,1,0,8.512,7.549863,,,8.559,7.586661,8.647,7.657771,8.856,7.836446,8.44319,7.497611,8.906,7.880884,
NGC4498,187.9149,16.85279,0.00374,4,1,0,8.397,7.183527,,,8.516,7.268033,8.648,7.369108,8.583,7.318439,,,8.914,7.591677,
NGC4501,187.99695,14.42014,0.00251,6,0,0,8.631,7.921643,8.602,7.899425,8.624,7.916248,8.896,8.138899,8.947,8.183197,9.195,8.406951,9.179,8.392165,-0.562
NGC4502,188.01375,16.68767,0.00618,2,0,1,8.303721,6.948419,8.52861,7.121046,8.47322,7.076652,8.498458,7.096741,,,,,8.738428,7.298306,-0.794601
NGC4503,188.02575,11.17642,0.00264,0,0,0,,,,,,,,,,,,,,,
NGC4519,188.37615,8.65445,0.00426,5,0,0,8.425,7.689911,8.38071,7.651188,8.548,7.799845,8.636,7.880349,8.691,7.931327,,,8.898,8.126828,-1.230537
NGC4521,188.1987,63.9392,0.00906,2,0,0,,,,,9.468,,,,8.863,,,,,,
NGC4522,188.41545,9.175,0.00326,3,0,0,8.445,7.015366,,,8.615,7.154649,8.717,7.242515,8.811,7.325824,,,8.995,7.494072,
NGC4525,188.463,30.27756,0.0025,2,2,0,8.324484,6.638965,,,8.487324,6.735026,8.550224,6.775986,,,8.44319,6.707542,8.7973,6.955407,
NGC4526,188.51265,7.69921,0.00345,4,0,0,,,,,,,,,,,,,,,
NGC4527,188.53395,2.65334,0.00317,3,0,0,8.524,8.22274,,,8.66,8.339572,8.723,8.395315,8.845,8.505681,,,9.007,8.656212,
NGC4531,188.5662,13.0754,0.00338,1,1,0,,,,,,,,,,,,,,,
NGC4532,188.5809,6.46756,0.0025,4,0,0,8.128,6.956133,8.234554,7.038805,8.252,7.052761,8.274,7.070517,8.363,7.144036,,,8.457,7.224336,-1.306069
NGC4533,188.59185,2.32539,0.0043,1,0,0,8.27,6.901945,,,8.443,7.043829,8.474,7.070264,8.359,6.973672,,,8.715,7.284011,
NGC4535,188.5845,8.19775,0.00335,6,0,0,8.517,8.074917,,,8.569,8.114691,8.703,8.222008,8.898,8.388554,8.88012,8.372849,8.979,8.460634,
NGC4536,188.61285,2.18791,0.00326,5,0,1,,,,,8.811,,8.626459,,8.27,,8.58883,,8.883316,,
NGC4546,188.87295,-3.79328,0.00313,0,1,0,,,,,,,,,,,,,,,
NGC4551,188.9082,12.26397,0.00361,1,0,0,,,,,,,,,,,,,,,
NGC4559,188.9904,27.95968,0.0016,26,1,0,8.214,7.592148,,,8.307,7.672984,8.288,7.656288,8.358,7.718222,,,8.5,7.847042,
NGC4561,189.0339,19.32264,0.00534,2,0,1,8.172,7.412727,8.26879,7.501538,8.36,7.586594,8.268,7.500807,8.36,7.586594,8.32992,7.558412,8.458,7.679204,-1.234274
NGC4562,188.89425,25.84967,0.00248,0,0,1,,,,,,,,,,,,,,,
NGC4565,189.08655,25.98719,0.00271,3,0,1,8.476,8.391282,,,8.726,8.588121,8.46,8.379551,8.581,8.471007,,,8.694,8.561642,
NGC4569,189.20805,13.16294,0.00266,0,3,0,,,,,,,,,,,,,,,
NGC4571,189.2349,14.21721,0.00434,4,0,0,,,,,9.405,,,,8.886,,,,,,
NGC4579,189.4314,11.818,0.00448,2,0,0,8.587,8.501002,,,8.632,8.542535,8.867,8.764005,8.963,8.856192,,,9.181,9.068038,
NGC4580,189.45165,5.36841,0.00426,0,1,0,,,,,,,,,,,,,,,
NGC4584,189.5745,13.10988,0.00312,1,0,0,8.445,6.185466,,,8.587,6.273821,8.77,6.402835,8.858,6.470235,,,9.064,6.639226,
NGC4586,189.6183,4.31902,0.00293,1,1,0,,,,,,,,,,,,,,,
NGC4591,189.80175,6.01223,0.00975,1,0,0,8.522,7.710416,,,8.66,7.816875,8.714,7.860527,8.847,7.972144,,,8.993,8.100319,
NGC4592,189.82815,-0.53196,0.00261,126,0,0,8.181,7.544201,8.175633,7.539531,8.369,7.712012,8.456,7.79203,8.446,7.782769,8.37846,7.720649,8.699,8.021216,-1.421885
NGC4595,189.96645,15.29768,0.00353,4,0,0,8.475,7.02943,,,8.55,7.08932,8.69,7.206241,8.84,7.337649,,,8.955,7.441803,
NGC4606,190.2396,11.91139,0.00281,1,1,0,8.518,6.486784,,,8.704,6.63158,8.587,6.538884,8.531,6.496444,,,8.837,6.742712,
NGC4607,190.3014,11.88627,0.00448,2,0,1,,,,,8.796077,,,,,,,,,,
NGC4618,190.3866,41.14891,0.00151,4,0,1,8.343,7.036815,8.425992,7.107688,8.404,7.088717,8.419,7.101642,8.41,7.09388,8.47556,7.150915,8.642,7.300201,-1.092808
NGC4621,190.5096,11.64702,0.00331,2,2,1,,,,,,,,,,,,,,,
NGC4625,190.4697,41.27384,0.00184,85,0,3,8.486,6.895869,8.518,6.923289,8.627,7.018714,8.732,7.113207,8.874,7.244224,9.034,7.39527,9.013,7.375275,-0.885
NGC4629,190.6362,-1.35051,0.0074,2,0,0,7.922,7.424276,8.172361,7.660099,8.252,7.73655,8.545,8.021677,8.175,7.662623,8.36228,7.843249,8.79,8.263107,-1.414124
NGC4630,190.62975,3.9599,0.00354,116,2,1,8.443,7.19734,8.521,7.258577,8.628,7.34618,8.76,7.45916,8.819,7.51115,9.113,7.780583,9.038,7.710478,-0.851
NGC4631,190.53285,32.54239,0.00165,9,1,0,8.238,8.042717,,,8.348,8.138319,8.344,8.134789,8.373,8.160469,,,8.514,8.287879,
NGC4633,190.6554,14.35694,0.00366,2,0,0,8.384,6.989102,8.309428,6.934853,8.489,7.069569,8.428,7.022266,8.412,7.010111,,,8.654,7.204374,-1.305618
NGC4636,190.707,2.68762,0.00316,8,4,1,,,,,9.301,,,,9.075,,,,,,
NGC4639,190.71825,13.25704,0.00569,1,1,2,8.535,7.887235,,,8.65,7.988218,8.725,8.055701,8.865,8.184472,,,9.001,8.312356,
NGC4643,190.8339,1.97828,0.00269,3,0,1,,,,,,,,,,,,,,,
NGC4651,190.92765,16.39339,0.00521,220,1,62,8.513,8.092869,8.513,8.092869,8.681,8.233593,8.671,8.224979,8.689,8.240504,8.967,8.489846,8.939,8.46404,-0.908
NGC4654,190.98585,13.12657,0.00311,10,0,0,8.51,8.535605,8.506,8.531776,8.56,8.583599,8.649,8.669534,8.811,8.827302,8.99,9.003114,8.91,8.924381,-0.908
NGC4656,190.9896,32.17016,0.00118,8,1,0,7.916,6.934648,7.993137,7.005366,7.932,6.949229,7.904,6.923744,8.233,7.230875,8.29755,7.292683,8.522,7.510148,-1.4361
NGC4666,191.286,-0.46186,0.00327,195,24,64,8.513,8.023738,8.566915,8.06762,8.695,8.175636,8.728,8.204232,8.788,8.256937,8.65356,8.14015,9.011,8.459523,-0.936023
NGC4668,191.3832,-0.53512,0.00349,7,0,0,8.282,6.909524,8.144466,6.813577,8.494,7.073746,8.438,7.028654,8.42,7.014405,8.39464,6.994543,8.671,7.223015,-1.507737
NGC4688,191.9436,4.33581,0.00384,1,1,0,8.259,7.318734,,,8.415,7.445641,8.523,7.538035,8.312,7.360886,,,8.766,7.756223,
NGC4689,191.93985,13.76272,0.00331,2,0,1,,,,,8.702663,,,,,,,,,,
NGC4691,192.057,-3.3329,0.00104,18,0,7,8.514,6.101299,,,8.722,6.26605,8.727,6.270202,8.666,6.22012,,,8.998,6.505761,
NGC4698,192.0954,8.4875,0.00491,2,1,0,,,,,,,,,,,,,,,
NGC4701,192.2976,3.38836,0.00383,4,0,0,8.482,7.646981,8.370368,7.546993,8.607,7.761791,8.765,7.910259,8.867,8.007637,,,9.058,8.192346,-1.257697
NGC4710,192.4128,15.16779,0.00244,4,0,0,8.546,6.913264,,,8.683,7.015106,8.718,7.042392,8.883,7.177047,,,8.991,7.26981,
