source_name,normalized_name,profile_type,break_radius_kpc,break_radius_error_kpc,inner_scale_kpc,inner_scale_error_kpc,outer_scale_kpc,outer_scale_error_kpc
ESO137-010,ESO13701G0,I,,,4.67,0.0,,
ESO337-010,ESO33701G0,I,,,8.16,0.0,,
IC1438,IC1438,II,9.55,0.17,7.15,0.58,2.58,0.03
IC1954,IC1954,I,,,1.64,0.01,,
IC2035,IC2035,III,2.96,0.07,0.57,0.01,1.17,0.04
IC2051,IC2051,II,6.92,0.12,4.6,1.88,1.39,0.02
IC2627,IC2627,I,,,2.58,0.06,,
IC2764,IC2764,I,,,1.78,0.05,,
IC3102,IC3102,II,13.28,0.12,5.08,0.32,2.5,0.04
IC4214,IC4214,I,,,4.11,0.09,,
IC4329,IC4329,III,33.36,0.91,11.81,0.18,15.95,0.11
IC4991,IC4991,I,,,10.58,0.3,,
IC5240,IC5240,II.i,,,2.28,0.07,,
IC5267,IC5267,III,10.3,0.69,3.18,0.32,7.02,0.2
IC5273,IC5273,II,6.78,0.06,1.77,0.01,1.3,0.0
IC5273,IC5273,III,9.18,0.02,1.3,0.0,3.21,0.07
IC5325,IC5325,I,,,1.81,0.0,,
IC5328,IC5328,I,,,5.07,0.08,,
NGC1022,NGC1022,I,,,2.04,0.02,,
NGC1042,NGC1042,II,8.73,0.16,4.75,0.36,2.81,0.01
NGC1079,NGC1079,II,10.7,0.17,4.84,0.5,3.02,0.02
NGC1084,NGC1084,III,8.99,1.04,1.63,0.15,3.99,0.6
NGC1087,NGC1087,I,,,2.32,0.03,,
NGC1097,NGC1097,II,19.52,0.15,12.92,1.31,4.75,0.01
NGC1187,NGC1187,II.i,,,2.86,0.02,,
NGC1201,NGC1201,II,7.44,0.18,2.95,0.06,2.16,0.02
NGC1232,NGC1232,II,19.38,2.45,5.68,0.34,4.31,0.23
NGC1255,NGC1255,II,7.16,0.06,6.89,0.97,2.11,0.01
NGC1291,NGC1291,II,13.78,0.18,23.76,2.27,4.38,0.05
NGC1297,NGC1297,I,,,2.16,0.04,,
NGC1326,NGC1326,II,6.23,0.14,6.24,4.71,2.44,0.01
NGC1344,NGC1344,I,,,5.03,0.08,,
NGC1350,NGC1350,II,19.89,0.09,17.97,1.05,5.28,0.03
NGC1357,NGC1357,III,7.98,0.21,3.02,0.1,4.91,0.02
NGC1365,NGC1365,II,33.45,0.61,12.19,0.94,8.19,0.06
NGC1367,NGC1367,III,9.38,0.16,2.82,0.05,4.38,0.01
NGC1371,NGC1371,III,9.49,0.09,2.68,0.03,4.22,0.01
NGC1387,NGC1387,I,,,2.5,0.03,,
NGC1398,NGC1398,II,14.48,0.72,6.14,0.39,4.09,0.16
NGC1398,NGC1398,III,21.73,0.58,4.09,0.16,6.67,0.18
NGC1400,NGC1400,I,,,0.91,0.02,,
NGC1411,NGC1411,I,,,0.99,0.09,,
NGC1436,NGC1436,II,4.0,0.04,13.73,1.33,1.71,0.01
NGC1440,NGC1440,II.i,,,1.77,0.07,,
NGC1452,NGC1452,II,9.22,0.09,2.87,0.26,1.33,0.01
NGC0150,NGC150,I,,,2.73,0.05,,
NGC1512,NGC1512,II,10.63,0.09,5.63,0.23,3.09,0.03
NGC1533,NGC1533,II.i,,,1.11,0.04,,
NGC1537,NGC1537,I,,,3.28,0.05,,
