galaxy,split,r,vobs,errv,vn,v_v6,v_mond,v_tau_proxy,gas_frac,log_sbdisk,bulge_frac,total_gas_fraction,log_sb_peak,rparent_raw,rparent_cd,resid_v6,resid_mond,resid_tau_proxy,accepted_population_support_tier,accepted_population_caveat,scale_radius_kpc,accepted_exp_disk_kernel,v_tau_narrow_accepted_exp_disk,beta_delta_v2_amplitude,accepted_endpoint_claim_boundary
NGC0100,train,0.23,6.81,8.19,6.783424651309986,14.038304254586286,14.909770890043289,13.994517682521494,-0.0160730720626058,2.1542413301672982,0.0,0.1353722904856278,2.1542413301672982,-0.3043782882380334,0.0731607492842454,-7.228304254586287,-8.099770890043288,-7.184517682521494,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.02165323071296051,13.241475652689077,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0100,train,0.69,20.0,4.09,16.69675267829047,30.63541633847137,31.540269003222832,30.547296532004264,-0.0133613576651683,2.0581602034918296,0.0,0.1353722904856278,2.1542413301672982,-0.3177216111453467,0.0598174263769321,-10.63541633847137,-11.540269003222832,-10.547296532004264,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.0964936422019224,29.01138419858872,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0100,train,1.15,33.0,4.0,24.268098400987252,42.68320980754341,43.6490530672142,42.60030694321129,-0.0222508008447711,1.9683895418470685,0.0,0.1353722904856278,2.1542413301672982,-0.3388204066423331,0.0387186308799457,-9.683209807543411,-10.649053067214195,-9.600306943211288,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.16152475736748378,40.73947043535,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0100,train,1.59,42.7,4.0,29.19110052738677,50.92364221386129,52.019803761896256,50.8739146967079,-0.0217998549148603,1.845098040014257,0.0,0.1353722904856278,2.1542413301672982,-0.3582312500114529,0.0193077875108259,-8.22364221386129,-9.319803761896251,-8.173914696707897,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.20329224294433842,48.878786012281,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0100,train,2.05,49.9,4.0,32.78839123836362,57.42298987135614,58.68877592880482,57.400659817031126,-0.0142932805099087,1.7373516958037143,0.0,0.1353722904856278,2.1542413301672982,-0.3698201293505245,0.0077189081717543,-7.522989871356138,-8.788775928804824,-7.500659817031128,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.22720777084178978,55.40135161749386,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0100,train,2.51,55.5,4.0,35.73315757108515,62.92379395990025,64.3582290854862,62.89773378216852,0.0080698837001169,1.635282637998212,0.0,0.1353722904856278,2.1542413301672982,-0.3692730987866836,0.0082659387355952,-7.423793959900252,-8.858229085486201,-7.397733782168523,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.23567900425595062,61.01483192545779,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0100,train,2.97,61.9,4.0,38.28932096551204,67.79042075033651,69.38838673082225,67.74917287419487,0.0376549693565548,1.520352504083318,0.0,0.1353722904856278,2.1542413301672982,-0.3653291930958638,0.0122098444264149,-5.89042075033651,-7.488386730822249,-5.8491728741948705,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.23354495813497875,66.03854440085038,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0100,train,3.42,67.9,4.0,40.23689227562189,71.77478436713956,73.54780815186722,71.72982460310223,0.0623854429334021,1.4065401804339552,0.0,0.1353722904856278,2.1542413301672982,-0.3648746031960021,0.0126644343262767,-3.8747843671395543,-5.64780815186721,-3.829824603102225,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.2249930396759978,70.18370891496234,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0100,train,3.88,73.1,4.0,40.745356790682294,74.00372308372624,76.05244460744228,74.00823847559288,0.0863042237303682,1.2068258760318498,0.0,0.1353722904856278,2.1542413301672982,-0.3787950776794121,-0.0012560401571332,-0.9037230837262484,-2.9524446074422883,-0.9082384755928814,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.2125196832551012,72.54795755956654,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0100,train,4.34,76.1,3.0,40.64338691595473,75.36278096674846,77.74340387569272,75.34950416282778,0.1121337812337893,1.115943176939055,0.0,0.1353722904856278,2.1542413301672982,-0.3738365819744187,0.0037024555478601,0.7372190332515345,-1.6434038756927265,0.7504958371722097,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.1982941762059233,74.03029524915458,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0100,train,4.79,77.8,5.34,40.51103059661652,76.51494711501833,79.23274941586858,76.51554821993763,0.1338288739632534,0.9894498176666918,0.0,0.1353722904856278,2.1542413301672982,-0.3777072132027836,-0.0001681756805047,1.285052884981667,-1.4327494158685852,1.2844517800623692,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.18396984850563944,75.29842587888317,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0100,train,5.24,79.0,4.0,40.29348830766579,77.44474357433471,80.51605375858558,77.46547764137478,0.1518202040792695,0.8692317197309762,0.0,0.1353722904856278,2.1542413301672982,-0.3833712835328974,-0.0058322460106185,1.5552564256652914,-1.5160537585855849,1.5345223586252246,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.17002518759453594,76.33480806483159,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0100,train,5.7,78.5,5.6,39.54836026942205,77.61578793015136,81.12082072241051,77.67800184373078,0.1711234924614761,0.7032913781186614,0.0,0.1353722904856278,2.1542413301672982,-0.3953687870854319,-0.017829749563153,0.884212069848644,-2.620820722410514,0.8219981562692169,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.1566252791645998,76.5961950130248,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0100,train,6.16,79.8,7.15,38.64066769609449,77.44756869130057,81.42441763366519,77.51861276975512,0.1841110301163779,0.6232492903979004,0.0,0.1353722904856278,2.1542413301672982,-0.398377682041647,-0.0208386445193681,2.352431308699422,-1.624417633665189,2.2813872302448743,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.14432262301980653,76.50648911860372,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0100,train,7.16,83.4,5.12,36.98671653445328,77.12623736569141,82.12874271745171,77.25599402752157,0.2117520159834247,0.3747483460101038,0.0,0.1353722904856278,2.1542413301672982,-0.417301208510831,-0.0397621709885521,6.273762634308596,1.2712572825482908,6.144005972478439,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.12161516526572819,76.33065636213347,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0100,train,7.52,84.6,4.0,36.56840712965223,77.15440778721926,82.5063024662165,77.2801423850157,0.2279693137041704,0.3031960574204888,0.0,0.1353722904856278,2.1542413301672982,-0.4165094458850811,-0.0389704083628023,7.445592212780738,2.093697533783498,7.319857614984301,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,1.2193294483812045,0.11472773848033352,76.40438090662107,-1003.8829388432548,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
