galaxy,split,n_points,rmse_kernel_v02,rmse_tpg_v6,rmse_mond,v02_minus_tpg_v6,v02_minus_mond
CamB,holdout,9,14.055365292337445,13.63779853730796,15.623524086441458,0.41756675502948504,-1.5681587941040132
D512-2,train,4,3.0717106227224003,2.5139498188497846,6.561883790113319,0.5577608038726156,-3.4901731673909184
D564-8,train,6,3.62866175516861,3.399294537690645,7.16409055590109,0.22936721747796485,-3.5354288007324803
D631-7,train,16,10.407533326471656,10.35809255392164,10.521817679771978,0.049440772550015666,-0.11428435330032194
DDO064,train,14,2.8994800243269503,2.7332917850477236,3.548332793859171,0.16618823927922666,-0.6488527695322208
DDO154,train,12,3.247927095967127,3.544983778635305,4.451832612674567,-0.297056682668178,-1.2039055167074397
DDO161,train,31,14.520728285659445,13.579219703882607,18.569662825271475,0.9415085817768372,-4.048934539612031
DDO168,train,10,7.060688592169159,6.727638673752554,7.879974549733663,0.3330499184166049,-0.819285957564504
DDO170,train,8,8.46261719309614,7.480201139884626,14.370201282342645,0.982416053211514,-5.907584089246505
ESO444-G084,train,7,13.31215219910166,13.917114692092932,10.513209179623457,-0.6049624929912714,2.7989430194782035
F561-1,holdout,6,29.797523067616492,28.55685188052471,32.526019723976546,1.240671187091781,-2.728496656360054
F563-1,holdout,17,23.712964953234994,24.695833689633552,18.44568739642176,-0.982868736398558,5.267277556813234
F563-V1,train,6,24.5187360733553,23.66949222725619,29.338957960123544,0.8492438460991103,-4.820221886768245
F563-V2,train,10,25.199219963201106,26.238947803350438,23.428832485173935,-1.0397278401493324,1.7703874780271711
F565-V2,train,7,11.077397082773848,11.960771688430881,6.916649069723871,-0.8833746056570337,4.160748013049977
F567-2,train,5,14.91914353686062,14.016635993218337,19.406231954265397,0.9025075436422831,-4.487088417404777
F571-V1,train,7,3.319653829185343,3.5735232878164758,6.360130039546406,-0.25386945863113297,-3.040476210361063
F574-2,train,5,33.741756596900316,32.6388165436646,38.74115873241575,1.102940053235713,-4.999402135515432
F583-1,train,25,12.78794624730963,13.297286773674033,10.320140273858495,-0.5093405263644026,2.467805973451135
IC2574,holdout,34,8.325535587643618,7.5138151552258,13.51316984455882,0.8117204324178173,-5.187634256915203
KK98-251,train,15,8.720847102326568,8.181219377823203,10.870651981388162,0.5396277245033652,-2.1498048790615947
NGC0055,train,21,15.01035828695948,13.646013162608714,17.518196226309797,1.3643451243507663,-2.507837939350317
NGC1003,train,36,10.541236887330912,11.228797331872782,8.233924992844548,-0.6875604445418695,2.3073118944863644
NGC1705,train,14,19.83956714449708,20.59864390810048,16.95201559286103,-0.7590767636033995,2.887551551636051
NGC2366,train,26,8.947824311407466,8.175530891777854,11.387781875806942,0.7722934196296123,-2.439957564399476
NGC2915,train,30,25.213374965717808,26.00786566771677,20.629433034344654,-0.7944907019989635,4.583941931373154
NGC3109,train,25,8.6500959929209,9.323880057063088,5.041785679362137,-0.6737840641421879,3.6083103135587624
NGC3741,train,21,7.328988013680836,7.821498388140469,2.7212527031991094,-0.4925103744596333,4.6077353104817265
NGC4068,train,6,10.373827233804064,9.789559083112076,11.389697947293712,0.5842681506919885,-1.0158707134896474
NGC4214,holdout,14,17.13478659678441,17.991047303306434,15.27888150484993,-0.8562607065220256,1.8559050919344795
NGC6789,holdout,4,15.455051989159193,15.897752239176857,15.396246199577478,-0.4427002500176638,0.05880578958171512
PGC51017,train,6,19.00588975612564,18.392706990319713,21.58619332313812,0.6131827658059272,-2.5803035670124785
UGC00128,train,22,12.764487228722691,13.983592876820651,11.714529979315056,-1.21910564809796,1.049957249407635
UGC00191,train,9,6.808016719586177,7.100447637659804,7.3035411506648025,-0.2924309180736273,-0.49552443107862576
UGC00634,train,4,6.756213422411423,8.17927394861286,2.390542422509193,-1.4230605262014366,4.36567099990223
UGC00731,holdout,12,12.752781089436402,12.845453066903099,11.466827035781066,-0.09267197746669709,1.2859540536553364
UGC00891,holdout,5,6.055335198656264,5.958365558298525,7.682081654505746,0.09696964035773892,-1.6267464558494815
UGC01230,train,11,15.668712991340536,15.668391396233122,19.787452508603863,0.0003215951074135859,-4.118739517263327
UGC02023,holdout,5,12.946755046444615,12.198048884046239,13.979836766957423,0.748706162398376,-1.0330817205128078
UGC02455,train,8,41.40424421066035,40.12562667208877,41.15186377794972,1.2786175385715808,0.2523804327106305
UGC04305,holdout,22,24.92855311497782,23.999621706482884,26.588364190715332,0.928931408494936,-1.6598110757375117
UGC04325,train,8,16.996813781981693,17.920667735433767,16.430046998854888,-0.923853953452074,0.5667667831268055
UGC04483,train,8,4.173728368535109,3.798705980303068,5.284251656234046,0.3750223882320407,-1.1105232876989373
UGC04499,holdout,9,6.970228652123647,6.040634191372928,8.985021588452573,0.9295944607507192,-2.0147929363289263
UGC05005,train,11,9.543444646963563,8.667266606701743,15.3370678339474,0.87617804026182,-5.793623186983837
