galaxy,match_status,s4g_name,a1_inner,a1_outer,residual_blind,velocity_endpoint_used
UGC07524,NO_MATCH,,,,True,False
UGC07559,NO_MATCH,,,,True,False
UGC07577,NO_MATCH,,,,True,False
UGC07603,NO_MATCH,,,,True,False
UGC07608,NO_MATCH,,,,True,False
UGC07690,NO_MATCH,,,,True,False
UGC07866,NO_MATCH,,,,True,False
UGC08286,NO_MATCH,,,,True,False
UGC08490,NO_MATCH,,,,True,False
UGC08550,NO_MATCH,,,,True,False
UGC08699,NO_MATCH,,,,True,False
UGC08837,NO_MATCH,,,,True,False
UGC09037,NO_MATCH,,,,True,False
UGC09133,NO_MATCH,,,,True,False
UGC09992,NO_MATCH,,,,True,False
UGC10310,NO_MATCH,,,,True,False
UGC11455,NO_MATCH,,,,True,False
UGC11557,NO_MATCH,,,,True,False
UGC11820,NO_MATCH,,,,True,False
UGC11914,NO_MATCH,,,,True,False
UGC12506,NO_MATCH,,,,True,False
UGC12632,NO_MATCH,,,,True,False
UGC12732,NO_MATCH,,,,True,False
UGCA281,NO_MATCH,,,,True,False
UGCA442,NO_MATCH,,,,True,False
UGCA444,NO_MATCH,,,,True,False
