GalaxyName,RotmodSpecificityFlagV02,FixedTPG_rank_1_best,best_model,FixedTPG_minus_best_conventional,FixedTPG_beats_RAR,FixedTPG_beats_MOND,FixedTPG_beats_Newtonian
KK98-251,v02_core_like,1,FixedTPG,-0.043328635000000004,True,True,True
IC2574,v02_core_like,1,FixedTPG,-0.04701200500000001,True,True,True
UGC04483,v02_core_like,1,FixedTPG,-0.026408009999999996,True,True,True
DDO161,v02_core_like,1,FixedTPG,-0.02621420100000002,True,True,True
NGC2366,v02_core_like,1,FixedTPG,-0.025228938999999992,True,True,True
UGC05005,v02_core_like,1,FixedTPG,-0.025139596,True,True,True
UGC07577,model_specificity_failure,2,Newtonian,0.13564054099999998,True,True,False
DDO170,no_radial_s_tau_ramp,1,FixedTPG,-0.043651867,True,True,True
UGC05750,no_radial_s_tau_ramp,1,FixedTPG,-0.043177414,True,True,True
CamB,model_specificity_failure,2,Newtonian,0.27292802399999994,True,True,False
UGC07125,no_radial_s_tau_ramp,1,FixedTPG,-0.03302379899999999,True,True,True
UGC08837,model_specificity_failure,2,Newtonian,0.023342047000000005,True,True,False
UGC01281,near_one_or_high_s_tau_control,1,FixedTPG,-0.025903643000000004,True,True,True
NGC0289,near_one_or_high_s_tau_control,1,FixedTPG,-0.022386802000000004,True,True,True
UGC04305,model_specificity_failure,2,Newtonian,0.15411982500000002,True,True,False
F583-4,near_one_or_high_s_tau_control,1,FixedTPG,-0.017930000999999997,True,True,True
UGC07089,weak_tpg_specific_gain,1,FixedTPG,-0.017082586999999996,True,True,True
NGC0055,weak_tpg_specific_gain,1,FixedTPG,-0.015032706000000007,True,True,True
DDO154,near_one_or_high_s_tau_control,1,FixedTPG,-0.014114466000000006,True,True,True
NGC3769,near_one_or_high_s_tau_control,1,FixedTPG,-0.013529066999999999,True,True,True
UGC04499,near_one_or_high_s_tau_control,1,FixedTPG,-0.012716820999999996,True,True,True
NGC4183,near_one_or_high_s_tau_control,1,FixedTPG,-0.011250899000000002,True,True,True
NGC2683,near_one_or_high_s_tau_control,1,FixedTPG,-0.010539884999999995,True,True,True
UGC06930,near_one_or_high_s_tau_control,1,FixedTPG,-0.010356638000000001,True,True,True
UGC01230,near_one_or_high_s_tau_control,1,FixedTPG,-0.009598183999999996,True,True,True
DDO168,near_one_or_high_s_tau_control,1,FixedTPG,-0.009574918000000002,True,True,True
NGC4559,weak_tpg_specific_gain,1,FixedTPG,-0.009472681999999996,True,True,True
NGC5055,weak_tpg_specific_gain,1,FixedTPG,-0.009204219999999999,True,True,True
UGC06818,weak_tpg_specific_gain,1,FixedTPG,-0.00903367699999999,True,True,True
UGC07323,weak_tpg_specific_gain,1,FixedTPG,-0.00843613800000001,True,True,True
UGC07524,near_one_or_high_s_tau_control,1,FixedTPG,-0.007192179999999999,True,True,True
UGC09133,near_one_or_high_s_tau_control,1,FixedTPG,-0.0064835859999999995,True,True,True
D631-7,near_one_or_high_s_tau_control,1,FixedTPG,-0.006118974999999999,True,True,True
UGC11820,near_one_or_high_s_tau_control,1,FixedTPG,-0.0057714160000000014,True,True,True
UGC07151,near_one_or_high_s_tau_control,1,FixedTPG,-0.005714267000000002,True,True,True
NGC0801,no_radial_s_tau_ramp,1,FixedTPG,-0.005693788999999998,True,True,True
UGC09037,weak_tpg_specific_gain,1,FixedTPG,-0.0051398289999999985,True,True,True
F568-3,near_one_or_high_s_tau_control,1,FixedTPG,-0.005036578,True,True,True
NGC3726,weak_tpg_specific_gain,1,FixedTPG,-0.004362973999999992,True,True,True
NGC1090,no_radial_s_tau_ramp,1,FixedTPG,-0.004353978999999994,True,True,True
UGC06614,weak_tpg_specific_gain,1,FixedTPG,-0.004061167999999997,True,True,True
UGC11557,model_specificity_failure,2,Newtonian,0.12252591399999999,True,True,False
NGC5371,no_radial_s_tau_ramp,1,FixedTPG,-0.004014750999999997,True,True,True
NGC3198,near_one_or_high_s_tau_control,1,FixedTPG,-0.003947186000000005,True,True,True
NGC4157,weak_tpg_specific_gain,1,FixedTPG,-0.0035372659999999972,True,True,True
NGC6946,no_radial_s_tau_ramp,1,FixedTPG,-0.0033641010000000013,True,True,True
NGC5907,near_one_or_high_s_tau_control,1,FixedTPG,-0.002513932999999996,True,True,True
NGC0100,near_one_or_high_s_tau_control,1,FixedTPG,-0.003103624000000013,True,True,True
UGC02455,model_specificity_failure,2,Newtonian,0.1437297,True,True,False
NGC4088,model_specificity_failure,2,Newtonian,0.018979917,True,True,False
NGC2976,weak_tpg_specific_gain,1,FixedTPG,-0.0027689290000000033,True,True,True
NGC4013,near_one_or_high_s_tau_control,1,FixedTPG,-0.002748257000000004,True,True,True
NGC5585,near_one_or_high_s_tau_control,1,FixedTPG,-0.0025321110000000036,True,True,True
NGC4010,near_one_or_high_s_tau_control,1,FixedTPG,-0.0024441509999999986,True,True,True
UGC11914,near_one_or_high_s_tau_control,2,MOND,0.006120600000000004,True,False,True
NGC6195,no_radial_s_tau_ramp,1,FixedTPG,-0.00191181,True,True,True
UGC02916,no_radial_s_tau_ramp,1,FixedTPG,-0.0018946850000000001,True,True,True
UGC03580,required_s_tau_too_low_or_unphysical,1,FixedTPG,-0.0017344460000000006,True,True,True
NGC2955,no_radial_s_tau_ramp,1,FixedTPG,-0.001714605000000001,True,True,True
UGC11455,near_one_or_high_s_tau_control,1,FixedTPG,-0.0011869109999999988,True,True,True
NGC3877,no_radial_s_tau_ramp,1,FixedTPG,-0.0010928499999999924,True,True,True
NGC7793,near_one_or_high_s_tau_control,1,FixedTPG,-0.0009743410000000036,True,True,True
NGC7331,weak_tpg_specific_gain,1,FixedTPG,-0.0008925070000000007,True,True,True
NGC3917,near_one_or_high_s_tau_control,1,FixedTPG,-0.000825850000000003,True,True,True
UGC05253,near_one_or_high_s_tau_control,1,FixedTPG,-0.0006806590000000001,True,True,True
NGC3521,near_one_or_high_s_tau_control,2,MOND,0.0011924349999999986,True,False,True
UGCA444,near_one_or_high_s_tau_control,1,FixedTPG,-0.0001412989999999975,True,True,True
NGC0247,near_one_or_high_s_tau_control,3,RAR,0.00018686700000000028,False,False,True
NGC3953,near_one_or_high_s_tau_control,3,MOND,0.001317396999999998,False,False,True
NGC0891,weak_tpg_specific_gain,2,RAR,0.0004343579999999958,False,True,True
NGC4217,model_specificity_failure,3,Newtonian,0.0023965780000000103,False,True,False
NGC4100,near_one_or_high_s_tau_control,3,MOND,0.0023615400000000022,False,False,True
NGC2998,near_one_or_high_s_tau_control,3,MOND,0.003238376000000001,False,False,True
IC4202,near_one_or_high_s_tau_control,2,RAR,0.0007938670000000037,False,True,True
UGC06973,weak_tpg_specific_gain,2,RAR,0.0013129119999999994,False,True,True
ESO563-G021,near_one_or_high_s_tau_control,3,MOND,0.0014096219999999993,False,False,True
ESO079-G014,near_one_or_high_s_tau_control,3,RAR,0.0013782450000000002,False,False,True
NGC3972,near_one_or_high_s_tau_control,3,MOND,0.0018274679999999988,False,False,True
NGC3893,near_one_or_high_s_tau_control,3,RAR,0.0016312609999999984,False,False,True
UGC12632,near_one_or_high_s_tau_control,3,RAR,0.0016905489999999995,False,False,True
NGC2903,near_one_or_high_s_tau_control,2,RAR,0.001730624,False,True,True
NGC5033,near_one_or_high_s_tau_control,2,RAR,0.0018838319999999985,False,True,True
UGC02885,near_one_or_high_s_tau_control,3,MOND,0.004922044,False,False,True
UGC05829,near_one_or_high_s_tau_control,3,RAR,0.002054837000000004,False,False,True
UGC03546,required_s_tau_too_low_or_unphysical,2,RAR,0.0022096500000000005,False,True,True
UGC02953,near_one_or_high_s_tau_control,3,MOND,0.005153365000000007,False,False,True
UGC03205,near_one_or_high_s_tau_control,3,MOND,0.006361320999999996,False,False,True
NGC5005,near_one_or_high_s_tau_control,2,RAR,0.002732087999999997,False,True,True
NGC5985,near_one_or_high_s_tau_control,3,MOND,0.005933637000000019,False,False,True
UGC00191,near_one_or_high_s_tau_control,3,MOND,0.003651770999999998,False,False,True
UGC12506,near_one_or_high_s_tau_control,3,MOND,0.004869497,False,False,True
NGC3992,near_one_or_high_s_tau_control,3,MOND,0.005741175000000001,False,False,True
NGC7814,near_one_or_high_s_tau_control,3,MOND,0.004992508,False,False,True
UGC08699,near_one_or_high_s_tau_control,3,MOND,0.0047605589999999975,False,False,True
F571-8,near_one_or_high_s_tau_control,3,RAR,0.004712313999999995,False,False,True
UGCA442,near_one_or_high_s_tau_control,3,RAR,0.005117366999999998,False,False,True
UGC06786,near_one_or_high_s_tau_control,3,MOND,0.008634373,False,False,True
NGC6015,near_one_or_high_s_tau_control,3,MOND,0.0072610510000000045,False,False,True
UGC06787,near_one_or_high_s_tau_control,3,MOND,0.006263787999999999,False,False,True
NGC0024,near_one_or_high_s_tau_control,3,MOND,0.007665459999999985,False,False,True
NGC2841,near_one_or_high_s_tau_control,3,MOND,0.011071151000000001,False,False,True
UGC06399,near_one_or_high_s_tau_control,3,MOND,0.007277533000000003,False,False,True
UGC06917,near_one_or_high_s_tau_control,3,MOND,0.007704884000000002,False,False,True
UGC02487,near_one_or_high_s_tau_control,3,MOND,0.01053248200000001,False,False,True
F579-V1,near_one_or_high_s_tau_control,3,MOND,0.008491599000000002,False,False,True
UGC06983,near_one_or_high_s_tau_control,3,MOND,0.008781509,False,False,True
UGC04278,near_one_or_high_s_tau_control,3,MOND,0.008468956,False,False,True
NGC6674,near_one_or_high_s_tau_control,3,MOND,0.011047192000000004,False,False,True
ESO116-G012,near_one_or_high_s_tau_control,3,MOND,0.010193803999999994,False,False,True
UGC05986,near_one_or_high_s_tau_control,3,MOND,0.010571962000000004,False,False,True
UGC04325,near_one_or_high_s_tau_control,3,MOND,0.010706621,False,False,True
UGC05716,near_one_or_high_s_tau_control,3,MOND,0.010962466000000004,False,False,True
F574-1,near_one_or_high_s_tau_control,3,MOND,0.011228481999999991,False,False,True
NGC2403,near_one_or_high_s_tau_control,3,MOND,0.012637677,False,False,True
NGC1003,near_one_or_high_s_tau_control,3,RAR,0.011881018,False,False,True
UGC00128,near_one_or_high_s_tau_control,3,MOND,0.012334618999999998,False,False,True
NGC6503,near_one_or_high_s_tau_control,3,RAR,0.012715832,False,False,True
UGC05721,near_one_or_high_s_tau_control,3,MOND,0.01569016799999999,False,False,True
UGC12732,near_one_or_high_s_tau_control,3,MOND,0.015467688,False,False,True
UGC02259,near_one_or_high_s_tau_control,3,MOND,0.016596864000000003,False,False,True
UGC05918,near_one_or_high_s_tau_control,3,RAR,0.016138715999999997,False,False,True
UGC07399,near_one_or_high_s_tau_control,3,MOND,0.016918412999999993,False,False,True
UGC06446,near_one_or_high_s_tau_control,3,MOND,0.016543457999999997,False,False,True
NGC4214,near_one_or_high_s_tau_control,3,MOND,0.017825885,False,False,True
F563-V2,near_one_or_high_s_tau_control,3,MOND,0.017106446000000025,False,False,True
NGC3109,near_one_or_high_s_tau_control,3,MOND,0.016737026999999995,False,False,True
UGC07603,near_one_or_high_s_tau_control,3,MOND,0.017904028000000002,False,False,True
F568-1,near_one_or_high_s_tau_control,3,MOND,0.01824315700000001,False,False,True
UGC08286,near_one_or_high_s_tau_control,3,MOND,0.01899489900000001,False,False,True
F583-1,near_one_or_high_s_tau_control,3,MOND,0.020016233999999994,False,False,True
NGC0300,near_one_or_high_s_tau_control,3,MOND,0.020341819000000004,False,False,True
F568-V1,near_one_or_high_s_tau_control,3,MOND,0.022428205000000007,False,False,True
UGC08490,near_one_or_high_s_tau_control,3,MOND,0.023823858999999996,False,False,True
UGC07608,near_one_or_high_s_tau_control,3,MOND,0.023810556999999996,False,False,True
UGC08550,near_one_or_high_s_tau_control,3,MOND,0.024071568,False,False,True
NGC1705,near_one_or_high_s_tau_control,3,MOND,0.029803524000000012,False,False,True
F563-1,near_one_or_high_s_tau_control,3,MOND,0.031587016999999995,False,False,True
UGC05764,near_one_or_high_s_tau_control,3,MOND,0.03313158000000001,False,False,True
NGC2915,near_one_or_high_s_tau_control,3,RAR,0.033593439,False,False,True
DDO064,near_one_or_high_s_tau_control,3,RAR,0.039282678,False,False,True
UGC00731,near_one_or_high_s_tau_control,3,MOND,0.040413984999999986,False,False,True
NGC3741,near_one_or_high_s_tau_control,3,RAR,0.044805479,False,False,True
UGC06667,near_one_or_high_s_tau_control,3,MOND,0.05759187499999999,False,False,True
