galaxy,split,formula_family,n_points,rmse_matched,matched_minus_wrong,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared
CamB,holdout,K_scale_tail_spiral,9,12.553468734005927,6.025332047958684,9.197861861833324,-1.0843298033020332,-3.0700553524355314,5.342013510558951,12.553468734005927,8.10356416191756,6.138832385665218
ESO116-G012,holdout,K_exponential_disk,15,19.436321828022184,-1.4419248139971899,-27.350100119060787,7.928120160011156,10.327655339140563,29.14861823347563,7.081721456966918,19.436321828022184,26.404400235615572
F561-1,holdout,K_scale_tail_spiral,6,28.034619630448216,12.822444389747597,18.441202907257814,-0.5222322500764953,-4.4914000935283305,8.670616829722823,28.034619630448216,22.08465824670592,14.881250645673111
F563-1,holdout,K_scale_tail_spiral,17,29.49224920845094,-19.388921089293316,-32.985308046772005,4.796415518817387,11.046561812029179,51.79557719395736,29.49224920845094,44.736812156187575,50.11112154308781
F568-1,holdout,K_thick_flared,12,52.65306810642624,8.073301426016556,-17.20976372487734,19.152457572750215,22.678879252767707,55.15520591085034,31.47249352833366,47.11160060204507,52.65306810642624
IC2574,holdout,K_scale_tail_spiral,34,6.044123369423201,-6.231380564020307,-17.73942362986224,-1.469691785802599,-7.469046475135619,14.399813781153352,6.044123369423201,9.480653122245801,12.94604489693137
IC4202,holdout,K_compact_finite,32,26.478452958341034,-29.117072426202572,-42.643140735956166,0.3769379991641202,0.35042266976189396,26.478452958341034,106.82198308841234,35.685425596831294,24.27916746838719
NGC0024,holdout,K_thick_flared,29,30.1430130224795,5.538370738649885,-17.03827945768756,7.9851989383825135,9.490390449530132,32.87550900334761,15.984046495404478,24.954371352736764,30.1430130224795
NGC2683,holdout,K_thick_flared,11,25.456404623057036,0.5439807294847263,-38.53819426199122,15.141574283244362,11.305389208546615,31.02601514831723,31.613495037906066,12.09776149449363,25.456404623057036
NGC3726,holdout,K_thick_flared,12,19.505697050425095,-21.351280337795327,-30.898368018703817,-4.126179696009402,-6.819647690744688,25.739851660652572,72.55791067585295,24.273169828155726,19.505697050425095
NGC3949,holdout,K_thick_flared,7,37.2582179308693,-20.607358007321565,8.74094148670386,28.308059700185773,25.960313308440966,26.323211275425976,85.51185084002452,61.7616656991221,37.2582179308693
NGC3972,holdout,K_thick_flared,10,15.686783273242284,-3.898401823385054,-28.772811669675754,7.880355186378018,8.91203541234547,21.169212878755772,26.330908278892945,11.255434132233294,15.686783273242284
NGC4013,holdout,K_compact_finite,36,28.165355138115643,-0.7333490939610847,-37.52594397309876,15.89144260605846,13.831133079796517,28.165355138115643,45.82241984931135,15.371407783793746,25.50228506312509
NGC4088,holdout,K_thick_flared,12,45.80916362767288,-31.77711030001155,20.412874326148984,6.821427129013202,3.6253178108690207,38.486566341294974,125.89789246053051,68.37436298122783,45.80916362767288
NGC4183,holdout,K_exponential_disk,23,20.275830748357215,-5.667501187822335,-28.135025434126426,13.78613725724312,9.920837153950501,29.53475712467331,21.386796648406698,20.275830748357215,26.908442035458652
NGC4214,holdout,K_scale_tail_spiral,14,16.516211150216158,-14.123112755310341,-27.1000256525792,-1.4748361530902763,1.2373296453662288,33.359246278922235,16.516211150216158,27.07774051584623,31.480984921811036
NGC4389,holdout,K_thick_flared,6,65.94511506215666,-12.821446467737758,42.37882086277226,19.38818652329938,17.444012263848087,51.08913652028713,99.17470718774702,86.03584088164914,65.94511506215666
NGC5907,holdout,K_thick_flared,19,38.53965860056673,-2.7270361350137478,-47.94408965444838,21.754148615107425,19.94429378558949,45.04471628730081,53.937139919409525,24.818228000031116,38.53965860056673
NGC5985,holdout,K_compact_finite,33,86.37280795771252,18.213412377363753,-50.12339545510477,14.085417566451909,16.969227963799057,86.37280795771252,61.706827564314715,62.527539806164164,80.24381937056746
NGC6789,holdout,K_scale_tail_spiral,4,13.416621091070049,-4.181611454119675,-13.081781485558562,-2.481131148106808,-1.9796251085074292,21.064362626346266,13.416621091070049,14.226612859190725,17.503722150032182
NGC6946,holdout,K_compact_finite,58,9.940039141576603,-29.11268367816131,-32.20985718490769,-5.085408283629976,-7.7881039538429935,9.940039141576603,82.78785165268245,24.310176116262436,10.06014069026886
NGC7331,holdout,K_thick_flared,36,31.59397705924573,-35.04426089755766,-27.760374730082013,6.108911999174719,2.2823018288260286,26.408026014425857,123.7805045136247,49.72618334235961,31.59397705924573
UGC00731,holdout,K_scale_tail_spiral,12,21.250756145448452,-6.032352866603027,-16.922851235762995,8.405303078545353,9.783929109667387,29.372794174598514,21.250756145448452,24.92043978588871,27.55609307566721
UGC00891,holdout,K_scale_tail_spiral,5,8.562708254489989,-5.8650570529486785,-19.837354819212145,2.6043426961914635,0.8806265999842431,19.333745061112612,8.562708254489989,9.59202146111256,14.357529400090822
UGC02023,holdout,K_scale_tail_spiral,5,9.664451332998878,3.426987176149977,-5.362696297461728,-2.533597551047361,-4.315385433958545,5.716075707598576,9.664451332998878,9.008405658113707,3.9879111048344207
UGC02259,holdout,K_exponential_disk,8,28.301922487205957,-2.167465937888249,-19.80220514713691,11.866781654140805,14.640480735069486,37.112296143082666,21.058274928601627,28.301922487205957,33.23759420359832
UGC03580,holdout,K_compact_finite,47,29.518833867529096,-22.33179373253696,-6.493177445962111,4.024307716762056,2.346127312497753,29.518833867529096,77.88646829272238,41.872118946943445,35.793295560532336
UGC04305,holdout,K_scale_tail_spiral,22,30.7026930500487,17.368231958140107,24.341128363049016,6.703071343565817,4.114328859333369,10.905894152476943,30.7026930500487,16.5702872901369,12.527201833111931
UGC04499,holdout,K_scale_tail_spiral,9,11.301329288118316,-0.8275253494315464,-17.439462555165548,5.260695096745388,2.3163076996657423,15.538778963614158,11.301329288118316,8.20505898991057,12.642725959124858
UGC05414,holdout,K_scale_tail_spiral,6,8.214237363480272,2.6445130665437846,-11.262790673228828,1.8134247291690349,-0.047646780453042936,8.890282507483725,8.214237363480272,3.7973265441054798,4.0215638392202555
UGC05716,holdout,K_scale_tail_spiral,12,15.093465162985519,-11.210302016545123,-23.5022522597505,9.248596337030826,9.487817880177449,29.030269252851124,15.093465162985519,23.114754432773122,26.76627785296768
UGC05829,holdout,K_scale_tail_spiral,11,13.570601990188614,-0.31310743850404066,-11.183718379102828,7.347924144678208,4.963696593260762,15.600017521297112,13.570601990188614,11.957925370130315,14.093185394650533
UGC05986,holdout,K_scale_tail_spiral,15,9.245055559889265,-23.095523285415517,-44.79161806259781,-8.28710429343601,-5.814243803854559,36.18206106117911,9.245055559889265,26.76470180402521,34.07497367071004
UGC06818,holdout,K_scale_tail_spiral,8,7.8214294946243195,-4.791663310508931,-19.249000451747772,-4.564691265253253,-5.842192339793571,16.44733207194713,7.8214294946243195,8.464239728865328,12.927706614587295
UGC06917,holdout,K_scale_tail_spiral,11,11.46629389793142,-11.577151960509289,-34.97362847896506,5.0353574200624145,6.85121456423758,27.80858898653396,11.46629389793142,16.948208202952216,24.373540385835955
UGC06983,holdout,K_scale_tail_spiral,17,15.934356693489669,-17.9091727138606,-38.60695047684126,4.897517634303213,6.785385942103577,37.503379220405336,15.934356693489669,28.84496030447062,35.18224869717484
UGC07151,holdout,K_exponential_disk,11,8.243800171881636,-5.210085631305176,-18.97863077996486,3.931887850465497,2.627848919876314,13.717401939264077,15.123354067883316,8.243800171881636,11.520901402413042
UGC07261,holdout,K_exponential_disk,7,12.17157602409962,-3.990299611360582,-20.8792744968028,7.874736686384593,7.554757462971851,20.745718703539218,10.84912538381784,12.17157602409962,16.890782819023546
UGC07577,holdout,K_scale_tail_spiral,9,9.1148209499742,5.387303246101311,6.670587661404714,-1.4869010172313146,-4.010945173434308,2.6796205403771554,9.1148209499742,5.181042953123394,3.3218896181181217
UGC07603,holdout,K_exponential_disk,12,17.36974397454439,0.05232109166693988,-14.084199659653372,8.050846678760033,10.554086638444115,22.911881345985293,8.019294606963685,17.36974397454439,21.02109269568338
UGC08699,holdout,K_compact_finite,41,20.18568326210561,-19.050054306677826,-37.072441132102924,5.001375502200975,6.707521296102362,20.18568326210561,77.91473833228888,21.071844193035005,18.72063018102643
UGC11914,holdout,K_compact_finite,65,40.53614370179446,-61.78240624189287,-12.993614376690338,6.7160006329553426,10.33854261311587,40.53614370179446,188.47000576074313,76.3159066863393,42.16973738397958
UGC12506,holdout,K_exponential_disk,31,60.74409717030816,-5.881191554465211,-55.27936099220418,20.046254586928654,22.621401769212447,78.28002632711586,47.53473438606452,60.74409717030816,74.06110546113969
UGCA444,holdout,K_scale_tail_spiral,36,4.71205984466523,-3.3962974484746304,-9.759240395437581,1.6540504001884497,-0.21551154788233973,9.290618651913901,4.71205984466523,6.687485200584338,8.346968026921342
D512-2,train,K_scale_tail_spiral,4,7.050713234529744,-2.879396903469835,-10.635430824162892,4.536763415679959,0.4888294444164254,12.634452385868917,7.050713234529744,7.1990730813826564,9.956804946747168
D564-8,train,K_scale_tail_spiral,6,3.9227949971153797,-3.029853028621369,-7.7302693310901915,0.5235004594247346,-3.2412955587857106,8.559220179553643,3.9227949971153797,5.343101358197125,6.955622539459477
D631-7,train,K_scale_tail_spiral,16,7.392749831522084,-9.780020210080728,-18.93734626245096,-2.965342722399556,-3.1290678482498935,18.997884027299047,7.392749831522084,14.988423571398272,17.532002526111118
DDO064,train,K_scale_tail_spiral,14,7.71116514971812,-1.6170723110104621,-10.229116041621975,4.977873364670396,4.162832355858949,10.826726252530989,7.71116514971812,7.391175743405864,9.766810386248894
DDO154,train,K_scale_tail_spiral,12,6.806432575077555,-8.955657946864864,-16.905744351857415,3.2614487964422505,2.3545999624029887,17.591644341496384,6.806432575077555,13.654956417700264,16.03967080663061
DDO161,train,K_scale_tail_spiral,31,13.101523157199884,3.9261059269840626,-10.221505953447993,-0.4776965466827239,-5.468139668071592,11.801903404214144,13.101523157199884,5.80968978422817,9.914658502205151
DDO168,train,K_scale_tail_spiral,10,6.042589231420575,-3.1136944780628095,-14.976284990852047,-0.6850494423319793,-1.8373853183130882,12.092780203376815,6.042589231420575,5.9870662677915725,9.389004657281763
DDO170,train,K_scale_tail_spiral,8,7.486732702991544,-6.935169943521974,-19.84728788778125,0.00653156310691827,-6.883468579351101,18.010823150497803,7.486732702991544,10.750762554305538,14.504122234737212
ESO079-G014,train,K_thick_flared,15,22.4100344230921,-4.382279642821036,-33.33654961232564,9.887380396595177,11.012492015687624,25.702960526189344,41.07015209422836,13.603829577321699,22.4100344230921
ESO444-G084,train,K_scale_tail_spiral,7,15.130964087590092,-8.753369531564013,-18.21883994712494,1.21384939549716,4.617754907966635,26.865609370780906,15.130964087590092,20.986726832067994,23.800664654613417
