x_R_over_RHI,R_kpc,x_inner,p_edge,activation,K_proj,uses_vobs_or_residual
0.0,0.0,0.3494103275224036,0.9851478631379982,0.0,0.0,False
0.03333333333333333,0.5323254218582704,0.3494103275224036,0.9851478631379982,0.0,0.0,False
0.06666666666666667,1.0646508437165407,0.3494103275224036,0.9851478631379982,0.0,0.0,False
0.1,1.5969762655748112,0.3494103275224036,0.9851478631379982,0.0,0.0,False
0.13333333333333333,2.1293016874330815,0.3494103275224036,0.9851478631379982,0.0,0.0,False
0.16666666666666666,2.6616271092913517,0.3494103275224036,0.9851478631379982,0.0,0.0,False
0.2,3.1939525311496224,0.3494103275224036,0.9851478631379982,0.0,0.0,False
0.23333333333333334,3.7262779530078927,0.3494103275224036,0.9851478631379982,0.0,0.0,False
0.26666666666666666,4.258603374866163,0.3494103275224036,0.9851478631379982,0.0,0.0,False
0.3,4.790928796724433,0.3494103275224036,0.9851478631379982,0.0,0.0,False
0.3333333333333333,5.323254218582703,0.3494103275224036,0.9851478631379982,0.0,0.0,False
0.36666666666666664,5.855579640440974,0.3494103275224036,0.9851478631379982,0.0020732707587786596,0.0020424782577172927,False
0.4,6.387905062299245,0.3494103275224036,0.9851478631379982,0.017199363484062726,0.01694391618365811,False
0.43333333333333335,6.920230484157515,0.3494103275224036,0.9851478631379982,0.04562644920735065,0.04494879893919591,False
0.4666666666666667,7.452555906015785,0.3494103275224036,0.9851478631379982,0.08574055596249398,0.0844671254907149,False
0.5,7.984881327874056,0.3494103275224036,0.9851478631379982,0.13592771178334434,0.13390889480459936,False
0.5333333333333333,8.517206749732326,0.3494103275224036,0.9851478631379982,0.19457394470375314,0.19168410584723342,False
0.5666666666666667,9.049532171590597,0.3494103275224036,0.9851478631379982,0.2600652827575722,0.2562027575850015,False
0.6,9.581857593448866,0.3494103275224036,0.9851478631379982,0.33078775397865284,0.3258748489842877,False
0.6333333333333333,10.114183015307137,0.3494103275224036,0.9851478631379982,0.4051273864008467,0.3991103790114763,False
0.6666666666666666,10.646508437165407,0.3494103275224036,0.9851478631379982,0.48147020805800544,0.47431934663295144,False
0.7,11.178833859023678,0.3494103275224036,0.9851478631379982,0.5582022469839805,0.5499117508150975,False
0.7333333333333333,11.711159280881947,0.3494103275224036,0.9851478631379982,0.6337095312126235,0.6242975905242987,False
0.7666666666666667,12.243484702740218,0.3494103275224036,0.9851478631379982,0.7063780887777861,0.6958868647269392,False
0.8,12.77581012459849,0.3494103275224036,0.9851478631379982,0.7745939477133196,0.7630895723894031,False
0.8333333333333334,13.308135546456759,0.3494103275224036,0.9851478631379982,0.8367431360530757,0.8243157124780748,False
0.8666666666666667,13.84046096831503,0.3494103275224036,0.9851478631379982,0.8912116818309059,0.8779752839593385,False
0.9,14.3727863901733,0.3494103275224036,0.9851478631379982,0.936385613080662,0.9224782857995786,False
0.9333333333333333,14.90511181203157,0.3494103275224036,0.9851478631379982,0.9706509578361953,0.9562347169651789,False
0.9666666666666667,15.43743723388984,0.3494103275224036,0.9851478631379982,0.9923937441313575,0.9776545764225242,False
1.0,15.969762655748111,0.3494103275224036,0.9851478631379982,1.0,0.9851478631379982,False
