source_cell,source_x_arcsec_relative_to_q1,source_y_arcsec_relative_to_q1,channel_one_based,velocity_radio_lsrk_km_s,nonnegative_intensity_coefficient,active_source_cell,source_spectral_centroid_km_s
0,-0.12,-0.12,47,-33.9999994453536,0.01011008027287726,True,18.56768313508297
0,-0.12,-0.12,48,-12.999999445360299,0.00833520599578636,True,18.56768313508297
0,-0.12,-0.12,49,8.000000554633004,0.0005039156349697918,True,18.56768313508297
0,-0.12,-0.12,50,29.000000554626308,1.2802859191969257e-05,True,18.56768313508297
0,-0.12,-0.12,51,50.00000055461961,0.009496901260071038,True,18.56768313508297
0,-0.12,-0.12,52,71.00000055461291,0.00956029972568774,True,18.56768313508297
1,-0.07999999999999999,-0.12,47,-33.9999994453536,6.768056622453262e-16,False,
1,-0.07999999999999999,-0.12,48,-12.999999445360299,8.650233955831102e-24,False,
1,-0.07999999999999999,-0.12,49,8.000000554633004,2.2350806742606274e-19,False,
1,-0.07999999999999999,-0.12,50,29.000000554626308,1.7451738832139122e-09,False,
1,-0.07999999999999999,-0.12,51,50.00000055461961,1.1553463745583036e-12,False,
1,-0.07999999999999999,-0.12,52,71.00000055461291,4.8772097274566725e-12,False,
2,-0.039999999999999994,-0.12,47,-33.9999994453536,3.5586414221476655e-15,False,
2,-0.039999999999999994,-0.12,48,-12.999999445360299,7.219503527878377e-21,False,
2,-0.039999999999999994,-0.12,49,8.000000554633004,5.073327887059035e-19,False,
2,-0.039999999999999994,-0.12,50,29.000000554626308,9.358366424767126e-12,False,
2,-0.039999999999999994,-0.12,51,50.00000055461961,5.969105296362012e-13,False,
2,-0.039999999999999994,-0.12,52,71.00000055461291,5.641860688795061e-13,False,
3,0.0,-0.12,47,-33.9999994453536,1.5226021800900796e-18,False,
3,0.0,-0.12,48,-12.999999445360299,3.484859948351961e-16,False,
3,0.0,-0.12,49,8.000000554633004,7.681731740915727e-21,False,
3,0.0,-0.12,50,29.000000554626308,7.970158949902576e-13,False,
3,0.0,-0.12,51,50.00000055461961,4.96091879928935e-13,False,
3,0.0,-0.12,52,71.00000055461291,1.3618288446087823e-13,False,
4,0.04000000000000001,-0.12,47,-33.9999994453536,0.01160847807741305,True,-25.065978635383175
4,0.04000000000000001,-0.12,48,-12.999999445360299,0.00859527280098306,True,-25.065978635383175
4,0.04000000000000001,-0.12,49,8.000000554633004,8.12586808063471e-18,True,-25.065978635383175
4,0.04000000000000001,-0.12,50,29.000000554626308,1.4344112685391071e-11,True,-25.065978635383175
4,0.04000000000000001,-0.12,51,50.00000055461961,1.4979561773135043e-11,True,-25.065978635383175
4,0.04000000000000001,-0.12,52,71.00000055461291,6.920044736706247e-13,True,-25.065978635383175
5,0.08000000000000002,-0.12,47,-33.9999994453536,7.287078520749468e-08,False,
5,0.08000000000000002,-0.12,48,-12.999999445360299,0.0014601838926593053,False,
5,0.08000000000000002,-0.12,49,8.000000554633004,9.394673667901754e-18,False,
5,0.08000000000000002,-0.12,50,29.000000554626308,3.006022804711352e-13,False,
5,0.08000000000000002,-0.12,51,50.00000055461961,2.9952474980317003e-13,False,
5,0.08000000000000002,-0.12,52,71.00000055461291,7.56481978922589e-13,False,
6,0.12,-0.12,47,-33.9999994453536,5.118347157072722e-19,False,
6,0.12,-0.12,48,-12.999999445360299,2.915351957064329e-25,False,
6,0.12,-0.12,49,8.000000554633004,0.0008507094816020219,False,
6,0.12,-0.12,50,29.000000554626308,0.0012414524795140273,False,
6,0.12,-0.12,51,50.00000055461961,0.0013541548231627385,False,
6,0.12,-0.12,52,71.00000055461291,3.239205777411462e-08,False,
7,-0.12,-0.07999999999999999,47,-33.9999994453536,0.0026385025795213884,True,18.991456171954674
7,-0.12,-0.07999999999999999,48,-12.999999445360299,0.005234639734672589,True,18.991456171954674
7,-0.12,-0.07999999999999999,49,8.000000554633004,0.004510872727009036,True,18.991456171954674
7,-0.12,-0.07999999999999999,50,29.000000554626308,0.010803227859664288,True,18.991456171954674
7,-0.12,-0.07999999999999999,51,50.00000055461961,0.0077770257484686325,True,18.991456171954674
7,-0.12,-0.07999999999999999,52,71.00000055461291,0.0001458233632861636,True,18.991456171954674
8,-0.07999999999999999,-0.07999999999999999,47,-33.9999994453536,4.4784423017391825e-15,False,
8,-0.07999999999999999,-0.07999999999999999,48,-12.999999445360299,7.697423654584683e-46,False,
8,-0.07999999999999999,-0.07999999999999999,49,8.000000554633004,1.7374076288850492e-27,False,
8,-0.07999999999999999,-0.07999999999999999,50,29.000000554626308,4.900557018650772e-07,False,
8,-0.07999999999999999,-0.07999999999999999,51,50.00000055461961,4.796728886242832e-19,False,
8,-0.07999999999999999,-0.07999999999999999,52,71.00000055461291,3.1297600685722745e-12,False,
9,-0.039999999999999994,-0.07999999999999999,47,-33.9999994453536,5.497709055006964e-18,False,
9,-0.039999999999999994,-0.07999999999999999,48,-12.999999445360299,9.893794458946077e-23,False,
9,-0.039999999999999994,-0.07999999999999999,49,8.000000554633004,5.4814970086928616e-21,False,
9,-0.039999999999999994,-0.07999999999999999,50,29.000000554626308,1.0253840945527537e-13,False,
9,-0.039999999999999994,-0.07999999999999999,51,50.00000055461961,1.2324866166937368e-14,False,
9,-0.039999999999999994,-0.07999999999999999,52,71.00000055461291,1.306728271137699e-13,False,
10,0.0,-0.07999999999999999,47,-33.9999994453536,0.016204084814881205,True,-15.43079024086822
10,0.0,-0.07999999999999999,48,-12.999999445360299,0.016892704888242193,True,-15.43079024086822
10,0.0,-0.07999999999999999,49,8.000000554633004,0.011089442585516552,True,-15.43079024086822
10,0.0,-0.07999999999999999,50,29.000000554626308,1.8280681814659308e-12,True,-15.43079024086822
10,0.0,-0.07999999999999999,51,50.00000055461961,7.218054078235214e-20,True,-15.43079024086822
10,0.0,-0.07999999999999999,52,71.00000055461291,3.382570296927835e-18,True,-15.43079024086822
11,0.04000000000000001,-0.07999999999999999,47,-33.9999994453536,0.0032107767658799686,True,-27.53331202717269
11,0.04000000000000001,-0.07999999999999999,48,-12.999999445360299,0.0014286549151832047,True,-27.53331202717269
11,0.04000000000000001,-0.07999999999999999,49,8.000000554633004,4.4273825732415077e-16,True,-27.53331202717269
11,0.04000000000000001,-0.07999999999999999,50,29.000000554626308,2.04954317991201e-11,True,-27.53331202717269
11,0.04000000000000001,-0.07999999999999999,51,50.00000055461961,1.2157779562537543e-12,True,-27.53331202717269
11,0.04000000000000001,-0.07999999999999999,52,71.00000055461291,7.763603945983058e-14,True,-27.53331202717269
12,0.08000000000000002,-0.07999999999999999,47,-33.9999994453536,1.4156559642294337e-12,False,
12,0.08000000000000002,-0.07999999999999999,48,-12.999999445360299,1.628799913756902e-19,False,
12,0.08000000000000002,-0.07999999999999999,49,8.000000554633004,1.707412198439474e-16,False,
12,0.08000000000000002,-0.07999999999999999,50,29.000000554626308,1.0044091000455181e-10,False,
12,0.08000000000000002,-0.07999999999999999,51,50.00000055461961,9.157185758397411e-12,False,
12,0.08000000000000002,-0.07999999999999999,52,71.00000055461291,8.24460043333137e-15,False,
13,0.12,-0.07999999999999999,47,-33.9999994453536,6.043410365496829e-20,False,
13,0.12,-0.07999999999999999,48,-12.999999445360299,5.838446241362311e-23,False,
13,0.12,-0.07999999999999999,49,8.000000554633004,0.0010269276319894677,False,
13,0.12,-0.07999999999999999,50,29.000000554626308,0.001492993068057344,False,
13,0.12,-0.07999999999999999,51,50.00000055461961,1.6525469401228069e-18,False,
13,0.12,-0.07999999999999999,52,71.00000055461291,0.0009637781821406074,False,
14,-0.12,-0.039999999999999994,47,-33.9999994453536,4.878485950633122e-11,False,
14,-0.12,-0.039999999999999994,48,-12.999999445360299,2.596041141853339e-08,False,
14,-0.12,-0.039999999999999994,49,8.000000554633004,0.000325965107389704,False,
14,-0.12,-0.039999999999999994,50,29.000000554626308,5.190378698756604e-21,False,
14,-0.12,-0.039999999999999994,51,50.00000055461961,6.485062735458842e-23,False,
14,-0.12,-0.039999999999999994,52,71.00000055461291,3.0117225036584587e-30,False,
15,-0.07999999999999999,-0.039999999999999994,47,-33.9999994453536,0.0005103553012579169,True,37.680137263053446
15,-0.07999999999999999,-0.039999999999999994,48,-12.999999445360299,9.300100985479907e-15,True,37.680137263053446
15,-0.07999999999999999,-0.039999999999999994,49,8.000000554633004,0.0012310147954946215,True,37.680137263053446
15,-0.07999999999999999,-0.039999999999999994,50,29.000000554626308,0.0011938397403171855,True,37.680137263053446
15,-0.07999999999999999,-0.039999999999999994,51,50.00000055461961,0.0019544062816341007,True,37.680137263053446
15,-0.07999999999999999,-0.039999999999999994,52,71.00000055461291,0.001782831418396358,True,37.680137263053446
16,-0.039999999999999994,-0.039999999999999994,47,-33.9999994453536,1.5257112574975596e-20,False,
16,-0.039999999999999994,-0.039999999999999994,48,-12.999999445360299,9.69629820210476e-19,False,
16,-0.039999999999999994,-0.039999999999999994,49,8.000000554633004,2.3028211591457484e-21,False,
16,-0.039999999999999994,-0.039999999999999994,50,29.000000554626308,0.0003935837277997522,False,
