model_id,role,valid_full_endpoint,n_points,rmse_km_s,mae_km_s,bias_km_s,chi2,chi2_per_point,aic_known_errors,bic_known_errors,endpoint_fit_parameters,imported_summary_scalars,zone
TAU_WARP_TRANSFER_PRIMARY,radial_zone_diagnostic,True,3,98.70898738294707,87.27032003724497,87.27032003724497,7933.450198611734,2644.4833995372446,7933.450198611734,7933.450198611734,0,0,beyond_RHI
TAU_WARP_TRANSFER_SOURCE_HI_DENOMINATOR_SENSITIVITY,radial_zone_diagnostic,True,3,34.926305593747344,27.937686914996153,27.937686914996153,990.4123780566562,330.13745935221874,990.4123780566562,990.4123780566562,0,0,beyond_RHI
CONTROL_WRONG_NGC4088_ONSET,radial_zone_diagnostic,True,3,33.59967012032213,33.113336647444896,-33.113336647444896,970.5740954550638,323.52469848502125,970.5740954550638,970.5740954550638,0,0,beyond_RHI
CONTROL_WRONG_UGC08490_ONSET,radial_zone_diagnostic,True,3,17.555292519530106,15.236558797839232,-15.236558797839232,273.2979670455601,91.09932234852003,273.2979670455601,273.2979670455601,0,0,beyond_RHI
NEWTONIAN_BARYONIC,radial_zone_diagnostic,True,3,74.93348087606589,74.9334406815453,-74.9334406815453,4744.794039901633,1581.5980133005444,4744.794039901633,4744.794039901633,0,0,beyond_RHI
MOND_FIXED_A0,radial_zone_diagnostic,True,3,3.697575239690141,3.077260366052523,3.077260366052523,11.101962990538885,3.700654330179628,11.101962990538885,11.101962990538885,0,0,beyond_RHI
TPG_V6_FIXED,radial_zone_diagnostic,True,3,8.985250243065039,8.979870665232957,-8.979870665232957,68.50151475657596,22.833838252191985,68.50151475657596,68.50151475657596,0,0,beyond_RHI
TAU_WARP_TRANSFER_PRIMARY,radial_zone_diagnostic,True,44,29.681543909963708,24.10941684919601,-7.031478477692022,14247.050702638404,323.79660687814555,14247.050702638404,14247.050702638404,0,0,within_RHI_all
TAU_WARP_TRANSFER_SOURCE_HI_DENOMINATOR_SENSITIVITY,radial_zone_diagnostic,True,44,27.112685812181322,22.539340242458543,-5.461401870954558,11528.85819003613,262.0195043190029,11528.85819003613,11528.85819003613,0,0,within_RHI_all
CONTROL_WRONG_NGC4088_ONSET,radial_zone_diagnostic,True,44,24.62358471719374,21.38682513265104,-4.308886761147052,8169.058760264586,185.66042636964968,8169.058760264586,8169.058760264586,0,0,within_RHI_all
CONTROL_WRONG_UGC08490_ONSET,radial_zone_diagnostic,True,44,24.9629366391106,21.484333002621625,-4.406394631117636,8496.14823628516,193.09427809739,8496.14823628516,8496.14823628516,0,0,within_RHI_all
NEWTONIAN_BARYONIC,radial_zone_diagnostic,True,44,31.661409474817457,25.660254326039937,-8.582315954535948,15666.859693304095,356.0649930296385,15666.859693304095,15666.859693304095,0,0,within_RHI_all
MOND_FIXED_A0,radial_zone_diagnostic,True,44,28.06717386417285,24.875032465498744,24.220037196762895,4424.562027618527,100.55822790042107,4424.562027618527,4424.562027618527,0,0,within_RHI_all
TPG_V6_FIXED,radial_zone_diagnostic,True,44,26.24466457719606,22.661992528574146,21.582912129293074,3631.8659121943365,82.54240709532583,3631.8659121943365,3631.8659121943365,0,0,within_RHI_all
