model_id,role,valid_full_endpoint,n_points,rmse_km_s,mae_km_s,bias_km_s,chi2,chi2_per_point,aic_known_errors,bic_known_errors,endpoint_fit_parameters,imported_summary_scalars,zone
TAU_WARP_TRANSFER_PRIMARY,radial_zone_diagnostic,True,42,28.742176244896772,23.617260543899967,-5.726087011848172,12738.182979911873,303.2900709502827,12738.182979911873,12738.182979911873,0,0,pre_onset
TAU_WARP_TRANSFER_SOURCE_HI_DENOMINATOR_SENSITIVITY,radial_zone_diagnostic,True,42,27.542304887670596,22.933733457307408,-5.042559925255615,11356.27070488194,270.38739773528425,11356.27070488194,11356.27070488194,0,0,pre_onset
CONTROL_WRONG_NGC4088_ONSET,radial_zone_diagnostic,True,42,23.75634193645778,20.56884564836991,-2.677672116318114,7236.783479353368,172.30436855603259,7236.783479353368,7236.783479353368,0,0,pre_onset
CONTROL_WRONG_UGC08490_ONSET,radial_zone_diagnostic,True,42,24.837622264105757,21.199989791455554,-3.308816259403753,8017.448783702339,190.89163770719856,8017.448783702339,8017.448783702339,0,0,pre_onset
NEWTONIAN_BARYONIC,radial_zone_diagnostic,True,42,28.742176244896772,23.617260543899967,-5.726087011848172,12738.182979911873,303.2900709502827,12738.182979911873,12738.182979911873,0,0,pre_onset
MOND_FIXED_A0,radial_zone_diagnostic,True,42,28.712168476844212,25.86064331987371,25.174457800245676,4411.7281218049,105.04114575725953,4411.7281218049,4411.7281218049,0,0,pre_onset
TPG_V6_FIXED,radial_zone_diagnostic,True,42,26.843641116677706,23.536467577966356,22.815337301704066,3620.203057339377,86.1953108890328,3620.203057339377,3620.203057339377,0,0,pre_onset
TAU_WARP_TRANSFER_PRIMARY,radial_zone_diagnostic,True,2,45.09437297705117,34.44469926041288,-34.44469926041288,1508.8677227265305,754.4338613632652,1508.8677227265305,1508.8677227265305,0,0,onset_to_RHI
TAU_WARP_TRANSFER_SOURCE_HI_DENOMINATOR_SENSITIVITY,radial_zone_diagnostic,True,2,15.556361202665844,14.257082730632362,-14.257082730632362,172.58748515419003,86.29374257709502,172.58748515419003,172.58748515419003,0,0,onset_to_RHI
CONTROL_WRONG_NGC4088_ONSET,radial_zone_diagnostic,True,2,38.56709619489162,38.56439430255476,-38.56439430255476,932.2752809112183,466.13764045560913,932.2752809112183,932.2752809112183,0,0,onset_to_RHI
CONTROL_WRONG_UGC08490_ONSET,radial_zone_diagnostic,True,2,27.462764788692837,27.455540437109185,-27.455540437109185,478.69945258282246,239.34972629141123,478.69945258282246,478.69945258282246,0,0,onset_to_RHI
NEWTONIAN_BARYONIC,radial_zone_diagnostic,True,2,68.59606473667756,68.56312375097926,-68.56312375097926,2928.676713392223,1464.3383566961115,2928.676713392223,2928.676713392223,0,0,onset_to_RHI
MOND_FIXED_A0,radial_zone_diagnostic,True,2,4.323942689392559,4.177204523624482,4.177204523624482,12.83390581362789,6.416952906813945,12.83390581362789,12.83390581362789,0,0,onset_to_RHI
TPG_V6_FIXED,radial_zone_diagnostic,True,2,4.583751357661097,4.298016491337684,-4.298016491337684,11.662854854959278,5.831427427479639,11.662854854959278,11.662854854959278,0,0,onset_to_RHI
