galaxy,survey,preview_png_path,preview_status,preview_width_px,preview_height_px,suggested_fov_arcmin,source_query_url,image_classification_performed,accepted_label_output_allowed,endpoint_scores_allowed,claim_boundary
NGC0100,2MASS-K,reports/p0_skyview_previews/NGC0100_2MASS_K.png,PREVIEW_RENDERED,300,300,8.0,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=6.011820+16.486390&Survey=2MASS-K&Size=0.1333,False,False,False,p0_skyview_previews_not_image_classification_not_endpoint
NGC0100,DSS2 Red,reports/p0_skyview_previews/NGC0100_DSS2_Red.png,PREVIEW_RENDERED,300,300,8.0,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=6.011820+16.486390&Survey=DSS2%20Red&Size=0.1333,False,False,False,p0_skyview_previews_not_image_classification_not_endpoint
NGC0100,WISE 3.4,reports/p0_skyview_previews/NGC0100_WISE_3_4.png,PREVIEW_RENDERED,300,300,8.0,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=6.011820+16.486390&Survey=WISE%203.4&Size=0.1333,False,False,False,p0_skyview_previews_not_image_classification_not_endpoint
NGC0247,2MASS-K,reports/p0_skyview_previews/NGC0247_2MASS_K.png,PREVIEW_RENDERED,300,300,29.745,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=11.785640+-20.760400&Survey=2MASS-K&Size=0.4958,False,False,False,p0_skyview_previews_not_image_classification_not_endpoint
NGC0247,DSS2 Red,reports/p0_skyview_previews/NGC0247_DSS2_Red.png,PREVIEW_RENDERED,300,300,29.745,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=11.785640+-20.760400&Survey=DSS2%20Red&Size=0.4958,False,False,False,p0_skyview_previews_not_image_classification_not_endpoint
NGC0247,WISE 3.4,reports/p0_skyview_previews/NGC0247_WISE_3_4.png,PREVIEW_RENDERED,300,300,29.745,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=11.785640+-20.760400&Survey=WISE%203.4&Size=0.4958,False,False,False,p0_skyview_previews_not_image_classification_not_endpoint
NGC0300,2MASS-K,reports/p0_skyview_previews/NGC0300_2MASS_K.png,PREVIEW_RENDERED,300,300,20.288,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=13.722830+-37.684380&Survey=2MASS-K&Size=0.3381,False,False,False,p0_skyview_previews_not_image_classification_not_endpoint
NGC0300,DSS2 Red,reports/p0_skyview_previews/NGC0300_DSS2_Red.png,PREVIEW_RENDERED,300,300,20.288,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=13.722830+-37.684380&Survey=DSS2%20Red&Size=0.3381,False,False,False,p0_skyview_previews_not_image_classification_not_endpoint
NGC0300,WISE 3.4,reports/p0_skyview_previews/NGC0300_WISE_3_4.png,PREVIEW_RENDERED,300,300,20.288,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=13.722830+-37.684380&Survey=WISE%203.4&Size=0.3381,False,False,False,p0_skyview_previews_not_image_classification_not_endpoint
NGC6503,2MASS-K,reports/p0_skyview_previews/NGC6503_2MASS_K.png,PREVIEW_RENDERED,300,300,10.03,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=267.360470+70.144340&Survey=2MASS-K&Size=0.1672,False,False,False,p0_skyview_previews_not_image_classification_not_endpoint
NGC6503,DSS2 Red,reports/p0_skyview_previews/NGC6503_DSS2_Red.png,PREVIEW_RENDERED,300,300,10.03,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=267.360470+70.144340&Survey=DSS2%20Red&Size=0.1672,False,False,False,p0_skyview_previews_not_image_classification_not_endpoint
NGC6503,WISE 3.4,reports/p0_skyview_previews/NGC6503_WISE_3_4.png,PREVIEW_RENDERED,300,300,10.03,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=267.360470+70.144340&Survey=WISE%203.4&Size=0.1672,False,False,False,p0_skyview_previews_not_image_classification_not_endpoint
