galaxy,dustpedia_status,phangs_status,hi_status,source_review_status,accepted_label_output_allowed,endpoint_scores_computed,claim_boundary
NGC0100,NO_DIRECT_DUSTPEDIA_MATCH,NO_PHANGS_SAMPLE_COVERAGE,HI_SOURCE_EVIDENCE_READY,SOURCE_EVIDENCE_PARTIAL_REVIEW_REQUIRED,False,False,p0_external_source_evidence_not_label_not_endpoint
NGC0247,NO_DIRECT_DUSTPEDIA_MATCH,NO_PHANGS_SAMPLE_COVERAGE,HI_SOURCE_EVIDENCE_READY,SOURCE_EVIDENCE_PARTIAL_REVIEW_REQUIRED,False,False,p0_external_source_evidence_not_label_not_endpoint
NGC0300,MATCHED_SOURCE_EVIDENCE,NO_PHANGS_SAMPLE_COVERAGE,HI_SOURCE_EVIDENCE_READY,SOURCE_EVIDENCE_PARTIAL_REVIEW_REQUIRED,False,False,p0_external_source_evidence_not_label_not_endpoint
NGC6503,NO_DIRECT_DUSTPEDIA_MATCH,NO_PHANGS_SAMPLE_COVERAGE,HI_SOURCE_EVIDENCE_READY,SOURCE_EVIDENCE_PARTIAL_REVIEW_REQUIRED,False,False,p0_external_source_evidence_not_label_not_endpoint
