galaxy,zone,mode,co_minus_halpha_relativistic_km_s,n_terminal_rows,occupied_macrosectors,radius_min_arcsec,radius_max_arcsec
NGC2639,0,m1_cos,23.46824310278461,29,6,0.47314924001693726,10.958888053894043
NGC2639,0,m1_sin,-19.35118470873961,29,6,0.47314924001693726,10.958888053894043
NGC2639,0,m2_cos,-5.322532834350983,29,6,0.47314924001693726,10.958888053894043
NGC2639,0,m2_sin,1.9714368671474027,29,6,0.47314924001693726,10.958888053894043
NGC2639,1,m1_cos,-0.6172853963489884,31,6,10.958888053894043,15.256217956542969
NGC2639,1,m1_sin,2.312914903921807,31,6,10.958888053894043,15.256217956542969
NGC2639,1,m2_cos,-3.5392015213559147,31,6,10.958888053894043,15.256217956542969
NGC2639,1,m2_sin,9.303981180124072,31,6,10.958888053894043,15.256217956542969
NGC2639,2,m1_cos,-1.0624552972860781,29,6,15.256217956542969,19.123281860351565
NGC2639,2,m1_sin,-2.4041594349197797,29,6,15.256217956542969,19.123281860351565
NGC2639,2,m2_cos,-8.96362286559331,29,6,15.256217956542969,19.123281860351565
NGC2639,2,m2_sin,16.725587498997577,29,6,15.256217956542969,19.123281860351565
NGC2639,3,m1_cos,5.435561407510808,29,6,19.123281860351565,23.211902236938478
NGC2639,3,m1_sin,-2.063514119707749,29,6,19.123281860351565,23.211902236938478
NGC2639,3,m2_cos,-5.487211072602513,29,6,19.123281860351565,23.211902236938478
NGC2639,3,m2_sin,6.592159089079529,29,6,19.123281860351565,23.211902236938478
NGC2639,4,m1_cos,16.340344059563805,22,5,23.211902236938478,32.824623107910156
NGC2639,4,m1_sin,20.070486163299833,22,5,23.211902236938478,32.824623107910156
NGC2639,4,m2_cos,22.492526700009964,22,5,23.211902236938478,32.824623107910156
NGC2639,4,m2_sin,-7.21975607246273,22,5,23.211902236938478,32.824623107910156
