galaxy,ghasp_independent_halpha_points,independent_rotation_endpoint_acquired,s4g_component_rows,stellar_decomposition_acquired,phangs_catalog_match,radial_gas_profile_acquired,baryonic_velocity_components_acquired,dark_discrepancy_endpoint_ready,blockers,endpoint_scoring_allowed
NGC 613,0,False,0,False,False,False,False,False,independent_non_CO_rotation_curve;source_stellar_mass_decomposition;radial_gas_surface_density;baryonic_poisson_velocity_components,False
NGC 4303,0,False,2,True,True,False,False,False,independent_non_CO_rotation_curve;radial_gas_surface_density;baryonic_poisson_velocity_components,False
NGC 4579,0,False,3,True,True,False,False,False,independent_non_CO_rotation_curve;radial_gas_surface_density;baryonic_poisson_velocity_components,False
NGC 5248,0,False,3,True,True,False,False,False,independent_non_CO_rotation_curve;radial_gas_surface_density;baryonic_poisson_velocity_components,False
NGC 7479,99,True,3,True,False,False,False,False,radial_gas_surface_density;baryonic_poisson_velocity_components,False
