scenario,draw,harmonic,q_shape_proxy,delta_uv,determinant_norm,minimum_role_pixels,role_0_pixels,role_1_pixels,role_2_pixels,role_3_pixels,phase_anchor_deg,phase_amplitude,phase_delta_from_baseline_deg,star_clipped_fraction,h2_clipped_fraction,hi_clipped_fraction
star_co_plus_hi_ctl49,4,2,0.09163523397,0.9955681098,0.03335729777,103,107,104,104,103,84.376382,0.5607529801,0.3209105306,0,0,0
star_only,5,1,-0.1030351221,0.9583393317,0.04067877801,103,103,106,104,105,-12.51409669,0.3177159154,15.83836305,0.01650540694,0,0
star_only,5,2,0.08515045194,0.9282108272,0.03932007394,103,107,104,104,103,83.785225,0.5349968583,0.912067531,0.01650540694,0,0
co_independent_only,5,1,-0.04482254808,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0,0
co_independent_only,5,2,0.09167583177,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0,0
star_plus_co_independent,5,1,-0.1027182719,0.9583393317,0.04067877801,103,103,106,104,105,-12.51409669,0.3177159154,15.83836305,0.01650540694,0,0
star_plus_co_independent,5,2,0.08542518117,0.9282108272,0.03932007394,103,107,104,104,103,83.785225,0.5349968583,0.912067531,0.01650540694,0,0
star_co_plus_hi_ctl49,5,1,-0.09690203359,0.9583393317,0.04067877801,103,103,106,104,105,-12.51409669,0.3177159154,15.83836305,0.01650540694,0,0
star_co_plus_hi_ctl49,5,2,0.07906515346,0.9282108272,0.03932007394,103,107,104,104,103,83.785225,0.5349968583,0.912067531,0.01650540694,0,0
star_only,6,1,0.05079944592,0.9997418776,0.06596115525,103,103,106,105,104,20.85810882,0.2870624671,17.53384247,0.03984063745,0,0
star_only,6,2,0.07374618615,0.9939507959,0.03199792184,103,107,105,103,103,82.55465699,0.543636902,2.142635547,0.03984063745,0,0
co_independent_only,6,1,-0.04257618299,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0,0
co_independent_only,6,2,0.093502403,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0,0
star_plus_co_independent,6,1,0.05533264889,0.9997418776,0.06596115525,103,103,106,105,104,20.85810882,0.2870624671,17.53384247,0.03984063745,0,0
star_plus_co_independent,6,2,0.07579827715,0.9939507959,0.03199792184,103,107,105,103,103,82.55465699,0.543636902,2.142635547,0.03984063745,0,0
star_co_plus_hi_ctl49,6,1,0.05620878904,0.9997418776,0.06596115525,103,103,106,105,104,20.85810882,0.2870624671,17.53384247,0.03984063745,0,0
star_co_plus_hi_ctl49,6,2,0.07841969466,0.9939507959,0.03199792184,103,107,105,103,103,82.55465699,0.543636902,2.142635547,0.03984063745,0,0
star_only,7,1,-0.02473802347,0.9871842203,0.04663848881,103,103,107,103,105,6.04415247,0.298017474,2.719886118,0.1280591918,0,0
star_only,7,2,0.08926405098,0.9972234384,0.03563004625,103,107,104,104,103,86.71019319,0.5530418083,2.012900655,0.1280591918,0,0
co_independent_only,7,1,-0.04840872519,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0,0
co_independent_only,7,2,0.09541282404,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0,0
star_plus_co_independent,7,1,-0.02939670273,0.9871842203,0.04663848881,103,103,107,103,105,6.04415247,0.298017474,2.719886118,0.1280591918,0,0
star_plus_co_independent,7,2,0.0933655212,0.9972234384,0.03563004625,103,107,104,104,103,86.71019319,0.5530418083,2.012900655,0.1280591918,0,0
star_co_plus_hi_ctl49,7,1,-0.03621512176,0.9871842203,0.04663848881,103,103,107,103,105,6.04415247,0.298017474,2.719886118,0.1280591918,0,0
star_co_plus_hi_ctl49,7,2,0.09533479344,0.9972234384,0.03563004625,103,107,104,104,103,86.71019319,0.5530418083,2.012900655,0.1280591918,0,0
star_only,8,1,-0.1243594888,0.9767470851,0.04107796199,103,103,106,104,105,-12.53799236,0.2666550302,15.86225871,0.01365964713,0,0
star_only,8,2,0.08892329271,0.9483150931,0.03769017287,104,106,104,104,104,86.32006135,0.5305113761,1.622768815,0.01365964713,0,0
co_independent_only,8,1,-0.03703640009,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0.006260671599,0
co_independent_only,8,2,0.08438865482,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0.006260671599,0
star_plus_co_independent,8,1,-0.1188983949,0.9767470851,0.04107796199,103,103,106,104,105,-12.53799236,0.2666550302,15.86225871,0.01365964713,0.006260671599,0
star_plus_co_independent,8,2,0.08204036933,0.9483150931,0.03769017287,104,106,104,104,104,86.32006135,0.5305113761,1.622768815,0.01365964713,0.006260671599,0
star_co_plus_hi_ctl49,8,1,-0.1246860292,0.9767470851,0.04107796199,103,103,106,104,105,-12.53799236,0.2666550302,15.86225871,0.01365964713,0.006260671599,0
star_co_plus_hi_ctl49,8,2,0.08630194067,0.9483150931,0.03769017287,104,106,104,104,104,86.32006135,0.5305113761,1.622768815,0.01365964713,0.006260671599,0
star_only,9,1,0.008358315938,0.9898856718,0.0440112137,102,102,108,102,106,5.570663152,0.2442123642,2.2463968,0.06317586796,0,0
star_only,9,2,0.07889899206,0.9671206092,0.03307289543,103,107,104,104,103,84.19413713,0.544551753,0.5031554004,0.06317586796,0,0
co_independent_only,9,1,-0.04164408254,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0,0
co_independent_only,9,2,0.08744778975,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0,0
