galaxy,source_matched_formula,source_lane,projection_bound,disk_truncation_or_break,fractional_onset_available,fractional_onset_over_RHI,vertical_activation,projected_thickness,source_onset_kpc,source_window_outer_kpc,source_window_width_kpc,dimension_status,uses_vobs_or_residual,endpoint_scores_allowed,claim_boundary
NGC5907,K_expdisk_projection_mixed,projection_dominated_expdisk_mixed,0.7891282494318128,0.7382978723404255,0.0,0.0,0.6932828760643328,0.6932828760643328,13.3,24.0,10.7,dimensionless_source_features,False,False,mixed_kernel_observable_separation_source_side_not_endpoint
NGC7331,K_expdisk_vertical_outer_warp_v2,vertical_outer_warp_fractional_onset_mixed,0.0,0.0,1.0,0.5343091911302521,0.6308100929614875,0.398406374501992,14.431691252428111,27.01,12.57830874757189,dimensionless_source_features,False,False,mixed_kernel_observable_separation_source_side_not_endpoint
