carrier_id,carrier_column,formula_family,beta_delta_v2_amplitude,n_train_points,n_train_galaxies,kernel,formula_source,fit_policy,carrier_description
tpg_v6,v_v6,K_compact_finite,108797.369967,765,22,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001,least_squares_train_only_on_vobs2_minus_v_v6_2_over_bridge_formula_kernel,TPG/v6 frozen predecessor carrier
tpg_v6,v_v6,K_scale_tail_spiral,758.091828945,742,60,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2,least_squares_train_only_on_vobs2_minus_v_v6_2_over_bridge_formula_kernel,TPG/v6 frozen predecessor carrier
tpg_v6,v_v6,K_exponential_disk,-1003.88293884,586,25,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel,least_squares_train_only_on_vobs2_minus_v_v6_2_over_bridge_formula_kernel,TPG/v6 frozen predecessor carrier
tpg_v6,v_v6,K_thick_flared,-522.961822776,461,24,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical,least_squares_train_only_on_vobs2_minus_v_v6_2_over_bridge_formula_kernel,TPG/v6 frozen predecessor carrier
newtonian_baryonic,vn,K_compact_finite,503139.120316,765,22,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001,least_squares_train_only_on_vobs2_minus_vn_2_over_bridge_formula_kernel,Newtonian baryonic carrier
newtonian_baryonic,vn,K_scale_tail_spiral,7280.07396791,742,60,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2,least_squares_train_only_on_vobs2_minus_vn_2_over_bridge_formula_kernel,Newtonian baryonic carrier
newtonian_baryonic,vn,K_exponential_disk,11781.022992,586,25,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel,least_squares_train_only_on_vobs2_minus_vn_2_over_bridge_formula_kernel,Newtonian baryonic carrier
newtonian_baryonic,vn,K_thick_flared,15546.0932338,461,24,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical,least_squares_train_only_on_vobs2_minus_vn_2_over_bridge_formula_kernel,Newtonian baryonic carrier
