galaxy,candidate_family,transition_radius_kpc
CamB,K_compact_finite,0.9
D512-2,K_compact_finite,2.88
D564-8,K_compact_finite,2.04
D631-7,K_compact_finite,4.04
DDO064,K_compact_finite,1.48
DDO154,K_compact_finite,3.46
DDO161,K_compact_finite,6.28
DDO168,K_compact_finite,2.47
DDO170,K_compact_finite,7.85
ESO079-G014,K_compact_finite,6.34
ESO116-G012,K_compact_finite,4.13
ESO444-G084,K_compact_finite,1.81
ESO563-G021,K_compact_finite,18.56
F561-1,K_compact_finite,6.45
F563-1,K_compact_finite,9.26
F563-V1,K_compact_finite,5.24
F563-V2,K_compact_finite,4.76
F565-V2,K_compact_finite,5.03
F567-2,K_compact_finite,5.75
F568-1,K_compact_finite,5.53
F568-3,K_compact_finite,5.14
F568-V1,K_compact_finite,5.87
F571-8,K_compact_finite,4.77
F571-V1,K_compact_finite,7.78
F574-1,K_compact_finite,7.05
F574-2,K_compact_finite,6.49
F579-V1,K_compact_finite,6.32
F583-1,K_compact_finite,3.86
F583-4,K_compact_finite,5.0
IC2574,K_compact_finite,5.68
IC4202,K_compact_finite,18.65
KK98-251,K_compact_finite,1.4
NGC0024,K_compact_finite,1.7
NGC0055,K_compact_finite,7.37
NGC0100,K_compact_finite,4.79
NGC0247,K_compact_finite,8.07
NGC0289,K_compact_finite,31.79
NGC0300,K_compact_finite,6.36
NGC0801,K_compact_finite,17.65
NGC0891,K_compact_finite,11.58
NGC1003,K_compact_finite,16.13
NGC1090,K_compact_finite,16.37
NGC1705,K_compact_finite,3.34
NGC2366,K_compact_finite,3.21
NGC2403,K_compact_finite,3.79
NGC2683,K_compact_finite,20.2
NGC2841,K_compact_finite,18.48
NGC2903,K_compact_finite,9.6
NGC2915,K_compact_finite,5.35
NGC2955,K_compact_finite,14.17
NGC2976,K_compact_finite,1.01
NGC2998,K_compact_finite,12.5
NGC3109,K_compact_finite,3.35
NGC3198,K_compact_finite,7.06
NGC3521,K_compact_finite,3.95
NGC3726,K_compact_finite,13.94
NGC3741,K_compact_finite,2.57
NGC3769,K_compact_finite,12.31
NGC3877,K_compact_finite,6.11
NGC3893,K_compact_finite,10.9
NGC3917,K_compact_finite,7.85
NGC3949,K_compact_finite,4.37
NGC3953,K_compact_finite,10.47
NGC3972,K_compact_finite,5.24
NGC3992,K_compact_finite,27.52
NGC4010,K_compact_finite,6.11
NGC4013,K_compact_finite,22.3
NGC4051,K_compact_finite,6.98
NGC4068,K_compact_finite,1.48
NGC4085,K_compact_finite,3.58
NGC4088,K_compact_finite,12.19
NGC4100,K_compact_finite,13.12
NGC4138,K_compact_finite,13.47
NGC4157,K_compact_finite,15.68
NGC4183,K_compact_finite,10.47
NGC4214,K_compact_finite,3.14
NGC4217,K_compact_finite,14.86
NGC4389,K_compact_finite,3.58
NGC4559,K_compact_finite,11.13
NGC5005,K_compact_finite,6.56
NGC5033,K_compact_finite,26.25
NGC5055,K_compact_finite,17.19
NGC5371,K_compact_finite,20.2
NGC5585,K_compact_finite,3.42
NGC5907,K_compact_finite,27.68
NGC5985,K_compact_finite,17.89
NGC6015,K_compact_finite,11.95
NGC6195,K_compact_finite,19.1
NGC6503,K_compact_finite,12.12
NGC6674,K_compact_finite,42.42
NGC6789,K_compact_finite,0.51
NGC6946,K_compact_finite,11.88
NGC7331,K_compact_finite,19.24
NGC7793,K_compact_finite,1.75
NGC7814,K_compact_finite,17.36
PGC51017,K_compact_finite,2.31
UGC00128,K_compact_finite,28.77
UGC00191,K_compact_finite,1.62
UGC00634,K_compact_finite,13.51
UGC00731,K_compact_finite,6.36
UGC00891,K_compact_finite,4.45
UGC01230,K_compact_finite,8.6
UGC01281,K_compact_finite,2.07
UGC02023,K_compact_finite,2.27
UGC02259,K_compact_finite,5.09
UGC02455,K_compact_finite,2.52
UGC02487,K_compact_finite,50.24
UGC02885,K_compact_finite,46.73
UGC02916,K_compact_finite,12.98
UGC02953,K_compact_finite,9.59
UGC03205,K_compact_finite,12.11
UGC03546,K_compact_finite,6.96
UGC03580,K_compact_finite,4.52
UGC04278,K_compact_finite,3.46
UGC04305,K_compact_finite,3.01
UGC04325,K_compact_finite,3.49
UGC04483,K_compact_finite,0.73
UGC04499,K_compact_finite,4.55
UGC05005,K_compact_finite,8.6
UGC05253,K_compact_finite,8.32
UGC05414,K_compact_finite,2.74
UGC05716,K_compact_finite,7.23
UGC05721,K_compact_finite,2.07
UGC05750,K_compact_finite,4.82
UGC05764,K_compact_finite,2.17
UGC05829,K_compact_finite,3.77
UGC05918,K_compact_finite,2.79
UGC05986,K_compact_finite,5.02
UGC05999,K_compact_finite,10.42
UGC06399,K_compact_finite,4.37
UGC06446,K_compact_finite,5.23
UGC06614,K_compact_finite,26.3
UGC06628,K_compact_finite,4.39
UGC06667,K_compact_finite,4.37
UGC06786,K_compact_finite,8.52
UGC06787,K_compact_finite,11.38
UGC06818,K_compact_finite,4.37
UGC06917,K_compact_finite,6.11
UGC06923,K_compact_finite,3.72
UGC06930,K_compact_finite,10.47
UGC06973,K_compact_finite,6.28
UGC06983,K_compact_finite,8.72
UGC07089,K_compact_finite,6.11
UGC07125,K_compact_finite,10.08
UGC07151,K_compact_finite,3.0
UGC07232,K_compact_finite,0.62
UGC07261,K_compact_finite,3.81
UGC07323,K_compact_finite,3.5
UGC07399,K_compact_finite,3.68
UGC07524,K_compact_finite,5.51
UGC07559,K_compact_finite,1.45
UGC07577,K_compact_finite,0.94
UGC07603,K_compact_finite,2.39
UGC07608,K_compact_finite,2.99
