information_level,level_name,score_source,galaxy,split,formula_family,n_points,rmse_level_prediction,rmse_wrong_family_mean,rmse_tpg_v6,rmse_mond,matched_family_rank,level_minus_wrong_mean,level_beats_wrong_mean,level_minus_tpg_v6,level_minus_mond,level_beats_tpg_v6,level_beats_mond
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,CamB,holdout,K_scale_tail_spiral,9,15.397946646329231,13.41884925915481,13.63779853730796,15.623524086441458,4.0,1.9790973871744235,0.0,1.760148109021273,-0.2255774401122252,False,True
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,ESO116-G012,holdout,K_exponential_disk,15,11.24546950555082,11.48349378106068,11.508201668011028,9.10866648888162,3.0,-0.2380242755098613,1.0,-0.2627321624602086,2.136803016669198,True,False
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,F561-1,holdout,K_scale_tail_spiral,6,30.292366828732312,28.325481896928377,28.55685188052471,32.526019723976546,4.0,1.9668849318039356,0.0,1.7355149482076015,-2.2336528952442336,False,True
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,F563-1,holdout,K_scale_tail_spiral,17,23.1218692019883,24.922159201590336,24.695833689633552,18.44568739642176,1.0,-1.800289999602036,1.0,-1.5739644876452523,4.676181805566539,True,False
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,F568-1,holdout,K_thick_flared,12,35.71552914844118,32.47815120855962,33.500610533676024,29.974188853658532,4.0,3.2373779398815543,0.0,2.2149186147651534,5.7413402947826455,False,False
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,IC2574,holdout,K_scale_tail_spiral,34,9.194275561418312,7.37083501790229,7.5138151552258,13.51316984455882,4.0,1.823440543516022,0.0,1.6804604061925117,-4.318894283140509,False,True
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,IC4202,holdout,K_compact_finite,32,27.30664695717806,26.095964359284636,26.10151495917691,26.12803028857914,4.0,1.210682597893424,0.0,1.2051319980011463,1.17861666859892,False,False
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,NGC0024,holdout,K_thick_flared,29,24.273593653300495,21.134149892779707,22.157814084096987,20.65262257294937,4.0,3.1394437605207877,0.0,2.1157795692035073,3.6209710803511257,False,False
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,NGC2683,holdout,K_thick_flared,11,9.889313768732194,10.636057823700405,10.314830339812676,14.151015414510422,1.0,-0.7467440549682092,1.0,-0.4255165710804807,-4.261701645778228,True,True
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,NGC3726,holdout,K_thick_flared,12,21.679410879652423,24.691887208129216,23.631876746434497,26.325344741169783,1.0,-3.01247632847679,1.0,-1.9524658667820705,-4.645933861517356,True,True
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,NGC3949,holdout,K_thick_flared,7,7.531382624131903,9.857986190072372,8.950158230683527,11.297904622428334,1.0,-2.326603565940469,1.0,-1.4187756065516242,-3.7665219982964304,True,True
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,NGC3972,holdout,K_thick_flared,10,9.479957543804844,7.228544372643036,7.806428086864266,6.774747860896815,4.0,2.2514131711618095,0.0,1.673529456940579,2.7052096829080305,False,False
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,NGC4013,holdout,K_compact_finite,36,13.717838172836348,12.262601151009433,12.273912532057183,14.334222058319126,4.0,1.4552370218269155,0.0,1.443925640779165,-0.6163838854827777,False,True
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,NGC4088,holdout,K_thick_flared,12,36.76748043821314,40.160057690823315,38.98773649865968,42.18384581680386,1.0,-3.392577252610174,1.0,-2.2202560604465376,-5.416365378590719,True,True
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,NGC4183,holdout,K_exponential_disk,23,6.621217695501002,6.707196519330263,6.489693491114096,10.354993594406714,3.0,-0.0859788238292607,1.0,0.1315242043869062,-3.733775898905712,False,True
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,NGC4214,holdout,K_scale_tail_spiral,14,16.40517396985808,18.13799222006624,17.991047303306434,15.27888150484993,1.0,-1.7328182502081582,1.0,-1.5858733334483546,1.1262924650081505,True,False
L0,coarse_K_obs_formula_shell_proxy,morphology_formula_shell_proxy_scores_by_galaxy.csv,NGC4389,holdout,K_thick_flared,6,44.37161822966489,47.74968761818616,46.55692853885728,48.50110279830857,1.0,-3.3780693885212685,1.0,-2.1853103091923884,-4.129484568643683,True,True
