galaxy,product,radius_kpc,ring_index,pair_weight,velocity_positive_side_km_s,velocity_reflected_side_km_s,odd_los_km_s,even_los_km_s,absolute_odd_los_km_s,absolute_even_los_km_s,claim_boundary
NGC7331,NATURAL,0.12990474958400036,0,43.079958924844156,814.8439375,825.4664375,-5.311249999999973,1.8551875000000564,5.311249999999973,1.8551875000000564,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,0.2598094991680007,0,49.8594166543832,809.19775,829.078,-9.940124999999966,0.8378750000000537,9.940124999999966,0.8378750000000537,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,0.38971424875200106,0,56.898508718905106,803.3146875,833.5986875,-15.141999999999996,0.15668750000008913,15.141999999999996,0.15668750000008913,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,0.39003958313127884,0,57.17936097534356,797.50275,839.2040625,-20.850656249999986,0.053406250000080036,20.850656249999986,0.053406250000080036,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,0.5196189983360014,0,53.27192190566553,797.34125,841.098375,-21.878562500000044,0.9198125000000346,21.878562500000044,0.9198125000000346,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,0.45700645496150943,0,52.28522103915891,793.2248125,848.921875,-27.848531250000008,2.7733437500000946,27.848531250000008,2.7733437500000946,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,0.6495237479200018,0,43.35968304818714,791.66475,852.3899375,-30.362593749999974,3.7273437500000455,30.362593749999974,3.7273437500000455,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,1.039237996672003,1,45.07475855457319,771.1344375,885.81375,-57.33965625000002,10.174093750000111,57.33965625000002,10.174093750000111,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,1.1691427462560033,1,40.957714902493734,768.1428125,890.373125,-61.115156249999984,10.957968749999964,61.115156249999984,10.957968749999964,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,0.9993659670747566,0,41.63736647808135,761.7015,892.377625,-65.33806249999998,8.739562500000034,65.33806249999998,8.739562500000034,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,0.9997466570756407,0,31.688096583831417,765.3371875,885.314375,-59.98859375000001,7.025781250000136,59.98859375000001,7.025781250000136,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,1.2990474958400036,1,36.795093519861,757.3284375,894.1599375,-68.41575,7.444187499999998,68.41575,7.444187499999998,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,1.1215878419403045,1,47.07926516029431,751.307,900.46125,-74.57712499999997,7.5841250000000855,74.57712499999997,7.5841250000000855,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,1.0942201081550536,1,42.553217620056294,757.603625,894.792375,-68.59437500000001,7.898000000000025,68.59437500000001,7.898000000000025,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,1.2270287161088878,1,32.999516241347806,762.41225,887.48225,-62.535000000000025,6.6472499999999854,62.535000000000025,6.6472499999999854,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,1.4774318131078725,1,34.31595029768687,746.575125,889.2696875,-71.34728125000004,-0.37759374999996,71.34728125000004,0.37759374999996,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,1.428952245424004,1,33.00269084827857,753.504625,901.1255625,-73.81046874999998,9.015093750000005,73.81046874999998,9.015093750000005,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,1.2453661012563013,1,40.700570304600355,748.3399375,914.0714375,-82.86574999999999,12.905687500000113,82.86574999999999,12.905687500000113,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,1.5137946189958862,1,35.09316696588931,755.3225,897.48575,-71.08162500000003,8.104125000000067,71.08162500000003,8.104125000000067,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,1.8323256843064617,1,37.739711819591136,751.2790625,900.1663125,-74.443625,7.422687500000052,74.443625,7.422687500000052,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,1.9501979156563942,1,35.79508516976798,722.984625,911.583,-94.29918749999996,-1.0161874999998872,94.29918749999996,1.0161874999998872,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,2.2161477196618087,2,36.76917449602118,720.8565625,913.6933125,-96.41837500000003,-1.0250624999998763,96.41837500000003,1.0250624999998763,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,2.004841901923675,2,37.074262400430065,708.9228125,926.12125,-108.59921875000003,-0.7779687499999,108.59921875000003,0.7779687499999,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,2.250783679645052,2,48.79890457248578,713.202625,929.08,-107.93868750000001,2.841312500000072,107.93868750000001,2.841312500000072,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,2.5458960624044584,2,55.474129098604266,710.6955,932.2055625,-110.75503125,3.1505312500000855,110.75503125,3.1505312500000855,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,2.47088099109332,2,45.28584787440833,710.6320625,942.781375,-116.07465625000003,8.406718749999982,116.07465625000003,8.406718749999982,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,2.2083807429280062,2,37.97937119154546,711.64825,946.733125,-117.5424375,10.890687500000013,117.5424375,10.890687500000013,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,2.004385593264584,2,33.92887283283449,708.597875,945.184625,-118.29337499999997,8.59125000000006,118.29337499999997,8.59125000000006,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,2.292268334571625,2,48.45535537328636,708.5663125,936.05775,-113.74571875000004,4.012031250000064,113.74571875000004,4.012031250000064,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,2.5707296671189805,2,71.62391218128111,703.8785625,940.7469375,-118.43418749999995,4.012750000000096,118.43418749999995,4.012750000000096,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,2.5994786198750086,2,54.23511901287146,704.086125,950.3463125,-123.13009374999996,8.916218750000098,123.13009374999996,8.916218750000098,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,2.3382854925120067,2,43.67775743047158,706.4785,959.3154375,-126.41846874999999,14.596968750000087,126.41846874999999,14.596968750000087,single_galaxy_clock_channel_parity_diagnostic
