annulus,r_mid_arcsec,n_train,n_test,observed_even_contrast_km_s,predicted_even_contrast_km_s,residual_even_km_s,sigma_residual_even_km_s
0,10.0,83,43,2372.9165576684827,2373.7934670361265,-0.8769093676439974,0.5104253172983674
1,20.0,158,83,2375.4210958267863,2372.4931660346438,2.9279297921424394,0.483208539070158
2,30.0,247,128,2373.392007432708,2372.9848909948496,0.40711643785836316,0.3942601645930621
3,40.0,306,147,2374.7101010714946,2373.592321524253,1.1177795472419674,0.4541460389199266
4,50.0,376,173,2374.5647382746283,2370.9571288469106,3.607609427717536,0.5049455568408745
5,60.0,385,182,2373.0108227040764,2377.625699150669,-4.614876446593036,0.5753659873206391
