variant,variant_class,position_angle_deg_east_of_north,inclination_deg,radial_index,radius_lo_arcsec,radius_hi_arcsec,delta_uv,q_shape_proxy,determinant_norm,n_pixels_total
s4g_disk_component_2,photometric_control,53.8,37.9078420947,0,5,15,0.0887120849136,0.0803310671794,0.0189417462549,20
s4g_disk_component_2,photometric_control,53.8,37.9078420947,1,15,25,0.582346079658,0.105434302068,0.0761064387683,37
s4g_disk_component_2,photometric_control,53.8,37.9078420947,2,25,35,0.998875985055,0.542272243436,0.202174686919,64
s4g_disk_component_2,photometric_control,53.8,37.9078420947,3,35,45,0.925640456426,0.224514530165,0.22083604859,77
s4g_disk_component_2,photometric_control,53.8,37.9078420947,4,45,55,0.999601003574,-0.374872131715,0.139921332697,99
s4g_disk_component_2,photometric_control,53.8,37.9078420947,5,55,65,0.343293547276,-0.397930007697,0.0605860130873,115
legacy_kinematic_comparison_not_selected,legacy_comparison,68.1,34.4,0,5,15,0.880629330997,0.17298160359,0.208762373955,21
legacy_kinematic_comparison_not_selected,legacy_comparison,68.1,34.4,1,15,25,0.94781518085,-0.158442262716,0.0660789951036,39
legacy_kinematic_comparison_not_selected,legacy_comparison,68.1,34.4,2,25,35,0.98110979551,0.225832534852,0.19343383337,66
legacy_kinematic_comparison_not_selected,legacy_comparison,68.1,34.4,3,35,45,0.837150763844,0.208527439183,0.149575623951,76
legacy_kinematic_comparison_not_selected,legacy_comparison,68.1,34.4,4,45,55,0.98348959887,-0.224386843447,0.164433736978,110
legacy_kinematic_comparison_not_selected,legacy_comparison,68.1,34.4,5,55,65,0.524360146105,-0.438272339689,0.0561030669732,125
