galaxy,disposition,n_rows,common_source_rows,median_cosi,inclination_gate,minimum_common_rows_gate,source_sector_gate,body_rank,standard_rank,combined_rank,complement_dimension,source_sector_counts,radial_edges_arcsec
NGC5480,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,147,0.7556177973747253,True,True,False,,,,,"[12, 12, 11, 11, 8]","[0.28487923741340637, 10.110976219177246, 15.198249244689942, 19.4381462097168, 22.434505844116213, 32.5574836730957]"
NGC5485,SOURCE_ONLY_GATE_FAILED,1849,0,0.6583468317985535,True,False,False,,,,,,
NGC5520,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,62,0.46983054280281067,True,False,False,,,,,,
NGC5614,SOURCE_ONLY_GATE_FAILED,1849,91,0.8170635104179382,True,False,False,,,,,,
NGC5633,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,110,0.6478153467178345,True,False,False,,,,,,
NGC5657,SOURCE_ONLY_GATE_FAILED,1849,14,0.3663249611854553,True,False,False,,,,,,
NGC5682,SOURCE_ONLY_GATE_FAILED,1849,0,0.33026596903800964,False,False,False,,,,,,
NGC5732,SOURCE_ONLY_GATE_FAILED,1849,13,0.5074660181999207,True,False,False,,,,,,
NGC5784,SOURCE_ONLY_GATE_FAILED,1849,27,0.9047863483428955,False,False,False,,,,,,
NGC5876,SOURCE_ONLY_GATE_FAILED,1849,0,0.4278143346309662,True,False,False,,,,,,
NGC5908,SOURCE_ONLY_GATE_FAILED,1849,128,0.4494982063770294,True,True,False,,,,,"[12, 12, 12, 9, 5]","[0.28376999497413635, 12.624347114562989, 17.828803634643556, 23.0629264831543, 29.167163085937503, 42.11568832397461]"
NGC5930,SOURCE_ONLY_GATE_FAILED,1849,27,0.3855099081993103,True,False,False,,,,,,
NGC5934,SOURCE_ONLY_GATE_FAILED,1849,37,0.42906779050827026,True,False,False,,,,,,
NGC5947,SOURCE_ONLY_GATE_FAILED,1849,10,0.6904362440109253,True,False,False,,,,,,
NGC5953,SOURCE_ONLY_GATE_FAILED,1849,74,0.7456578016281128,True,False,False,,,,,,
NGC5980,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,106,0.27589666843414307,False,False,False,,,,,,
NGC6004,SOURCE_ONLY_GATE_FAILED,1849,67,0.7831195592880249,True,False,False,,,,,,
NGC6021,SOURCE_ONLY_GATE_FAILED,1849,0,0.48232850432395935,True,False,False,,,,,,
NGC6027,SOURCE_ONLY_GATE_FAILED,1849,0,0.5049858093261719,True,False,False,,,,,,
NGC6060,SOURCE_ONLY_GATE_FAILED,1849,164,0.5222687125205994,True,True,False,,,,,"[12, 11, 12, 12, 10]","[0.21861052513122559, 12.864934539794923, 19.566677856445313, 24.490614700317384, 28.479011154174806, 37.15996170043945]"
NGC6063,SOURCE_ONLY_GATE_FAILED,1849,0,0.5075057148933411,True,False,False,,,,,,
NGC6081,SOURCE_ONLY_GATE_FAILED,1849,0,0.20878678560256958,False,False,False,,,,,,
NGC6125,SOURCE_ONLY_GATE_FAILED,1849,0,1.0,False,False,False,,,,,,
NGC6146,SOURCE_ONLY_GATE_FAILED,1849,0,0.6986463665962219,True,False,False,,,,,,
NGC6155,SOURCE_ONLY_GATE_FAILED,1849,110,0.6283499598503113,True,False,False,,,,,,
NGC6168,SOURCE_ONLY_GATE_FAILED,1849,35,0.26792365312576294,False,False,False,,,,,,
NGC6186,SOURCE_ONLY_GATE_FAILED,1849,77,0.39519307017326355,True,False,False,,,,,,
NGC6301,SOURCE_ONLY_GATE_FAILED,1849,94,0.5520610809326172,True,False,False,,,,,,
NGC6310,SOURCE_ONLY_GATE_FAILED,1849,6,0.09998603910207748,False,False,False,,,,,,
NGC6314,SOURCE_ONLY_GATE_FAILED,1849,26,0.4660908877849579,True,False,False,,,,,,
NGC6361,SOURCE_ONLY_GATE_FAILED,1849,122,0.2049691379070282,False,True,False,,,,,,
NGC6394,SOURCE_ONLY_GATE_FAILED,1849,32,0.33827507495880127,False,False,False,,,,,,
NGC6478,SOURCE_ONLY_GATE_FAILED,1849,91,0.2660965025424957,False,False,False,,,,,,
NGC7738,SOURCE_ONLY_GATE_FAILED,1849,41,0.47426334023475647,True,False,False,,,,,,
NGC7819,SOURCE_ONLY_GATE_FAILED,1849,22,0.5272887945175171,True,False,False,,,,,,
UGC00809,SOURCE_ONLY_GATE_FAILED,1849,2,0.1733909696340561,False,False,False,,,,,,
UGC03253,SOURCE_ONLY_GATE_FAILED,1849,8,0.5132693648338318,True,False,False,,,,,,
UGC03539,SOURCE_ONLY_GATE_FAILED,1849,0,6.123234262925839e-17,False,False,False,,,,,,
UGC03969,SOURCE_ONLY_GATE_FAILED,1849,36,0.2106945663690567,False,False,False,,,,,,
UGC03973,SOURCE_ONLY_GATE_FAILED,1849,46,0.8093953132629395,True,False,False,,,,,,
UGC04029,SOURCE_ONLY_GATE_FAILED,1849,54,0.08848387748003006,False,False,False,,,,,,
UGC04132,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,99,0.26778241991996765,False,False,False,,,,,,
UGC04280,SOURCE_ONLY_GATE_FAILED,1849,9,0.17828448116779327,False,False,False,,,,,,
UGC04461,SOURCE_ONLY_GATE_FAILED,1849,29,0.2617904841899872,False,False,False,,,,,,
UGC05108,SOURCE_ONLY_GATE_FAILED,1849,14,0.337316632270813,False,False,False,,,,,,
UGC05111,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,74,0.07774106413125992,False,False,False,,,,,,
UGC05244,SOURCE_ONLY_GATE_FAILED,1849,0,6.123234262925839e-17,False,False,False,,,,,,
UGC05359,SOURCE_ONLY_GATE_FAILED,1849,17,0.34413647651672363,True,False,False,,,,,,
UGC05498NED01,SOURCE_ONLY_GATE_FAILED,1849,0,0.09608875960111618,False,False,False,,,,,,
UGC05598,SOURCE_ONLY_GATE_FAILED,1849,14,0.23141762614250183,False,False,False,,,,,,
UGC06312,SOURCE_ONLY_GATE_FAILED,1849,0,0.36982616782188416,True,False,False,,,,,,
UGC07012,SOURCE_ONLY_GATE_FAILED,1849,9,0.5199195742607117,True,False,False,,,,,,
UGC08107,SOURCE_ONLY_GATE_FAILED,1849,43,0.420350581407547,True,False,False,,,,,,
UGC08250,SOURCE_ONLY_GATE_FAILED,1849,0,0.15983796119689941,False,False,False,,,,,,
UGC08267,SOURCE_ONLY_GATE_FAILED,1849,34,0.20874769985675812,False,False,False,,,,,,
UGC09067,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,36,0.40348049998283386,True,False,False,,,,,,
UGC09476,SOURCE_ONLY_GATE_FAILED,1849,38,0.6158844232559204,True,False,False,,,,,,
UGC09537,SOURCE_ONLY_GATE_FAILED,1849,37,0.10267936438322067,False,False,False,,,,,,
UGC09542,SOURCE_ONLY_GATE_FAILED,1849,36,0.26443997025489807,False,False,False,,,,,,
UGC09665,SOURCE_ONLY_GATE_FAILED,1849,47,0.15547996759414673,False,False,False,,,,,,
UGC09759,SOURCE_ONLY_GATE_FAILED,1849,28,0.4839906394481659,True,False,False,,,,,,
UGC09873,SOURCE_ONLY_GATE_FAILED,1849,8,0.17646586894989014,False,False,False,,,,,,
UGC09892,SOURCE_ONLY_GATE_FAILED,1849,18,0.1651117354631424,False,False,False,,,,,,
UGC09919,SOURCE_ONLY_GATE_FAILED,1849,0,6.123234262925839e-17,False,False,False,,,,,,
UGC10043,SOURCE_ONLY_GATE_FAILED,1849,41,0.045193083584308624,False,False,False,,,,,,
UGC10123,SOURCE_ONLY_GATE_FAILED,1849,64,0.1119774580001831,False,False,False,,,,,,
UGC10205,SOURCE_ONLY_GATE_FAILED,1849,27,0.5543351769447327,True,False,False,,,,,,
UGC10331,SOURCE_ONLY_GATE_FAILED,1849,0,0.20654895901679993,False,False,False,,,,,,
UGC10380,SOURCE_ONLY_GATE_FAILED,1849,8,0.07952716946601868,False,False,False,,,,,,
UGC10384,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,42,0.16156673431396484,False,False,False,,,,,,
UGC10710,SOURCE_ONLY_GATE_FAILED,1849,19,0.2084357589483261,False,False,False,,,,,,
