galaxy,split,morphology_family,n_points,rmse_tpg_v6,rmse_mond,rmse_global_tau_proxy,rmse_K_compact_bulge,rmse_K_diffuse_scale_tail,rmse_K_late_exponential,rmse_K_mid_regular,rmse_matched_family,rmse_wrong_family_mean,best_family,matched_family_rank,matched_minus_wrong_mean,matched_minus_tpg_v6,matched_minus_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond
CamB,holdout,K_diffuse_scale_tail,9,13.63779853730796,15.623524086441458,13.645649641877629,13.675710211736977,13.63701845437954,13.63872711095839,13.6425497506946,13.63701845437954,13.652329024463322,K_diffuse_scale_tail,1,-0.015310570083782338,-0.0007800829284203559,-1.9865056320619185,True,True,True
ESO116-G012,holdout,K_late_exponential,15,11.508201668011028,9.108666488881621,11.645050048140542,11.755011773341863,11.513670601424092,11.502689665753715,11.628788490232212,11.502689665753715,11.632490288332724,K_late_exponential,1,-0.12980062257900826,-0.005512002257312076,2.3940231768720945,True,True,False
F561-1,holdout,K_diffuse_scale_tail,6,28.55685188052471,32.526019723976546,28.423067116005065,28.34405544117326,28.550173368035217,28.563757784424695,28.436347497257373,28.550173368035217,28.448053574285108,K_compact_bulge,3,0.10211979375010927,-0.006678512489493471,-3.9758463559413286,False,True,True
F563-1,holdout,K_diffuse_scale_tail,17,24.695833689633552,18.44568739642176,24.7221146015421,24.80575688193458,24.694001582021805,24.6980552821245,24.713283043660258,24.694001582021805,24.739031735906448,K_diffuse_scale_tail,1,-0.04503015388464249,-0.0018321076117473467,6.248314185600044,True,True,False
F568-1,holdout,K_mid_regular,12,33.500610533676024,29.974188853658532,33.59720564034348,33.69651136951843,33.50347960163164,33.49784743939059,33.583756320418,33.583756320418,33.56594613684689,K_late_exponential,3,0.01781018357110753,0.08314578674197293,3.609567466759465,False,False,False
IC2574,holdout,K_diffuse_scale_tail,34,7.5138151552258,13.51316984455882,7.6948264248060445,7.924580315075508,7.516950940103814,7.511196690590169,7.66538974113849,7.516950940103814,7.70038891560139,K_late_exponential,2,-0.18343797549757568,0.003135784878013581,-5.996218904455007,True,False,True
IC4202,holdout,K_compact_bulge,32,26.101514959176914,26.12803028857914,24.79666740336559,24.10587469450891,26.0331060655136,26.172565146544258,24.919286357142738,24.10587469450891,25.708319189733533,K_compact_bulge,1,-1.6024444952246242,-1.9956402646680047,-2.022155594070231,True,True,True
NGC0024,holdout,K_mid_regular,29,22.157814084096987,20.65262257294937,22.104729549577407,22.08120445911741,22.15480499436212,22.160962916685357,22.109286564771015,22.109286564771015,22.132324123388297,K_compact_bulge,2,-0.023037558617282627,-0.048527519325972435,1.456663991821646,True,True,False
NGC2683,holdout,K_mid_regular,11,10.314830339812675,14.151015414510422,11.790792520612086,12.793771925579085,10.381561359069407,10.246626822943034,11.63155739744978,11.63155739744978,11.140653369197175,K_late_exponential,3,0.49090402825260604,1.316727057637106,-2.519458017060641,False,False,True
NGC3726,holdout,K_mid_regular,12,23.631876746434497,26.325344741169783,23.311637457527084,23.142326146117462,23.615003126234967,23.649415372382848,23.341641901850355,23.341641901850355,23.468914881578428,K_compact_bulge,2,-0.1272729797280725,-0.29023484458414117,-2.9837028393194274,True,True,True
NGC3949,holdout,K_mid_regular,7,8.950158230683527,11.297904622428334,8.719429155252898,8.594854194099847,8.938133589095665,8.962642739389647,8.741295372333102,8.741295372333102,8.83187684086172,K_compact_bulge,2,-0.09058146852861704,-0.20886285835042528,-2.5566092500952315,True,True,True
NGC3972,holdout,K_mid_regular,10,7.806428086864266,6.774747860896815,7.652508933211095,7.5643527482844055,7.798626774886851,7.81450664546174,7.667545532251326,7.667545532251326,7.725828722877665,K_compact_bulge,2,-0.05828319062633902,-0.1388825546129402,0.8927976713545114,True,True,False
NGC4013,holdout,K_compact_bulge,36,12.273912532057183,14.334222058319126,12.682126719381673,12.98046418373951,12.291547358785392,12.255970214430983,12.636285652337909,12.98046418373951,12.394601075184761,K_late_exponential,4,0.585863108554749,0.7065516516823269,-1.3537578745796157,False,False,True
NGC4088,holdout,K_mid_regular,12,38.98773649865968,42.18384581680386,39.087049364807385,39.168960875797445,38.99162087948671,38.98383173952265,39.07506787496294,39.07506787496294,39.04813783160227,K_late_exponential,3,0.02693004336067162,0.08733137630326127,-3.10877794184092,False,False,True
NGC4183,holdout,K_late_exponential,23,6.489693491114096,10.354993594406714,6.674725171817238,6.825723517228908,6.496932618502428,6.4824206942782405,6.652480287197716,6.4824206942782405,6.658378807643017,K_late_exponential,1,-0.17595811336477674,-0.007272796835855466,-3.872572900128474,True,True,True
NGC4214,holdout,K_diffuse_scale_tail,14,17.991047303306434,15.27888150484993,17.747616031443453,17.715107346835946,17.973870291348362,18.00932226940452,17.76170495963656,17.973870291348362,17.828711525292345,K_compact_bulge,3,0.14515876605601719,-0.017177011958072086,2.694988786498433,False,True,False
NGC4389,holdout,K_mid_regular,6,46.55692853885728,48.50110279830857,46.471851944480406,46.42530712670567,46.55251121065275,46.5615139962544,46.479959886447695,46.479959886447695,46.51311077787094,K_compact_bulge,2,-0.03315089142324723,-0.07696865240958317,-2.0211429118608777,True,True,True
NGC5907,holdout,K_mid_regular,19,16.785509985459306,18.59536481497724,17.48078278250764,17.931409811774177,16.81832469373136,16.751778943326446,17.408072359725914,17.408072359725914,17.167171149610663,K_late_exponential,3,0.24090121011525056,0.6225623742666073,-1.1872924552513275,False,False,True
NGC5985,holdout,K_compact_bulge,33,72.28739039126062,69.40357999391347,72.59221216241555,72.7981587292358,72.30141191606259,72.27301598915034,72.5595885219041,72.7981587292358,72.37800547570568,K_late_exponential,4,0.4201532535301169,0.5107683379751791,3.3945787353223267,False,False,False
NGC6789,holdout,K_diffuse_scale_tail,4,15.897752239176857,15.396246199577478,15.869130407839371,15.851946527504223,15.896336125060875,15.899215264690119,15.871996952582494,15.896336125060875,15.874386248258945,K_compact_bulge,3,0.021949876801929946,-0.001416114115981415,0.5000899254833975,False,True,False
NGC6946,holdout,K_compact_bulge,58,15.025447425206579,17.728143095419597,15.06694716509911,15.349863252805646,15.015471069798771,15.037009449927575,15.039009196255332,15.349863252805646,15.030496571993893,K_diffuse_scale_tail,4,0.31936668081175235,0.32441582759906673,-2.378279842613951,False,False,True
NGC7331,holdout,K_mid_regular,36,25.485065060071012,29.311675230419702,24.849318563970172,24.495616612332036,25.452392519232074,25.51894277485552,24.910502471752093,24.910502471752093,25.155650635473208,K_compact_bulge,2,-0.24514816372111525,-0.5745625883189192,-4.4011727586676095,True,True,True
UGC00731,holdout,K_diffuse_scale_tail,12,12.845453066903099,11.466827035781066,11.841742814942306,11.388357495260601,12.78982849411023,12.903482307784454,11.929479617127614,12.78982849411023,12.073773140057556,K_compact_bulge,3,0.7160553540526742,-0.05562457279286903,1.3230014583291645,False,True,False
UGC00891,holdout,K_diffuse_scale_tail,5,5.958365558298525,7.682081654505746,7.239330519555696,8.091465021118202,6.017018411186746,5.898350117572974,7.1027584971412905,6.017018411186746,7.030857878610822,K_late_exponential,2,-1.0138394674240754,0.05865285288822086,-1.6650632433189996,True,False,True
UGC02023,holdout,K_diffuse_scale_tail,5,12.198048884046239,13.979836766957423,12.208115407255018,12.224302240821139,12.198079426994337,12.198066438155506,12.20618177105077,12.198079426994337,12.209516816675807,K_late_exponential,2,-0.011437389681470123,3.0542948097789235e-05,-1.781757339963086,True,False,True
UGC02259,holdout,K_late_exponential,8,16.43514083306515,13.66144175213647,16.333186185715437,16.300865883202952,16.428779196821168,16.44185041288988,16.3407733721133,16.44185041288988,16.356806150712472,K_compact_bulge,4,0.08504426217740857,0.006709579824729417,2.7804086607534106,False,False,False
UGC03580,holdout,K_compact_bulge,47,25.49452615076704,27.172706555031343,24.60773719512449,24.23114654007871,25.44388647912654,25.547521566359634,24.682695772287918,24.23114654007871,25.224701272591364,K_compact_bulge,1,-0.9935547325126528,-1.2633796106883288,-2.941560014952632,True,True,True
UGC04305,holdout,K_diffuse_scale_tail,22,23.999621706482884,26.588364190715332,23.452988449107057,23.157978851952155,23.971118488980288,24.029217121994574,23.50477295172093,23.971118488980288,23.56398964188922,K_compact_bulge,3,0.40712884709106945,-0.0285032175025961,-2.617245701735044,False,True,True
UGC04499,holdout,K_diffuse_scale_tail,9,6.040634191372928,8.985021588452573,6.136114672591464,6.3819792790434615,6.036330078701578,6.046028593437663,6.108891521979948,6.036330078701578,6.178966464820358,K_diffuse_scale_tail,1,-0.14263638611878005,-0.004304112671349891,-2.9486915097509954,True,True,True
UGC05414,holdout,K_diffuse_scale_tail,6,6.4008126343112375,8.261884143933315,6.492264217938202,6.599679093543841,6.402859233313121,6.398961178169638,6.478252321628183,6.402859233313121,6.492297531113888,K_late_exponential,2,-0.08943829780076662,0.002046599001883642,-1.8590249106201941,True,False,True
UGC05716,holdout,K_diffuse_scale_tail,12,5.844868825954693,5.605647282808069,5.705492428308521,6.234145042485113,5.809295016268631,5.8843841414576135,5.66131188291706,5.809295016268631,5.926613688953263,K_mid_regular,2,-0.11731867268463159,-0.03557380968606161,0.20364773346056264,True,True,False
UGC05829,holdout,K_diffuse_scale_tail,11,6.222677845510406,8.606905396927852,4.042131575712671,3.152471103474894,6.106586034782129,6.343065075948721,4.235448885308769,6.106586034782129,4.576995021577461,K_compact_bulge,3,1.5295910132046684,-0.11609181072827646,-2.5003193621457225,False,True,True
UGC05986,holdout,K_diffuse_scale_tail,15,17.532159853325275,15.059299363743824,17.572568718364252,17.60829824527089,17.533629553942884,17.530697177282793,17.567474447826655,17.533629553942884,17.56882329012678,K_late_exponential,2,-0.03519373618389565,0.001469700617608538,2.47433019019906,True,False,False
UGC06818,holdout,K_diffuse_scale_tail,8,12.386120759877572,13.66362183441789,12.503344537896023,12.578635346475076,12.391693051559459,12.380387875908308,12.491155167684495,12.391693051559459,12.483392796689294,K_late_exponential,2,-0.09169974512983536,0.005572291681886554,-1.2719287828584314,True,False,True
UGC06917,holdout,K_diffuse_scale_tail,11,6.430936477869006,4.61507933369384,6.409854722079798,6.413057710477267,6.4291664130199955,6.432841139471725,6.4105219164968705,6.4291664130199955,6.4188069221486215,K_mid_regular,3,0.010359490871374,-0.001770064849010211,1.8140870793261552,False,True,False
