galaxy,split,role,formula_family,manifest_confidence,manifest_caveat,hub_type,type_bin,inc_bin,distance_quality,distance_frac_error,inclination_deg,inclination_error_deg,n_points,r_min,r_median,r_max,mean_gas,mean_bulge,max_bulge,mean_log_sbdisk,peak_log_sb,scale_radius_proxy_kpc,tail_inner_radius_proxy_kpc,tail_cutoff_radius_proxy_kpc,compact_support_radius_proxy_kpc,thickness_h_over_rs_proxy,ring_radius_proxy_kpc,ring_width_proxy_kpc,bar_m2_proxy,lopsided_m1_proxy,amplitude_policy,parameter_source,forbidden_inputs
UGC07232,train,control,K_scale_tail_spiral,0.8,few_rotation_points,10.0,irregular_T_ge_9,inc_mid_40_60,2.0,0.060070671378,59.0,5.0,4,0.21,0.515,0.82,0.2042506889764986,0.0,0.0,1.5562534505851269,2.121395680707223,0.30691299165673425,0.18025,0.9037427824803643,0.515,0.17191281003942438,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC07323,train,middle,K_exponential_disk,0.85,large_distance_error,8.0,late_T_6_8,inc_mid_40_60,1.0,0.3,47.0,3.0,10,0.58,3.205,5.82,0.1190454371697683,0.0,0.0,1.5776940864593925,2.1330276728998774,1.9100119189511324,1.12175,6.166422222164026,3.205,0.13357044672639573,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC07399,train,candidate,K_exponential_disk,0.85,large_distance_error,8.0,late_T_6_8,inc_mid_40_60,1.0,0.300118623962,55.0,3.0,10,0.61,3.375,6.13,0.356599007960146,0.0,0.0,0.9088704411157069,2.118727550427005,2.0113230035756855,1.18125,7.222975959397847,3.375,0.24046955358206568,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC07524,train,control,K_scale_tail_spiral,1.0,none,9.0,irregular_T_ge_9,inc_mid_40_60,2.0,0.050632911392,46.0,3.0,31,0.35,5.51,10.69,0.3460297017187979,0.0,0.0,0.9270544778487194,1.7345598215794762,3.2836710369487485,1.9284999999999999,12.539528755686973,5.51,0.23571336577345903,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC07559,train,middle,K_scale_tail_spiral,0.8,few_rotation_points,10.0,irregular_T_ge_9,inc_high_60_80,2.0,0.050301810865,61.0,3.0,7,0.36,1.45,2.53,0.4116719704674914,0.0,0.0,0.8025130993252912,1.4898179083014509,0.8641239570917759,0.5075,3.0507650426413764,1.45,0.2652523867103711,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC07608,train,middle,K_scale_tail_spiral,0.65,low_inclination;large_distance_error,10.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.299634591961,25.0,10.0,8,0.6,2.685,4.78,0.5683608186035206,0.0,0.0,0.5374973258255301,1.251638220448212,1.6001191895113231,0.93975,6.138382356462415,2.685,0.3357623683715843,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC07690,train,control,K_scale_tail_spiral,0.65,few_rotation_points;large_distance_error,10.0,irregular_T_ge_9,inc_mid_40_60,1.0,0.299630086313,41.0,5.0,7,0.59,2.36,4.13,0.2776380882254749,0.0,0.0,0.9741885876412363,2.256717745977487,1.4064362336114422,0.826,4.703322652185606,2.36,0.2049371397014637,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC07866,train,control,K_scale_tail_spiral,0.8,few_rotation_points,10.0,irregular_T_ge_9,inc_mid_40_60,2.0,0.050328227571,44.0,5.0,7,0.33,1.33,2.32,0.3554897921704338,0.0,0.0,0.8097897592283523,1.5319895514125503,0.7926102502979738,0.46549999999999997,2.7323681589177027,1.33,0.2399704064766952,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC08286,train,middle,K_exponential_disk,1.0,none,6.0,late_T_6_8,inc_edge_ge_80,2.0,0.032307692308,90.0,3.0,17,0.47,4.25,8.04,0.3098810026498474,0.0,0.0,0.5435678089576533,1.9164013036038756,2.532777115613826,1.4874999999999998,9.285721630652386,4.25,0.21944645119243134,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC08490,train,middle,K_scale_tail_spiral,1.0,none,9.0,irregular_T_ge_9,inc_mid_40_60,2.0,0.113978494624,50.0,3.0,30,0.34,5.245,10.15,0.4686619818834262,0.0,0.0,0.06352581300589723,2.3922395603981106,3.125744934445769,1.83575,12.528459558058389,5.245,0.29089789184754183,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC08550,train,control,K_scale_tail_spiral,0.85,large_distance_error,7.0,late_T_6_8,inc_edge_ge_80,1.0,0.298507462687,90.0,3.0,11,0.49,2.92,5.36,0.4211324933703986,0.0,0.0,-0.13083097044885372,1.7697464671794534,1.7401668653158522,1.022,6.488635082232669,2.92,0.2695096220166794,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC08837,train,middle,K_scale_tail_spiral,1.0,none,10.0,irregular_T_ge_9,inc_edge_ge_80,2.0,0.049930651872,80.0,5.0,8,0.52,2.36,4.2,0.2441964274175022,0.0,0.0,0.9175082261817713,1.5086643630529426,1.4064362336114422,0.826,4.712812497576755,2.36,0.189888392337876,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC09037,train,candidate,K_exponential_disk,1.0,none,6.0,late_T_6_8,inc_high_60_80,1.0,0.1004784689,65.0,5.0,22,2.43,15.165,27.96,0.2328556219288511,0.0,0.0,1.1859006439335869,2.604614799476445,9.037544696066746,5.3077499999999995,31.215321594565335,15.165,0.184785029867983,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC09133,train,middle,K_compact_finite,1.0,none,2.0,early_T_le_2,inc_mid_40_60,1.0,0.199649737303,53.0,6.0,68,0.32,12.620000000000001,108.31,0.0828655514484081,0.47979108690766487,0.9863851951140944,1.4142671823231345,3.1469307381986535,7.520858164481527,4.417,112.79758393868855,18.67496351677473,0.11728949815178365,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC09992,train,middle,K_scale_tail_spiral,0.45000000000000007,few_rotation_points;low_inclination;large_distance_error,10.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.3,30.0,10.0,5,0.78,2.34,3.89,0.399287771987601,0.0,0.0,0.7467309700487111,1.5608626947274649,1.3945172824791419,0.819,4.666614716515884,2.34,0.2596794973944205,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC10310,train,control,K_scale_tail_spiral,0.45000000000000007,few_rotation_points;low_inclination;large_distance_error,9.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.302631578947,34.0,6.0,7,1.1,4.42,7.74,0.3197709885641517,0.0,0.0,1.039273846628675,1.6896639650157703,2.634088200238379,1.547,8.977513725743266,4.42,0.2238969448538683,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC11455,train,middle,K_exponential_disk,1.0,none,6.0,late_T_6_8,inc_edge_ge_80,1.0,0.150127226463,90.0,1.0,36,0.62,11.36,41.93,0.0255037996608254,0.0,0.0,2.0655881195345627,3.272672241767572,6.769964243146603,3.9759999999999995,42.46468715988921,11.36,0.09147670984737143,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC11557,train,candidate,K_exponential_disk,0.65,low_inclination;large_distance_error,8.0,late_T_6_8,inc_low_lt_40,1.0,0.25,30.0,10.0,12,0.33,4.235,10.56,0.0632064779951347,0.0,0.0,1.6945584678938832,2.5175389738505816,2.523837902264601,1.48225,10.893730203814311,4.235,0.10844291509781062,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC11820,train,control,K_scale_tail_spiral,0.85,large_distance_error,9.0,irregular_T_ge_9,inc_mid_40_60,1.0,0.3,45.0,10.0,10,0.26,3.135,15.82,0.3899094415275945,0.0,0.0,0.772579976117225,1.885304667588968,1.868295589988081,1.0972499999999998,18.90418368248327,3.135,0.25545924868741754,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC12632,train,control,K_scale_tail_spiral,0.85,large_distance_error,9.0,irregular_T_ge_9,inc_mid_40_60,1.0,0.299897645855,46.0,3.0,15,0.71,5.69,10.66,0.4073338728061941,0.0,0.0,0.6123136029272741,1.5233562066547928,3.390941597139452,1.9915,12.831089542057013,5.69,0.26330024276278735,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC12732,train,middle,K_scale_tail_spiral,0.65,low_inclination;large_distance_error,9.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.30303030303,39.0,6.0,16,0.96,8.16,15.4,0.4420675816051241,0.0,0.0,0.14983128754947625,1.649334858712142,4.8629320619785465,2.856,18.803920378359457,8.16,0.27893041172230587,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGCA281,train,control,K_scale_tail_spiral,0.8,few_rotation_points,11.0,irregular_T_ge_9,inc_high_60_80,2.0,0.049295774648,67.0,3.0,7,0.09,0.58,1.08,0.3180971139499774,0.0,0.0,1.3546867181915319,1.9335379019717047,0.3456495828367104,0.20299999999999999,1.2517724415329878,0.58,0.22314370127748984,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGCA442,train,control,K_scale_tail_spiral,1.0,none,9.0,irregular_T_ge_9,inc_high_60_80,2.0,0.050574712644,64.0,7.0,8,0.42,3.375,6.33,0.8085396665760752,0.0,0.0,0.14184922305084055,1.0433622780211296,2.0113230035756855,1.18125,8.889028044713278,3.375,0.4438428499592339,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
