morphology_family,beta,n_train_points,n_train_galaxies,fit_policy
K_compact_bulge,-18.27739569922355,765,22,least_squares_train_only_on_vobs_minus_v6_over_rparent_cd
K_diffuse_scale_tail,-0.5480686644845127,742,60,least_squares_train_only_on_vobs_minus_v6_over_rparent_cd
K_global_tau_proxy,-11.282462809380966,2554,131,global_train_only_reference
K_late_exponential,0.5651607201731013,586,25,least_squares_train_only_on_vobs_minus_v6_over_rparent_cd
K_mid_regular,-10.132360571405105,461,24,least_squares_train_only_on_vobs_minus_v6_over_rparent_cd
