galaxy,n_points,r_median,r_max,mean_gas,mean_bulge,mean_log_sbdisk,peak_sb,mean_abs_rparent,split,role,type_bin,inc_bin,hub_type,formula_family,label_source
UGC08490,30,5.245,10.15,0.4686619818834262,0.0,0.06352581300589723,2.3922395603981106,0.2002640845837994,train,middle,irregular_T_ge_9,inc_mid_40_60,9.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGC08550,11,2.92,5.36,0.4211324933703986,0.0,-0.13083097044885372,1.7697464671794534,0.10452184502553029,train,control,late_T_6_8,inc_edge_ge_80,7.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGC08699,41,7.16,25.7,0.0491906047533491,0.5016099888270507,1.7372115100390335,3.1087036781837147,0.22596547732749914,holdout,middle,early_T_le_2,inc_high_60_80,2.0,K_compact_finite,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGC08837,8,2.36,4.2,0.2441964274175022,0.0,0.9175082261817713,1.5086643630529426,0.167649389788593,train,middle,irregular_T_ge_9,inc_edge_ge_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGC09037,22,15.165,27.96,0.2328556219288511,0.0,1.1859006439335869,2.604614799476445,0.013611710054189624,train,candidate,late_T_6_8,inc_high_60_80,6.0,K_exponential_disk,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGC09133,68,12.620000000000001,108.31,0.0828655514484081,0.47979108690766487,1.4142671823231345,3.1469307381986535,0.26388248023170624,train,middle,early_T_le_2,inc_mid_40_60,2.0,K_compact_finite,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGC09992,5,2.34,3.89,0.399287771987601,0.0,0.7467309700487111,1.5608626947274649,0.037883513155729395,train,middle,irregular_T_ge_9,inc_low_lt_40,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGC10310,7,4.42,7.74,0.3197709885641517,0.0,1.039273846628675,1.6896639650157703,0.11085293021009572,train,control,irregular_T_ge_9,inc_low_lt_40,9.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGC11455,36,11.36,41.93,0.0255037996608254,0.0,2.0655881195345627,3.272672241767572,0.11344107201686729,train,middle,late_T_6_8,inc_edge_ge_80,6.0,K_exponential_disk,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGC11557,12,4.235,10.56,0.0632064779951347,0.0,1.6945584678938832,2.5175389738505816,0.02818489593696708,train,candidate,late_T_6_8,inc_low_lt_40,8.0,K_exponential_disk,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGC11820,10,3.135,15.82,0.3899094415275945,0.0,0.772579976117225,1.885304667588968,0.1516181788034587,train,control,irregular_T_ge_9,inc_mid_40_60,9.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGC11914,65,3.83,9.83,0.0032428364674103,0.5692553771698209,2.7729184940052973,3.390221289211499,0.18392965931088076,holdout,candidate,early_T_le_2,inc_low_lt_40,2.0,K_compact_finite,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGC12506,31,25.41,49.99,0.2228774584139502,0.0,1.3363116482200457,2.616212862243485,0.06827855813000903,holdout,candidate,late_T_6_8,inc_edge_ge_80,6.0,K_exponential_disk,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGC12632,15,5.69,10.66,0.4073338728061941,0.0,0.6123136029272741,1.5233562066547928,0.10521061555633628,train,control,irregular_T_ge_9,inc_mid_40_60,9.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGC12732,16,8.16,15.4,0.4420675816051241,0.0,0.14983128754947625,1.649334858712142,0.11848124698151771,train,middle,irregular_T_ge_9,inc_low_lt_40,9.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGCA281,7,0.58,1.08,0.3180971139499774,0.0,1.3546867181915319,1.9335379019717047,0.0288219697369486,train,control,irregular_T_ge_9,inc_high_60_80,11.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGCA442,8,3.375,6.33,0.8085396665760752,0.0,0.14184922305084055,1.0433622780211296,0.07920196810510129,train,control,irregular_T_ge_9,inc_high_60_80,9.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
UGCA444,36,1.365,2.62,0.8579461284441405,0.0,-0.13885788374076485,0.5289167002776547,0.09982148420259014,holdout,control,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
