scenario,draw,radial_index,radius_lo_arcsec,radius_hi_arcsec,q_shape_proxy,delta_uv,star_clipped_fraction,h2_clipped_fraction,hi_clipped_fraction
star_only,0,0,5,15,-0.06108624235,0.8274065474,0,0,0
star_only,0,1,15,25,-0.0323440789,0.996498585,0,0,0
star_only,0,2,25,35,0.03211442066,0.9787264072,0,0,0
star_only,0,3,35,45,0.03277695268,0.9919737155,0,0,0
star_only,0,4,45,55,-0.03021079876,0.9670338118,0,0,0
star_only,0,5,55,65,-0.08235514783,0.9917242097,0,0,0
co_independent_only,0,0,5,15,-0.05936999945,0.7770716789,0,0,0
co_independent_only,0,1,15,25,-0.03511204421,0.8923255771,0,0,0
co_independent_only,0,2,25,35,0.02925694631,0.931726178,0,0,0
co_independent_only,0,3,35,45,0.02377940406,0.9986816763,0,0,0
co_independent_only,0,4,45,55,-0.03962474893,0.9343224355,0,0,0
co_independent_only,0,5,55,65,-0.1061567676,0.9762370048,0,0,0
star_plus_co_independent,0,0,5,15,-0.06012997104,0.8274065474,0,0,0
star_plus_co_independent,0,1,15,25,-0.03164616921,0.996498585,0,0,0
star_plus_co_independent,0,2,25,35,0.02818100677,0.9787264072,0,0,0
star_plus_co_independent,0,3,35,45,0.03336569369,0.9919737155,0,0,0
star_plus_co_independent,0,4,45,55,-0.02980176771,0.9670338118,0,0,0
star_plus_co_independent,0,5,55,65,-0.08935659028,0.9917242097,0,0,0
star_plus_co_correlated_control,0,0,5,15,-0.06018860219,0.8274065474,0,0,0
star_plus_co_correlated_control,0,1,15,25,-0.03125773238,0.996498585,0,0,0
star_plus_co_correlated_control,0,2,25,35,0.03048529485,0.9787264072,0,0,0
star_plus_co_correlated_control,0,3,35,45,0.03335791471,0.9919737155,0,0,0
star_plus_co_correlated_control,0,4,45,55,-0.02987263426,0.9670338118,0,0,0
star_plus_co_correlated_control,0,5,55,65,-0.08114966851,0.9917242097,0,0,0
star_co_plus_hi_ctl01,0,0,5,15,-0.06014020207,0.8274065474,0,0,0
star_co_plus_hi_ctl01,0,1,15,25,-0.03164557806,0.996498585,0,0,0
star_co_plus_hi_ctl01,0,2,25,35,0.02853566817,0.9787264072,0,0,0
star_co_plus_hi_ctl01,0,3,35,45,0.03358000339,0.9919737155,0,0,0
star_co_plus_hi_ctl01,0,4,45,55,-0.03042510136,0.9670338118,0,0,0
star_co_plus_hi_ctl01,0,5,55,65,-0.08982192629,0.9917242097,0,0,0
star_co_plus_hi_ctl10,0,0,5,15,-0.06016770591,0.8274065474,0,0,0
star_co_plus_hi_ctl10,0,1,15,25,-0.03164411309,0.996498585,0,0,0
star_co_plus_hi_ctl10,0,2,25,35,0.02942716492,0.9787264072,0,0,0
star_co_plus_hi_ctl10,0,3,35,45,0.03415500381,0.9919737155,0,0,0
star_co_plus_hi_ctl10,0,4,45,55,-0.03210297038,0.9670338118,0,0,0
star_co_plus_hi_ctl10,0,5,55,65,-0.09065540742,0.9917242097,0,0,0
star_co_plus_hi_ctl49,0,0,5,15,-0.06021458048,0.8274065474,0,0,0
star_co_plus_hi_ctl49,0,1,15,25,-0.03164203346,0.996498585,0,0,0
star_co_plus_hi_ctl49,0,2,25,35,0.03094282482,0.9787264072,0,0,0
star_co_plus_hi_ctl49,0,3,35,45,0.03513122113,0.9919737155,0,0,0
star_co_plus_hi_ctl49,0,4,45,55,-0.03427302055,0.9670338118,0,0,0
star_co_plus_hi_ctl49,0,5,55,65,-0.09162410468,0.9917242097,0,0,0
star_only,1,0,5,15,-0.05680835312,0.7505988037,0,0,0
star_only,1,1,15,25,-0.04203744764,0.7122796476,0,0,0
star_only,1,2,25,35,0.02925172188,0.6078593114,0,0,0
star_only,1,3,35,45,0.04790990415,0.9789901573,0,0,0
