galaxy,n_points,r_median,r_max,mean_gas,mean_bulge,mean_log_sbdisk,peak_sb,split,role,type_bin,inc_bin,hub_type,formula_family,label_source
CamB,9,0.9,1.79,0.3364692796822091,0.0,0.8936597629670757,1.481729196960016,holdout,middle,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
D512-2,4,2.4,3.83,0.1829782152588811,0.0,0.6932048892577652,1.216165902285993,train,control,irregular_T_ge_9,inc_mid_40_60,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
D564-8,6,1.7850000000000001,3.07,0.5126399479257571,0.0,0.07767230530084954,0.8041394323353505,train,control,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
D631-7,16,3.815,7.19,0.7290748086624049,0.0,-0.31750885906434323,1.4159744113765658,train,middle,irregular_T_ge_9,inc_mid_40_60,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
DDO064,14,1.385,2.98,0.1992968075345361,0.0,0.9397901170390284,1.4548448600085102,train,control,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
DDO154,12,3.21,5.92,0.7491305343093885,0.0,-0.4698509458281751,1.2022157758011316,train,control,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
DDO161,31,6.28,13.37,0.7263244683789362,0.0,-0.09364204099653604,1.481729196960016,train,middle,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
DDO168,10,2.265,4.12,0.7790746755026204,0.0,0.6317616096480424,1.3102683666324475,train,control,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
DDO170,8,7.1,12.33,0.7040687456367871,0.0,-0.046844071532999375,0.9722028383790644,train,control,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
ESO079-G014,15,6.34,16.67,0.0574609622564911,0.0,1.9018495982954926,2.6582785726002687,train,middle,mid_T_3_5,inc_high_60_80,4.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
