galaxy,split,formula_family,n_points,rmse_tpg_v6,rmse_mond,rmse_matched_family,rmse_wrong_family_mean,best_family,matched_family_rank,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,matched_minus_wrong_mean,matched_minus_tpg_v6,matched_minus_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond,claim_boundary
IC2574,holdout,K_scale_tail_spiral,34,7.5138151552258,13.51316984455882,10.566965630734453,26.75293889801284,K_exponential_disk,3,71.62700758214562,10.566965630734453,3.1133225699753826,5.518486541917512,-16.185973267278385,3.0531504755086525,-2.946204213824368,True,False,True,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC0024,holdout,K_thick_flared,29,22.157814084096987,20.65262257294937,22.756570031197395,49.251079649558584,K_scale_tail_spiral,2,104.87062900210596,19.4023711952362,23.480238751333594,22.756570031197395,-26.49450961836119,0.5987559471004076,2.103947458248026,True,False,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC0055,train,K_scale_tail_spiral,21,13.646013162608714,17.518196226309797,15.50707161929844,24.46296030576794,K_exponential_disk,3,51.40219728558121,15.50707161929844,9.845703903937551,12.140979727785073,-8.9558886864695,1.861058456689726,-2.0111246070113573,True,False,True,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC0100,train,K_exponential_disk,21,7.537919334963079,6.061732881040405,8.856389899016648,24.12777903871567,K_scale_tail_spiral,3,57.189436731158814,7.095648589444358,8.856389899016648,8.09825179554383,-15.271389139699021,1.3184705640535688,2.7946570179762427,True,False,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC0247,train,K_exponential_disk,26,3.866312004062215,5.475417572666649,6.561795274843639,15.203196129135998,K_scale_tail_spiral,3,37.06192318765612,3.891023604550918,6.561795274843639,4.65664159520096,-8.64140085429236,2.6954832707814234,1.0863777021769891,True,False,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC0289,train,K_thick_flared,28,13.44827134683854,23.595309185371484,11.257300859223461,13.682647846404995,K_exponential_disk,2,17.337093619667037,14.187674267165931,9.523175652382012,11.257300859223461,-2.425346987181534,-2.190970487615079,-12.338008326148023,True,True,True,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC0300,train,K_exponential_disk,25,9.83189803567648,5.607034629923943,13.615448943697162,20.000053097718364,K_scale_tail_spiral,3,40.652091668474206,7.848918182292735,13.615448943697162,11.499149442388156,-6.384604154021202,3.7835509080206826,8.008414313773219,True,False,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC1090,train,K_thick_flared,24,15.259685358845738,18.764009439287914,13.765926902112863,17.684768458108984,K_exponential_disk,2,24.762662346218328,16.022194909810633,12.269448118297996,13.765926902112863,-3.9188415559961207,-1.4937584567328752,-4.998082537175051,True,True,True,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC1705,train,K_scale_tail_spiral,14,20.59864390810048,16.95201559286103,17.353386930958422,40.884651131584405,K_scale_tail_spiral,1,77.24007777084682,17.353386930958422,23.54160612610431,21.872269497802087,-23.531264200625984,-3.245256977142059,0.4013713380973911,True,True,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC2683,holdout,K_thick_flared,11,10.314830339812675,14.151015414510422,10.331859032359942,12.833413026373654,K_thick_flared,1,17.28870570435926,10.834397635784631,10.377135738977069,10.331859032359942,-2.5015539940137117,0.017028692547267354,-3.8191563821504797,True,False,True,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC2841,train,K_compact_finite,50,59.09007494417434,53.02346081870857,54.87724264138518,59.83992329998708,K_compact_finite,1,54.87724264138518,58.28235405110214,61.17369303961691,60.063722809242186,-4.962680658601897,-4.21283230278916,1.8537818226766092,True,True,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC2903,train,K_thick_flared,34,24.362146162225375,24.96300377208502,24.47346324263098,25.253203135481424,K_scale_tail_spiral,2,26.881021022956993,24.272898417962764,24.605689965524515,24.47346324263098,-0.7797398928504435,0.1113170804056054,-0.4895405294540396,True,False,True,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC2976,train,K_thick_flared,27,5.11693008193194,5.678104979086942,4.791806857705614,67.96264209749198,K_exponential_disk,2,191.76576917721627,7.7232438061517295,4.398913309107924,4.791806857705614,-63.17083523978636,-0.325123224226326,-0.8862981213813272,True,True,True,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC3198,train,K_thick_flared,43,7.704000492040528,11.179050056995646,7.680393768171026,13.186518430436294,K_thick_flared,1,23.839413433311066,7.975273037405567,7.744868820592246,7.680393768171026,-5.506124662265268,-0.023606723869502133,-3.4986562888246198,True,True,True,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC3521,train,K_thick_flared,41,7.110920589361769,6.814883835390855,7.247916089313718,16.12850318349133,K_scale_tail_spiral,2,34.22107156620252,6.74585908508069,7.418578899190783,7.247916089313718,-8.88058709417761,0.13699549995194893,0.43303225392286304,True,False,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
