grayscale_floor,radius_kpc,gas_shell_mass_msun_with_helium,gas_enclosed_mass_msun_with_helium
0.0,0.5,28352261.214142323,28352261.214142323
0.0,1.5,27593526.447722636,55945787.66186496
0.0,2.5,52797474.43568665,108743262.0975516
0.0,3.5,109693860.82789348,218437122.92544508
0.0,4.5,197183828.37642533,415620951.3018704
0.0,5.5,264379821.19554788,680000772.4974183
0.0,6.5,352759339.84953505,1032760112.3469534
0.0,7.5,461467717.59001184,1494227829.9369652
0.0,8.5,515294280.5594665,2009522110.4964316
0.0,9.5,510881409.3892536,2520403519.8856854
0.0,10.5,594909104.4979117,3115312624.383597
0.0,11.5,682433956.4035153,3797746580.787112
0.0,12.5,696091182.1990644,4493837762.9861765
0.0,13.5,684544460.0066539,5178382222.99283
0.0,14.5,708510013.3184042,5886892236.311234
0.0,15.5,712260081.7041726,6599152318.015408
0.0,16.5,669980240.927146,7269132558.9425535
0.0,17.5,584871130.7490917,7854003689.691645
0.0,18.5,520526934.12098604,8374530623.812631
0.0,19.5,461450275.4114714,8835980899.224102
0.0,20.5,454874574.10251796,9290855473.32662
0.0,21.5,390312350.2426786,9681167823.5693
0.0,22.5,318633717.5391919,9999801541.10849
0.0,23.5,310967880.0715708,10310769421.180061
0.0,24.5,293551864.80100054,10604321285.981062
0.0,25.5,271478787.8606881,10875800073.841751
0.0,26.5,217163843.8921444,11092963917.733894
0.0,27.5,147316639.9352018,11240280557.669096
0.0,28.5,84673055.71458672,11324953613.383684
0.0,29.5,38913500.31914902,11363867113.702833
0.0,30.5,28509240.82099457,11392376354.523827
0.0,31.5,21863770.797874298,11414240125.321701
0.0,32.5,45367106.37834984,11459607231.70005
0.0,33.5,20825961.174847033,11480433192.874899
0.0,34.5,16770654.664663317,11497203847.539562
0.0,35.5,21506206.137831576,11518710053.677393
0.0,36.5,26407458.30710884,11545117511.984503
0.0,37.5,19727103.926914904,11564844615.911417
0.0,38.5,11346137.139225235,11576190753.050642
0.0,39.5,9662966.91026764,11585853719.960909
0.0,40.5,7552463.307121278,11593406183.26803
0.0,41.5,15802613.755779495,11609208797.023811
0.0,42.5,12636858.351054765,11621845655.374865
0.0,43.5,9907157.409806672,11631752812.784672
0.0,44.5,7238504.093428422,11638991316.8781
0.0,45.5,13918858.473632738,11652910175.351732
0.0,46.5,15157253.149854356,11668067428.501587
0.0,47.5,732571.498613205,11668800000.0002
0.0,48.5,0.0,11668800000.0002
0.0,49.5,0.0,11668800000.0002
0.0,50.5,0.0,11668800000.0002
0.0,51.5,0.0,11668800000.0002
0.0,52.5,0.0,11668800000.0002
0.0,53.5,0.0,11668800000.0002
0.0,54.5,0.0,11668800000.0002
0.0,55.5,0.0,11668800000.0002
0.0,56.5,0.0,11668800000.0002
0.0,57.5,0.0,11668800000.0002
0.0,58.5,0.0,11668800000.0002
4.0,0.5,28632367.34075648,28632367.34075648
4.0,1.5,26892128.49003625,55524495.83079273
4.0,2.5,51717723.34484218,107242219.1756349
4.0,3.5,108955266.79431266,216197485.96994758
4.0,4.5,198124380.40569687,414321866.37564445
4.0,5.5,265676464.54328996,679998330.9189343
4.0,6.5,355307829.0993967,1035306160.018331
4.0,7.5,466628733.08140606,1501934893.0997372
4.0,8.5,520376735.08542377,2022311628.1851609
4.0,9.5,514340281.57198626,2536651909.7571473
4.0,10.5,598941268.2002294,3135593177.9573765
4.0,11.5,688409485.3640909,3824002663.3214674
4.0,12.5,701298129.3522301,4525300792.673697
4.0,13.5,689297732.2774752,5214598524.951173
