galaxy,n_points,rmse_newton,rmse_tpg_v6,rmse_mond,rmse_exponential_disk_carrier,rmse_mixed_population,mixed_minus_newton,mixed_minus_tpg_v6,mixed_minus_mond,mixed_minus_exponential_disk_carrier,beats_newton,beats_tpg_v6,beats_mond,beats_exponential_disk_carrier,mixed_formula_id,mixed_case_status,mixed_case_caveat,construction_used_vobs,scoring_used_vobs,claim_boundary
NGC4013,36,65.6912991112144,12.273912532057183,14.334222058319126,10.880207082032726,10.614758288774299,-55.07654082244011,-1.6591542432828845,-3.719463769544827,-0.2654487932584271,True,True,True,True,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,19,86.48374825501512,16.785509985459306,18.59536481497724,17.369541614401452,16.37253184042256,-70.11121641459255,-0.412978145036746,-2.222832974554681,-0.9970097739788919,True,True,True,True,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,36,59.354351789327744,25.485065060071012,29.311675230419702,23.472976891253797,22.25566565122058,-37.09868613810717,-3.2293994088504334,-7.056009579199124,-1.2173112400332187,True,True,True,True,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
