zone,error_floor_km_s,chi2,dof,max_absolute_z
0,0.0,491.8380959639488,5,9.517728428868594
0,1.0,253.56541968642762,5,8.201425373381223
0,3.0,94.90474570856986,5,6.122865449707558
0,5.0,49.806947232875736,5,4.7620714304640055
0,10.0,17.23216404603741,5,2.905179132446385
1,0.0,690.2429790010749,5,10.211895813714689
1,1.0,176.8816767482936,5,8.65627581031582
1,3.0,46.47777702416541,5,6.338543825549926
1,5.0,29.141339687017698,5,4.874387594548787
1,10.0,13.248170748518932,5,2.9242051687068233
2,0.0,189.23674611009494,5,8.257036059216373
2,1.0,147.1578307975701,5,7.681060968837428
2,3.0,88.87310832148496,5,5.928909944991235
2,5.0,62.91929569587166,5,4.398809993133359
2,10.0,30.8434625857222,5,2.820359693238615
3,0.0,840.3844026878985,5,9.381775117286146
3,1.0,183.53217579221172,5,8.428888679883451
3,3.0,69.70725885964444,5,5.619224762630032
3,5.0,43.37498765690529,5,3.9680098842227904
3,10.0,18.855995880793625,5,2.3021877779499955
4,0.0,893.1298055113691,5,12.148022568495337
4,1.0,398.5041014282382,5,10.773409638413566
4,3.0,97.14562138527666,5,7.198133759514983
4,5.0,40.6452123445518,5,5.015684768167651
4,10.0,10.898968327449932,5,2.691267839846897
