grayscale_floor,radius_kpc,radius_over_bar,vobs_hi_km_s,vbar_km_s,cumulative_response_matched,vpred_matched_km_s
0.0,6.205609289021404,0.6083930675511181,171.0,163.98185624056643,0.04473966794240205,167.60996702820344
0.0,7.757011611276756,0.7604913344388977,191.7,171.5336254257692,0.05062696141981846,175.82213018302093
0.0,9.308413933532108,0.9125896013266773,201.1,177.29632846334098,0.05528459703908596,182.13128081490822
0.0,10.859816255787456,1.0646878682144565,208.0,181.48507135870975,0.059659865275319364,186.8203362422132
0.0,12.411218578042808,1.2167861351022362,211.3,184.40414397353487,0.06673533976118527,190.45791159683807
0.0,13.96262090029816,1.368884401990016,215.9,181.66221464291374,0.06673533976118527,187.62596800379623
0.0,15.514023222553512,1.5209826688777954,214.0,177.7352111307785,0.06673533976118527,183.57004566041297
0.0,17.065425544808864,1.673080935765575,214.5,173.52742350558717,0.06673533976118527,179.22412139717093
0.0,18.616827867064213,1.8251792026533544,216.9,169.10829664846543,0.06673533976118527,174.65991988763383
0.0,20.16823018931957,1.9772774695411344,216.9,164.60338234791763,0.06673533976118527,170.00711463544707
4.0,6.205609289021404,0.6083930675511181,171.0,163.98565115626943,0.04473966794240205,167.61384590669914
4.0,7.757011611276756,0.7604913344388977,191.7,171.54819184025706,0.05062696141981846,175.83706077180798
4.0,9.308413933532108,0.9125896013266773,201.1,177.31663598272291,0.05528459703908596,182.15214212967575
4.0,10.859816255787456,1.0646878682144565,208.0,181.50954392292618,0.059659865275319364,186.84552824638962
4.0,12.411218578042808,1.2167861351022362,211.3,184.43327012851057,0.06673533976118527,190.48799392866633
4.0,13.96262090029816,1.368884401990016,215.9,181.69492236445555,0.06673533976118527,187.6597494807398
4.0,15.514023222553512,1.5209826688777954,214.0,177.77121418917622,0.06673533976118527,183.60723065618242
4.0,17.065425544808864,1.673080935765575,214.5,173.56329616857101,0.06673533976118527,179.26117171680096
4.0,18.616827867064213,1.8251792026533544,216.9,169.14281944100648,0.06673533976118527,174.69557602218796
4.0,20.16823018931957,1.9772774695411344,216.9,164.63671268082194,0.06673533976118527,170.04153916334
8.0,6.205609289021404,0.6083930675511181,171.0,163.9862853158177,0.04473966794240205,167.61449409707467
8.0,7.757011611276756,0.7604913344388977,191.7,171.55676193342896,0.05062696141981846,175.84584512550896
8.0,9.308413933532108,0.9125896013266773,201.1,177.32869565935167,0.05528459703908596,182.16453067922805
8.0,10.859816255787456,1.0646878682144565,208.0,181.52362041839973,0.059659865275319364,186.86001856009855
8.0,12.411218578042808,1.2167861351022362,211.3,184.44987681380212,0.06673533976118527,190.50514579158556
8.0,13.96262090029816,1.368884401990016,215.9,181.71393533156896,0.06673533976118527,187.67938662083682
8.0,15.514023222553512,1.5209826688777954,214.0,177.79282806267608,0.06673533976118527,183.62955408731364
8.0,17.065425544808864,1.673080935765575,214.5,173.58463653335272,0.06673533976118527,179.28321266024972
8.0,18.616827867064213,1.8251792026533544,216.9,169.1636476784597,0.06673533976118527,174.7170880257802
8.0,20.16823018931957,1.9772774695411344,216.9,164.65721738722684,0.06673533976118527,170.0627170147463
