galaxy,fold,asymmetry_3p6,asymmetry_4p5,log_tpg_target,tpg_3p6_baseline_prediction,tpg_3p6_augmented_prediction,tpg_4p5_augmented_prediction
IC2574,4,0.4900000095367431,0.5699999928474426,2.0167433467999496,2.1086406369463377,2.1287304022587,2.110114028583403
NGC0024,2,0.2199999988079071,0.3700000047683716,3.0981902145993403,1.1688147816614654,1.1446805583224773,1.2211163973597383
NGC0055,3,0.9700000286102296,1.0,2.6134474029684664,1.9025804797028967,1.953609158755732,1.8948758688681373
NGC0100,3,0.3000000119209289,0.2800000011920929,2.019946193668026,2.341937471388185,2.276525575507214,2.346228539260214
NGC0247,2,0.4900000095367431,0.2300000041723251,1.3523010821494585,2.10671558590418,2.074610604856825,2.2766110119354606
NGC0289,4,0.2399999946355819,0.1500000059604644,2.5988505733863927,2.693446777484287,2.7344546904171168,2.739707478373806
NGC0300,3,0.6100000143051147,0.2599999904632568,2.2856320015508858,2.3790024756394663,2.2976274857685297,2.3864822870494633
NGC1090,3,0.5400000214576721,0.6200000047683716,2.725214406954359,2.566244140190288,2.546026965276279,2.565812682487131
NGC1705,1,0.449999988079071,0.2599999904632568,3.025225243924782,2.8808255869406487,2.8865496629608995,2.987043658809458
NGC2683,4,0.4600000083446502,0.6899999976158142,2.3335826984771373,3.267484265213612,3.2877771635484443,3.280950964719884
NGC2841,3,0.9200000166893004,0.5400000214576721,4.079062973662753,2.2758207114248963,2.308111590362922,2.276777587376743
NGC2903,0,0.5600000023841858,0.6800000071525574,3.193030540857504,2.3270142041434445,2.3286696108548814,2.3931473034183894
NGC2976,3,0.8500000238418579,0.8199999928474426,1.632554665850377,2.829227865628731,2.875470016948121,2.825773505354526
NGC3198,3,0.8399999737739563,0.7900000214576721,2.0417397383639426,2.3558464444679243,2.369054079370794,2.3556049792390863
NGC3521,0,0.9300000071525574,0.6299999952316284,1.9616317135432872,2.4260880288061104,2.425402310748969,2.437631439189361
NGC3726,3,0.9900000095367432,1.0,3.1625965102371696,2.9172333702502113,2.96638829495625,2.913190892696334
NGC3769,3,0.800000011920929,0.5,2.4208402483044043,2.3767286301665496,2.5498739389783807,2.3750354698051503
NGC3877,2,0.8399999737739563,0.7699999809265137,3.1099275096456034,2.08076785094553,2.104114265571623,2.051126515126632
NGC3893,4,0.7099999785423279,0.7900000214576721,2.004416437598015,2.5108392496946634,2.518285247906648,2.497751070416162
NGC3917,0,0.2000000029802322,0.1700000017881393,1.9314712690750837,2.6068058094005826,2.6109403221126475,2.8304976003023903
NGC3949,4,0.209999993443489,0.270000010728836,2.1916712115360717,2.677679566360358,2.722672666499629,2.720822173655211
NGC3953,1,0.7799999713897705,1.0,2.346601466535091,2.8733408372485916,2.84593272089753,2.785517477589936
NGC3972,0,0.4399999976158142,0.4199999868869781,2.054947508000305,2.530601152403197,2.531545658027457,2.6092590813425818
NGC3992,1,0.4300000071525574,0.3400000035762787,3.074077290978899,3.893193432624214,3.903666441334293,3.917539257462999
NGC4010,4,0.7599999904632568,0.7699999809265137,2.379472011012753,2.515483115995614,2.4866107359550127,2.467646510640092
NGC4013,3,0.800000011920929,0.6100000143051147,2.5074760776664604,3.1856826845407906,3.239907073648069,3.1847013162557625
NGC4051,4,0.3199999928474426,0.800000011920929,3.1425431935949883,4.194561133011425,4.199778854989914,4.1342184437525775
NGC4068,3,0.3000000119209289,0.1700000017881393,2.2813164180522056,2.141139873138416,2.0620268441031055,2.146774699952503
NGC4085,4,0.1800000071525573,0.1800000071525573,3.0659674577388714,2.800694996665531,2.8298996423312426,2.8451482734728892
NGC4088,3,0.3000000119209289,0.3000000119209289,3.663247147928989,2.9787469298194376,2.9228594502177745,2.981039667202718
NGC4100,1,0.6000000238418579,0.4699999988079071,2.379537449601723,2.616822934480368,2.627673919245403,2.659583445480509
NGC4138,3,0.3300000131130218,0.25,2.2528904044550098,2.1105602352426636,2.028314102885532,2.1184529485620853
NGC4157,0,1.0,1.0,3.00649362599468,3.0337030877710975,3.031890580621666,2.936298172757331
NGC4183,2,0.8299999833106995,0.6899999976158142,1.8702153017286165,2.2441977547004197,2.2773645552944908,2.1695226988127416
NGC4214,2,0.9900000095367432,0.9800000190734864,2.889874262126775,1.8360930250259557,1.879770651900277,1.7531119417608712
NGC4217,2,0.3600000143051147,0.3499999940395355,3.9579938019645646,2.629876031251202,2.6043040555316592,2.666893663281769
NGC4389,1,0.1899999976158142,0.1599999964237213,3.8406758334400806,2.9489066606306436,2.9463045628833697,2.9488761859527703
NGC4559,3,0.9700000286102296,0.9200000166893004,2.7334129086020016,2.729298653321413,2.8901812275385574,2.7210143638735422
NGC5005,4,0.2199999988079071,0.1899999976158142,2.5242673075796636,2.944772722732512,2.979027865710643,2.9724453190788855
NGC5033,0,0.9300000071525574,0.3700000047683716,2.7172601950891693,2.4409676887106166,2.440430504618326,2.566788940429269
NGC5055,3,0.5600000023841858,0.25,3.1486628673145716,2.5131304538310335,2.5781774731928895,2.515141913847921
NGC5371,1,0.8700000047683716,0.5799999833106995,3.729678756859935,2.8629855226531364,2.831008462466274,2.828215123243693
NGC5585,0,1.0,1.0,2.0681510469008364,2.2460061631779755,2.243652477606733,2.131243950032596
NGC5907,0,1.0,0.4300000071525574,2.8205160133782363,2.917426433632541,2.915966846956833,3.02492164459108
NGC5985,1,0.9800000190734864,0.7200000286102295,4.280649707194756,2.678306430889038,2.6412016813647208,2.6370427849309874
NGC6015,3,0.9800000190734864,0.949999988079071,2.5990434486618326,2.771000718085639,2.8923432459635716,2.7643443765731766
NGC6503,3,0.9900000095367432,0.9900000095367432,2.0198272979161835,2.7492560600900284,2.9060312900325935,2.7400174674066977
NGC7793,0,0.8100000023841858,0.7699999809265137,1.7443782127426593,2.814262860395926,2.813262037499556,2.771476981859829
UGC00191,2,0.1800000071525573,0.1299999952316284,1.9601578296176025,1.9576759265527444,1.9428263272015216,2.0329591605466706
UGC00634,0,0.1099999994039535,0.0900000035762786,2.1016033873366817,2.7080543029027977,2.7102767613435628,2.815893778421582
UGC00891,4,0.4099999964237213,0.4300000071525574,1.7847962082833504,2.1541713806547107,2.157396055200266,2.1587390657603196
UGC04305,1,0.4900000095367431,0.3400000035762787,3.178038067994554,1.7976891432533846,1.8169054278128336,1.8393417913868615
