formula_family,beta_delta_v2_amplitude,n_train_points,n_train_galaxies,kernel,formula_source,fit_policy
K_compact_finite,108797.3699669811,765,22,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001,least_squares_train_only_on_vobs2_minus_v6_2_over_bridge_formula_kernel
K_scale_tail_spiral,758.0918289449462,742,60,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2,least_squares_train_only_on_vobs2_minus_v6_2_over_bridge_formula_kernel
K_exponential_disk,-1003.8829388432547,586,25,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel,least_squares_train_only_on_vobs2_minus_v6_2_over_bridge_formula_kernel
K_thick_flared,-522.9618227760329,461,24,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical,least_squares_train_only_on_vobs2_minus_v6_2_over_bridge_formula_kernel
