galaxy,split,formula_family,n_points,rmse_mixture_proxy,rmse_single_matched_family,rmse_tpg_v6,rmse_mond,mixture_minus_single_matched,mixture_minus_tpg_v6,mixture_minus_mond,mixture_beats_single_matched,mixture_beats_tpg_v6,mixture_beats_mond
CamB,holdout,K_scale_tail_spiral,9,41.34713054835143,19.721962031071975,13.63779853730796,15.623524086441458,21.625168517279455,27.70933201104347,25.723606461909974,False,False,False
ESO116-G012,holdout,K_exponential_disk,15,9.914510077634636,13.446279755293979,11.508201668011028,9.108666488881621,-3.5317696776593426,-1.593691590376391,0.8058435887530155,True,True,False
F561-1,holdout,K_scale_tail_spiral,6,32.81474646274271,30.72961132456212,28.55685188052471,32.526019723976546,2.08513513818059,4.257894582218,0.28872673876616517,False,False,False
F563-1,holdout,K_scale_tail_spiral,17,22.440942185209032,22.617853241287115,24.695833689633552,18.44568739642176,-0.1769110560780831,-2.2548915044245206,3.995254788787271,True,True,False
F568-1,holdout,K_thick_flared,12,30.28243549193633,34.955430288199395,33.500610533676024,29.974188853658532,-4.672994796263065,-3.218175041739695,0.3082466382777973,True,True,False
IC2574,holdout,K_scale_tail_spiral,34,11.914818481303513,10.566965630734453,7.5138151552258,13.51316984455882,1.3478528505690601,4.401003326077713,-1.5983513632553077,False,False,True
IC4202,holdout,K_compact_finite,32,25.82365271448953,25.94895537395008,26.101514959176914,26.12803028857914,-0.12530265946055152,-0.27786224468738396,-0.3043775740896102,True,True,True
NGC0024,holdout,K_thick_flared,29,12.372056070443607,22.660175260822907,22.157814084096987,20.65262257294937,-10.2881191903793,-9.78575801365338,-8.280566502505762,True,True,True
NGC2683,holdout,K_thick_flared,11,10.59617743375434,9.441655141326386,10.314830339812675,14.151015414510422,1.154522292427954,0.28134709394166535,-3.5548379807560817,False,False,True
NGC3726,holdout,K_thick_flared,12,22.98251398182168,22.32780920265615,23.631876746434497,26.325344741169783,0.6547047791655274,-0.6493627646128175,-3.3428307593481037,False,True,True
NGC3949,holdout,K_thick_flared,7,10.950671563982569,8.55319084358932,8.950158230683527,11.297904622428334,2.397480720393249,2.0005133332990415,-0.3472330584457648,False,False,True
NGC3972,holdout,K_thick_flared,10,6.266471836974784,8.593962113335323,7.806428086864266,6.774747860896815,-2.327490276360539,-1.5399562498894825,-0.508276023922031,True,True,True
NGC4013,holdout,K_compact_finite,36,15.260410364871282,16.99356852880305,12.273912532057183,14.334222058319126,-1.7331581639317672,2.9864978328140985,0.9261883065521559,True,False,False
NGC4088,holdout,K_thick_flared,12,38.70894315682372,37.811387707787695,38.98773649865968,42.18384581680386,0.8975554490360267,-0.27879334183595716,-3.4749026599801383,False,True,True
NGC4183,holdout,K_exponential_disk,23,6.170265873085838,6.224581287933666,6.489693491114096,10.354993594406714,-0.05431541484782798,-0.31942761802825803,-4.1847277213208764,True,True,True
NGC4214,holdout,K_scale_tail_spiral,14,10.919711713891596,15.405984093871057,17.991047303306434,15.27888150484993,-4.486272379979461,-7.071335589414838,-4.359169790958333,True,True,True
NGC4389,holdout,K_thick_flared,6,50.972409473962564,45.987913835499185,46.55692853885728,48.50110279830857,4.984495638463379,4.415480935105286,2.4713066756539916,False,False,False
NGC5907,holdout,K_thick_flared,19,16.493230967433664,16.383392586061934,16.785509985459306,18.59536481497724,0.10983838137173052,-0.29227901802564205,-2.102133847543577,False,True,True
NGC5985,holdout,K_compact_finite,33,67.77722423034764,66.20241092491683,72.28739039126062,69.40357999391347,1.5748133054308084,-4.5101661609129735,-1.626355763565826,False,True,True
NGC6789,holdout,K_scale_tail_spiral,4,34.90590005866092,11.536643562882814,15.897752239176857,15.396246199577478,23.369256495778103,19.008147819484062,19.509653859083443,False,False,False
NGC6946,holdout,K_compact_finite,58,24.079718854313754,27.872527807879194,15.025447425206579,17.728143095419597,-3.792808953565441,9.054271429107175,6.351575758894157,True,False,False
