r_kpc,vobs_km_s,errv_km_s,vgas_km_s,vdisk_km_s,vbul_km_s,vn_km_s,v_tpg_v6_km_s,v_mond_km_s,x_R_over_RHI,x_w_frozen,warp_kernel_frozen,primary_total_v2_km2_s2,pred_TAU_WARP_TRANSFER_PRIMARY,resid_TAU_WARP_TRANSFER_PRIMARY,pred_TAU_WARP_TRANSFER_SOURCE_SPEED_SENSITIVITY,resid_TAU_WARP_TRANSFER_SOURCE_SPEED_SENSITIVITY,pred_NEWTONIAN_BARYONIC,resid_NEWTONIAN_BARYONIC,pred_TPG_V6_FIXED,resid_TPG_V6_FIXED,pred_MOND_FIXED_A0,resid_MOND_FIXED_A0,pred_CONTROL_WRONG_NGC4088_ONSET,resid_CONTROL_WRONG_NGC4088_ONSET,pred_CONTROL_WRONG_P2,resid_CONTROL_WRONG_P2,pred_CONTROL_WRONG_SIGN,resid_CONTROL_WRONG_SIGN,pred_NFW_TWO_PARAMETER_ENDPOINT_FIT,resid_NFW_TWO_PARAMETER_ENDPOINT_FIT,pred_PSEUDO_ISOTHERMAL_TWO_PARAMETER_ENDPOINT_FIT,resid_PSEUDO_ISOTHERMAL_TWO_PARAMETER_ENDPOINT_FIT,wrong_sign_total_v2_km2_s2,construction_used_pointwise_vobs_or_residual,scoring_used_vobs,claim_boundary
0.34,38.8,3.69,0.91,27.87,0.0,19.72806503436158,29.97875539888478,30.35018261939905,0.043589743589743594,0.4508762999054615,0.0,389.19655,19.72806503436158,-19.071934965638416,19.72806503436158,-19.071934965638416,19.72806503436158,-19.071934965638416,29.97875539888478,-8.821244601115218,30.35018261939905,-8.449817380600948,19.72806503436158,-19.071934965638416,19.72806503436158,-19.071934965638416,19.72806503436158,-19.071934965638416,39.472423660259224,0.6724236602592271,35.33424435282507,-3.4657556471749302,389.19655,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
0.68,50.1,3.69,7.1,39.52,0.0,28.832710590577502,43.29664353034163,43.829041092232295,0.08717948717948719,0.4508762999054615,0.0,831.3252,28.832710590577502,-21.2672894094225,28.832710590577502,-21.2672894094225,28.832710590577502,-21.2672894094225,43.29664353034163,-6.803356469658368,43.829041092232295,-6.270958907767707,28.832710590577502,-21.2672894094225,28.832710590577502,-21.2672894094225,28.832710590577502,-21.2672894094225,53.81415874213698,3.7141587421369806,53.91230345791902,3.812303457919022,831.3252,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
1.02,60.2,3.69,10.23,44.52,0.0,33.10087763186952,50.88307348236067,51.52254496934121,0.13076923076923078,0.4508762999054615,0.0,1095.6681,33.10087763186952,-27.09912236813048,33.10087763186952,-27.09912236813048,33.10087763186952,-27.09912236813048,50.88307348236067,-9.316926517639331,51.52254496934121,-8.677455030658791,33.10087763186952,-27.09912236813048,33.10087763186952,-27.09912236813048,33.10087763186952,-27.09912236813048,62.1073246239091,1.9073246239090977,63.420910885815445,3.2209108858154423,1095.6681,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
1.36,68.2,3.69,12.18,46.26,0.0,34.90481628658143,55.45934422412471,56.2135247746958,0.17435897435897438,0.4508762999054615,0.0,1218.3462000000002,34.90481628658143,-33.295183713418574,34.90481628658143,-33.295183713418574,34.90481628658143,-33.295183713418574,55.45934422412471,-12.74065577587529,56.2135247746958,-11.986475225304204,34.90481628658143,-33.295183713418574,34.90481628658143,-33.295183713418574,34.90481628658143,-33.295183713418574,67.2972700743757,-0.9027299256242998,68.6599894298084,0.4599894298084024,1218.3462000000002,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
1.69,72.8,3.69,14.42,45.8,0.0,35.45076021751861,58.27363408265859,59.18017784002597,0.21666666666666667,0.4508762999054615,0.0,1256.7564,35.45076021751861,-37.34923978248139,35.45076021751861,-37.34923978248139,35.45076021751861,-37.34923978248139,58.27363408265859,-14.526365917341408,59.18017784002597,-13.619822159974028,35.45076021751861,-37.34923978248139,35.45076021751861,-37.34923978248139,35.45076021751861,-37.34923978248139,70.65568135013035,-2.1443186498696463,71.6902028189881,-1.1097971810118992,1256.7564,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
2.03,75.3,3.69,15.29,45.05,0.0,35.33461970928794,60.12463551990566,61.24306077413273,0.2602564102564102,0.4508762999054615,0.0,1248.5353499999999,35.33461970928794,-39.965380290712055,35.33461970928794,-39.965380290712055,35.33461970928794,-39.965380290712055,60.12463551990566,-15.175364480094338,61.24306077413273,-14.056939225867268,35.33461970928794,-39.965380290712055,35.33461970928794,-39.965380290712055,35.33461970928794,-39.965380290712055,73.04563859437592,-2.2543614056240813,73.64301004466908,-1.6569899553309142,1248.5353499999999,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
2.37,76.6,3.69,18.41,43.11,0.0,35.611292450569664,62.14106732727764,63.48096904198825,0.3038461538461539,0.4508762999054615,0.0,1268.1641499999998,35.611292450569664,-40.98870754943033,35.611292450569664,-40.98870754943033,35.611292450569664,-40.98870754943033,62.14106732727764,-14.458932672722355,63.48096904198825,-13.119030958011741,35.814056364111785,-40.78594363588821,35.611292450569664,-40.98870754943033,35.611292450569664,-40.98870754943033,75.08848171038115,-1.5115182896188486,75.26079042514245,-1.3392095748575485,1268.1641499999998,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
2.7,77.6,3.69,20.65,41.2,0.0,35.70913748608331,63.725129314786365,65.3034942593081,0.3461538461538462,0.4508762999054615,0.0,1275.1425000000002,35.70913748608331,-41.89086251391669,35.70913748608331,-41.89086251391669,35.70913748608331,-41.89086251391669,63.725129314786365,-13.87487068521363,65.3034942593081,-12.296505740691899,37.42667032601553,-40.17332967398446,35.70913748608331,-41.89086251391669,35.70913748608331,-41.89086251391669,76.60087154533213,-0.9991284546678685,76.41765873055434,-1.1823412694456579,1275.1425000000002,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
3.05,78.5,3.69,21.24,39.62,0.0,35.156931037848,64.47204802072974,66.3698508372738,0.391025641025641,0.4508762999054615,0.0,1236.0097999999998,35.156931037848,-43.343068962152,35.156931037848,-43.343068962152,35.156931037848,-43.343068962152,64.47204802072974,-14.027951979270256,66.3698508372738,-12.130149162726198,38.46412370195664,-40.03587629804336,35.156931037848,-43.343068962152,35.156931037848,-43.343068962152,77.58460290286435,-0.9153970971356529,77.0968462866949,-1.4031537133051017,1236.0097999999998,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
3.38,78.2,3.69,22.11,38.18,0.0,34.8956773827361,65.33263766045484,67.52730250890642,0.43333333333333335,0.4508762999054615,0.0,1217.7083,34.8956773827361,-43.3043226172639,34.8956773827361,-43.3043226172639,34.8956773827361,-43.3043226172639,65.33263766045484,-12.867362339545167,67.52730250890642,-10.672697491093587,39.652465000298506,-38.5475349997015,34.8956773827361,-43.3043226172639,34.8956773827361,-43.3043226172639,78.39937419513588,0.1993741951358743,77.69403027284486,-0.5059697271551471,1217.7083,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
