split,n_components,n_proxy_components,median_e_tau_all_components,median_e_tau_proxy_components,mean_e_tau_proxy_components,median_proxy_minus_fixed_0p35,claim_boundary
all,406,105,1.0,0.3540249999999999,0.3357981666666666,0.004024999999999945,tau_side_evidence_measure_gate_candidate_not_endpoint
holdout,107,28,1.0,0.3540249999999999,0.3283284374999999,0.004024999999999945,tau_side_evidence_measure_gate_candidate_not_endpoint
train,299,77,1.0,0.3540249999999999,0.33851443181818175,0.004024999999999945,tau_side_evidence_measure_gate_candidate_not_endpoint
