score_layer,split,inclusion_lane,n_galaxies,median_rmse_prediction,median_minus_wrong_mean,median_minus_tpg_v6,median_minus_mond,beats_wrong_fraction,beats_tpg_v6_fraction,beats_mond_fraction,claim_boundary
L0,holdout,ACQUISITION_REQUIRED,28,11.776079048092104,0.09170266491027139,0.14489990582805046,-0.41503033112905685,0.4642857142857143,0.42857142857142855,0.6071428571428571,inclusion_lane_endpoint_analysis_not_validation
L0,holdout,ALL_ROWS,44,14.021305968565688,-0.0012605214126067028,0.13622558538897775,-0.41503033112905685,0.5,0.4772727272727273,0.5909090909090909,inclusion_lane_endpoint_analysis_not_validation
L0,holdout,CAUTION_READY_PROXY_SUPPORTED,16,22.97650226647646,-0.9046002663938122,-0.7419728489469666,-0.3326437137405338,0.5625,0.5625,0.5625,inclusion_lane_endpoint_analysis_not_validation
L0,holdout,STRICT_PLUS_CAUTION,16,22.97650226647646,-0.9046002663938122,-0.7419728489469666,-0.3326437137405338,0.5625,0.5625,0.5625,inclusion_lane_endpoint_analysis_not_validation
L0,train,ACQUISITION_REQUIRED,80,10.162938479849934,-0.22439932488089995,-0.060696141614060097,-0.19506216837460538,0.5875,0.525,0.525,inclusion_lane_endpoint_analysis_not_validation
L0,train,ALL_ROWS,131,12.052058336691273,-0.1610408632889974,-0.0047556718847419,-0.082794910119559,0.5725190839694656,0.5038167938931297,0.5190839694656488,inclusion_lane_endpoint_analysis_not_validation
L0,train,CAUTION_READY_PROXY_SUPPORTED,50,16.330315632201692,-0.0962556513991685,0.0201829301669067,0.07364332766794225,0.56,0.48,0.5,inclusion_lane_endpoint_analysis_not_validation
L0,train,STRICT_PLUS_CAUTION,51,16.41687231115443,-0.0759459658356362,0.0309535817988324,-0.0131746877004559,0.5490196078431373,0.47058823529411764,0.5098039215686274,inclusion_lane_endpoint_analysis_not_validation
L0,train,STRICT_READY_CANDIDATE,1,35.41555148991009,0.0040084188067623,0.3345905350831231,-2.87421334571097,0.0,0.0,1.0,inclusion_lane_endpoint_analysis_not_validation
L1,holdout,ACQUISITION_REQUIRED,28,11.46190841540854,-13.784893510161018,1.0272508695227764,0.03146001280786945,0.9285714285714286,0.4642857142857143,0.5,inclusion_lane_endpoint_analysis_not_validation
L1,holdout,ALL_ROWS,44,15.353124204626997,-13.974199559618807,0.6449476015984881,0.1734005913090346,0.8863636363636364,0.4772727272727273,0.4772727272727273,inclusion_lane_endpoint_analysis_not_validation
L1,holdout,CAUTION_READY_PROXY_SUPPORTED,16,22.944877184862527,-13.974199559618807,0.052696894815856155,0.21732421033734894,0.8125,0.5,0.4375,inclusion_lane_endpoint_analysis_not_validation
L1,holdout,STRICT_PLUS_CAUTION,16,22.944877184862527,-13.974199559618807,0.052696894815856155,0.21732421033734894,0.8125,0.5,0.4375,inclusion_lane_endpoint_analysis_not_validation
L1,train,ACQUISITION_REQUIRED,80,10.454660085783296,-15.867050207546441,0.3782566873262492,0.4112838047612133,0.9375,0.4625,0.4375,inclusion_lane_endpoint_analysis_not_validation
L1,train,ALL_ROWS,131,13.175386122165875,-11.122740256969614,0.2265709757814278,0.3310014380403583,0.8702290076335878,0.45038167938931295,0.4580152671755725,inclusion_lane_endpoint_analysis_not_validation
L1,train,CAUTION_READY_PROXY_SUPPORTED,50,18.466071413198478,-4.279999087527054,0.1689440280935166,0.06582451441758055,0.76,0.42,0.48,inclusion_lane_endpoint_analysis_not_validation
L1,train,STRICT_PLUS_CAUTION,51,19.265882690084663,-4.3494822678215,0.1113170804056054,0.0398528723654418,0.7647058823529411,0.43137254901960786,0.49019607843137253,inclusion_lane_endpoint_analysis_not_validation
L1,train,STRICT_READY_CANDIDATE,1,31.40417997527423,-6.752959116046792,-3.676780979552735,-6.885584860346828,1.0,1.0,1.0,inclusion_lane_endpoint_analysis_not_validation
L2,holdout,ACQUISITION_REQUIRED,28,12.969444177475332,,0.11181611186814955,0.8660159476525857,,0.5,0.42857142857142855,inclusion_lane_endpoint_analysis_not_validation
L2,holdout,ALL_ROWS,44,15.360162484413971,,0.11181611186814955,0.29848668852198124,,0.5,0.45454545454545453,inclusion_lane_endpoint_analysis_not_validation
L2,holdout,CAUTION_READY_PROXY_SUPPORTED,16,24.487601042762492,,0.41515013164821246,-0.02925315983979984,,0.5,0.5,inclusion_lane_endpoint_analysis_not_validation
