galaxy,formula_id,r_kpc,x_R_over_RHI,carrier_velocity_km_s,x_w_formula_freeze,sigma_warp,mu_load,lambda_split_km2_s2,kernel_ramp,delta_v2_split_km2_s2,v_split_b2_unit_load_km_s,uses_vobs_or_residual_in_construction,endpoint_scores_allowed,claim_boundary
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,2.67,0.09885227693446871,251.97887713060393,0.5343091911302521,1.0,1.0,30520.27530655113,0.0,0.0,251.97887713060393,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,3.21,0.11884487226952979,264.4347516496272,0.5343091911302521,1.0,1.0,30520.27530655113,0.0,0.0,264.4347516496272,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,3.74,0.13846723435764532,275.6652313586173,0.5343091911302521,1.0,1.0,30520.27530655113,0.0,0.0,275.6652313586173,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,4.27,0.15808959644576082,275.8196327856304,0.5343091911302521,1.0,1.0,30520.27530655113,0.0,0.0,275.8196327856304,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,4.81,0.17808219178082188,273.4442633700696,0.5343091911302521,1.0,1.0,30520.27530655113,0.0,0.0,273.4442633700696,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,5.35,0.19807478711588297,274.51298426486136,0.5343091911302521,1.0,1.0,30520.27530655113,0.0,0.0,274.51298426486136,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,5.88,0.2176971492039985,269.34129562694244,0.5343091911302521,1.0,1.0,30520.27530655113,0.0,0.0,269.34129562694244,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,6.41,0.237319511292114,265.180273078523,0.5343091911302521,1.0,1.0,30520.27530655113,0.0,0.0,265.180273078523,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,7.48,0.27693446871529065,254.02275984643583,0.5343091911302521,1.0,1.0,30520.27530655113,0.0,0.0,254.02275984643583,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,8.55,0.31654942613846726,238.60471041033537,0.5343091911302521,1.0,1.0,30520.27530655113,0.0,0.0,238.60471041033537,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
