formula_family,observable_driver_type,source_priority,kernel_promotion_status,n_galaxies,galaxies,endpoint_eligible_count,median_delta_matched_rmse,median_delta_vs_tpg,median_delta_vs_mond,claim_boundary
K_compact_finite,compact_support_candidate,P1_PROMOTE_OR_CONFIRM_SOURCE_NATIVE,KERNEL_READY_STRICT,1,NGC5985,1,-6.305703142015389,-6.305703142015389,-6.305703142015389,s4g75_kernel_ready_promotion_gate_not_endpoint
K_scale_tail_spiral,tail_inner_cutoff_candidate,P0_DIRECT_SOURCE_NATIVE_REQUIRED,KERNEL_READY_CONDITIONAL,3,NGC4214;UGC06917;UGC06983,0,0.6778723702062717,0.6778723702062717,0.6778723702062717,s4g75_kernel_ready_promotion_gate_not_endpoint
K_scale_tail_spiral,tail_inner_cutoff_candidate,P1_PROMOTE_OR_CONFIRM_SOURCE_NATIVE,KERNEL_READY_CONDITIONAL,3,UGC00891;UGC04499;UGC05829,0,-0.656042582915374,-0.656042582915374,-0.656042582915374,s4g75_kernel_ready_promotion_gate_not_endpoint
K_thick_flared,thickness_h_over_rs_candidate,P0_DIRECT_SOURCE_NATIVE_REQUIRED,KERNEL_PROXY_ONLY,5,NGC0024;NGC2683;NGC3726;NGC3949;NGC4088,0,0.4697460215147373,0.4697460215147373,0.4697460215147373,s4g75_kernel_ready_promotion_gate_not_endpoint
K_thick_flared,thickness_h_over_rs_candidate,P0_DIRECT_SOURCE_NATIVE_REQUIRED,KERNEL_READY_STRICT,1,NGC5907,1,0.6299467111593735,0.6299467111593735,0.6299467111593735,s4g75_kernel_ready_promotion_gate_not_endpoint
K_thick_flared,thickness_h_over_rs_candidate,P1_PROMOTE_OR_CONFIRM_SOURCE_NATIVE,KERNEL_PROXY_ONLY,2,NGC3972;NGC4389,0,-0.0710088386745777,-0.0710088386745777,-0.0710088386745777,s4g75_kernel_ready_promotion_gate_not_endpoint
