geometry,radius_arcsec,n_positive_side_pixels,n_negative_side_pixels,positive_side_speed_kms,negative_side_speed_kms,absolute_side_difference_kms,eligible
fixed,36.0,15,14,39.29002736950102,62.884715276815825,23.594687907314807,True
fixed,48.0,17,19,46.775798608056,70.14125267508463,23.36545406702863,True
fixed,60.0,24,24,57.71832219095177,79.52712728923777,21.808805098286,True
fixed,72.0,28,28,68.13327388677112,88.11339837333797,19.98012448656685,True
fixed,84.0,31,30,75.84918162845007,93.87228303721773,18.02310140876766,True
fixed,96.0,38,41,83.05432058500233,98.30118506858337,15.246864483581035,True
fixed,108.0,41,39,88.8748460957911,100.37412343085305,11.499277335061947,True
fixed,120.0,49,47,91.96116308964585,101.0651036133974,9.103940523751547,True
fixed,132.0,50,51,91.26173161808833,102.97226137290001,11.710529754811674,True
fixed,144.0,59,55,88.69793403009177,102.71516128775113,14.017227257659357,True
fixed,156.0,56,62,89.9044961705919,101.44433815871298,11.539841988121083,True
fixed,168.0,66,62,92.20653227091051,99.64530234039326,7.438770069482743,True
fixed,180.0,69,72,92.6739050014475,100.55234249927203,7.878437497824535,True
fixed,192.0,93,97,91.79826274351261,100.65227183265381,8.8540090891412,True
fixed,210.0,165,165,90.6208469923322,99.22891466749108,8.608067675158878,True
fixed,240.0,237,230,85.8454491218508,93.24533000408603,7.399880882235223,True
fixed,270.0,259,263,87.36287631925487,87.67038513952669,0.3075088202718206,True
fixed,300.0,291,291,89.42339852611154,83.39328769204474,6.030110834066804,True
fixed,330.0,311,324,88.87322883268496,78.47825260812044,10.394976224564516,True
fixed,360.0,190,323,96.37212058220021,82.30404387868262,14.06807670351759,True
fixed,390.0,119,211,109.97132181288825,92.24118545948666,17.73013635340159,True
fixed,420.0,78,153,115.51008231192067,99.98314378798996,15.52693852393071,True
fixed,450.0,55,165,127.43204891777994,107.79941164082548,19.632637276954455,True
fixed,520.0,5,186,133.3847659263592,114.61150404806807,,False
fixed,590.0,0,87,,118.75250189238737,,False
variable,36.0,15,16,39.61346162455095,63.63481168079133,24.02135005624038,True
variable,48.0,17,19,47.765486801040595,70.24430578208357,22.478818981042977,True
variable,60.0,22,23,57.1441869113095,79.8120516212262,22.667864709916707,True
variable,72.0,28,29,69.35567533919857,87.52697167180872,18.171296332610154,True
variable,84.0,33,32,75.3750194439981,93.60033717331623,18.225317729318135,True
variable,96.0,39,39,82.81448683478354,98.63964355671459,15.825156721931052,True
variable,108.0,46,46,89.60945629861462,100.83372883501559,11.224272536400974,True
variable,120.0,51,51,93.05910689212249,102.60703511662068,9.547928224498193,True
variable,132.0,59,55,93.81069007237295,104.41906511291701,10.608375040544061,True
variable,144.0,61,61,92.87079992735052,105.23675028456499,12.365950357214473,True
variable,156.0,66,65,94.61166142583443,103.68785335303575,9.076191927201322,True
variable,168.0,65,70,95.12258966271395,102.16984533412393,7.047255671409985,True
variable,180.0,78,79,94.39833495386654,102.6733363919292,8.27500143806266,True
variable,192.0,109,103,94.60063096618671,102.27111971678465,7.67048875059794,True
variable,210.0,318,317,92.85274663641755,98.3030839256989,5.45033728928135,True
variable,240.0,363,368,88.65182785677352,98.85372975115308,10.20190189437956,True
variable,270.0,342,335,92.17406957280437,98.10484550213218,5.930775929327808,True
variable,300.0,398,410,97.643515999225,99.42101867973697,1.7775026805119722,True
variable,330.0,404,397,103.76777972660736,95.60196961189851,8.165810114708847,True
variable,360.0,416,417,110.73076921829357,91.84283134514725,18.887937873146328,True
variable,390.0,397,442,110.85868022984205,92.30240152175443,18.556278708087618,True
variable,420.0,272,385,114.46722569474477,98.60051715419111,15.86670854055366,True
variable,450.0,83,339,108.81034065555939,101.6766428449791,7.133697810580287,True
variable,520.0,0,318,,109.2755587040872,,False
variable,590.0,0,86,,116.49187087742197,,False
