galaxy,evidence_id,source_url,cache_name,source_kind,local_source_path,cache_status,bytes_cached,local_path,text_cache_status,text_local_path,download_error,accepted_label_promoted,endpoint_scores_allowed,claim_boundary
IC2574,hi_asymmetry_map,https://academic.oup.com/mnras/article/493/2/2618/5734519,ic2574_deblok_2020_m81_hi_survey.pdf,pdf,/Users/jolcsak/Desktop/staa415.pdf,LOCAL_SOURCE_CACHED,6082257,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_deblok_2020_m81_hi_survey.pdf,TEXT_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_deblok_2020_m81_hi_survey.txt,,False,False,readout_subfamily_source_cache_not_label_acceptance
IC2574,environment_history,https://arxiv.org/pdf/astro-ph/9904002,ic2574_walter_brinks_1999_hi_holes_shells.pdf,pdf,,ALREADY_CACHED,329148,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_walter_brinks_1999_hi_holes_shells.pdf,TEXT_ALREADY_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_walter_brinks_1999_hi_holes_shells.txt,,False,False,readout_subfamily_source_cache_not_label_acceptance
IC2574,outer_tail_transition,https://astronomia.unam.mx/journals/rmxaa/article/view/2002rmxaa..38...39s,ic2574_sanchez_salcedo_hidalgo_gamez_2002_holes.html,html,,ALREADY_CACHED,66631,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_sanchez_salcedo_hidalgo_gamez_2002_holes.html,NOT_APPLICABLE,,,False,False,readout_subfamily_source_cache_not_label_acceptance
NGC4013,disk_overlay_check,https://arxiv.org/pdf/1506.05123,ngc4013_zschaechner_rand_2015_hi_kinematics.pdf,pdf,,ALREADY_CACHED,2817295,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc4013_zschaechner_rand_2015_hi_kinematics.pdf,TEXT_ALREADY_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc4013_zschaechner_rand_2015_hi_kinematics.txt,,False,False,readout_subfamily_source_cache_not_label_acceptance
NGC5907,velocity_field_sanity,https://arxiv.org/pdf/astro-ph/9806395,ngc5907_shang_1998_ring_warp_interaction.pdf,pdf,,ALREADY_CACHED,618749,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_shang_1998_ring_warp_interaction.pdf,TEXT_ALREADY_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_shang_1998_ring_warp_interaction.txt,,False,False,readout_subfamily_source_cache_not_label_acceptance
NGC5907,vertical_or_warp_source,https://arxiv.org/pdf/1408.5905,ngc5907_wiegert_2015_edge_on_ism.pdf,pdf,,ALREADY_CACHED,1386440,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_wiegert_2015_edge_on_ism.pdf,TEXT_ALREADY_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_wiegert_2015_edge_on_ism.txt,,False,False,readout_subfamily_source_cache_not_label_acceptance
NGC5907,projection_geometry,https://academic.oup.com/pasj/article/39/6/849/8078264,ngc5907_sasaki_1987_surface_photometry_warp.pdf,pdf,/Users/jolcsak/Desktop/pasj_39_6_849.pdf,LOCAL_SOURCE_CACHED,3311911,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_sasaki_1987_surface_photometry_warp.pdf,TEXT_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_sasaki_1987_surface_photometry_warp.txt,,False,False,readout_subfamily_source_cache_not_label_acceptance
NGC7331,vertical_scale_or_thickness,https://arxiv.org/pdf/1706.08615,ngc7331_patra_2018_molecular_scale_height.pdf,pdf,,ALREADY_CACHED,1090275,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc7331_patra_2018_molecular_scale_height.pdf,TEXT_ALREADY_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc7331_patra_2018_molecular_scale_height.txt,,False,False,readout_subfamily_source_cache_not_label_acceptance
NGC4183,bar_core_projection_history_overlay,https://arxiv.org/pdf/1103.4928,ngc4183_whisp_lopsidedness_context_2011.pdf,pdf,,ALREADY_CACHED,647327,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc4183_whisp_lopsidedness_context_2011.pdf,TEXT_ALREADY_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc4183_whisp_lopsidedness_context_2011.txt,,False,False,readout_subfamily_source_cache_not_label_acceptance
UGC05716,hi_asymmetry_map,https://astroweb.case.edu/ssm/papers/AAv505p577.pdf,ugc05716_swaters_2009_late_type_dwarf_rotation_shapes.pdf,pdf,,ALREADY_CACHED,1394149,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ugc05716_swaters_2009_late_type_dwarf_rotation_shapes.pdf,TEXT_ALREADY_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ugc05716_swaters_2009_late_type_dwarf_rotation_shapes.txt,,False,False,readout_subfamily_source_cache_not_label_acceptance
