galaxy,split,source_family,endpoint_blind,retrospective_lock,sparc_t_type,log_distance_mpc,inclination_deg,log_l36,log_reff_kpc,log_sbeff,log_rdisk_kpc,log_sbdisk,log_mhi,log_rhi_kpc,log_s4g_scale_to_sparc_rdisk,s4g_bar_present,s4g_bar_to_disk_scale,s4g_component_bulge,s4g_component_disk,s4g_component_edge_disk,s4g_component_nucleus,s4g_component_bar,s4g_model_quality,s4g_global_sersic_n,s4g_global_axis_ratio_q,s4g_global_ellipticity,log_s4g_global_re_to_disk_scale,s4g_global_tmag,log_rhi_kpc__missing,s4g_bar_to_disk_scale__missing,s4g_global_sersic_n__missing,s4g_global_axis_ratio_q__missing,log_s4g_global_re_to_disk_scale__missing,s4g_global_tmag__missing,asymmetry_3p6,asymmetry_error_3p6,asymmetry_4p5,asymmetry_error_4p5,fold
IC2574,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,9.0,1.3635373739972745,75.0,0.0158733491562901,1.1568811967920856,2.7650604558189897,1.0224509277025455,4.386018655943419,0.0353671438372913,2.3804716316511167,0.3321992422937107,0,,0,1,0,0,0,5.0,1.069,0.377,0.75,0.3490545007448223,10.68,0,1,0,0,0,0,0.4900000095367431,0.0099999997764825,0.5699999928474426,0.0099999997764825,4
NGC0024,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,5.0,1.9878743481543455,64.0,1.3581520551736102,0.6981347220709843,5.02157523413459,0.29266961396282,7.075453771354664,-0.3915622029391729,1.986503546020567,0.0415839049506287,1,0.3202432214948277,0,1,0,0,1,5.0,1.088,0.256,0.743,0.3972394637041391,11.33,0,0,0,0,0,0,0.2199999988079071,0.0099999997764825,0.3700000047683716,0.0,2
NGC0055,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,9.0,0.7466879474879751,77.0,1.53212480933143,1.3001916620664788,3.99911771227908,1.809926773183504,5.970215374068808,0.4478858239921165,2.3263016196113617,-0.5880490753982371,0,,0,1,0,0,0,5.0,1.959,0.217,0.809,0.2593406809645532,7.92,0,1,0,0,0,0,0.9700000286102296,0.0099999997764825,1.0,0.0,3
NGC0100,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,6.0,2.6026896854443837,89.0,1.173101140658849,1.0331844833456545,4.174233411906258,0.5068176023684519,7.0846622030745925,0.688134638736401,2.794839331174601,-0.3085165272010077,0,,0,0,1,0,0,4.0,1.062,0.122,0.845,0.8951345769542625,12.9,0,1,0,0,0,0,0.3000000119209289,0.0099999997764825,0.2800000011920929,0.0099999997764825,3
NGC0247,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,7.0,1.308332819650179,74.0,1.9922483299774585,1.7698546338400052,3.5201649007261984,1.3190856114264409,6.228096716602747,0.5573274574174104,2.548663615590751,0.0676607194498885,1,0.6690125171455331,0,1,0,0,1,5.0,1.156,0.294,0.749,0.3997861431624286,8.94,0,0,0,0,0,0,0.4900000095367431,0.0099999997764825,0.2300000041723251,0.0,2
NGC0289,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,4.0,3.0349529867072724,46.0,4.277568489535066,0.9895411936137476,7.370186560230969,1.9080599249242156,4.247923650150401,3.3130580960954563,3.902174669373331,-1.2594099403094283,1,0.6199262337665472,0,1,0,1,1,5.0,2.423,0.658,0.318,0.6963051141174708,10.31,0,0,0,0,0,0,0.2399999946355819,0.050000000745058,0.1500000059604644,0.0199999995529651,4
NGC0300,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,7.0,0.7323678937132266,42.0,1.0722683133285078,0.5709795465857378,4.993895970091958,0.5596157879354227,6.080733789865864,-0.0661398025045449,2.2192034840549946,-0.1314770212006432,0,,0,1,0,0,0,5.0,1.174,0.679,0.291,0.5970973499193715,8.28,0,1,0,0,0,0,0.6100000143051147,0.0099999997764825,0.2599999904632568,0.0,3
NGC1090,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,4.0,3.610917912644224,64.0,4.277290923784897,1.8500283773520307,5.647846842325897,1.2612978709452054,7.6280749215917725,2.17281803493498,3.4173987610001633,0.2544197210755206,0,,1,1,0,0,0,5.0,1.958,0.475,0.559,0.5706990578801273,11.48,0,1,0,0,0,0,0.5400000214576721,0.0099999997764825,0.6200000047683716,0.0099999997764825,3
NGC1705,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,11.0,1.7457155307266483,80.0,-0.6292338548162925,-0.7133498878774648,5.850476853807004,-0.941608539858445,6.375467651916814,-1.973281345851445,0.8586616190375187,-0.196018421483601,0,,0,1,0,1,0,5.0,,,0.323,,,0,1,1,1,1,1,0.449999988079071,0.0399999991059303,0.2599999904632568,0.0199999995529651,1
NGC2683,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,3.0,2.2834022735772717,80.0,4.3872007259476105,1.205970806988609,7.038608087400899,0.7793248768009977,9.2306722709481,0.3407487933884731,2.6239436918052106,0.013507354569808,1,1.7522601219619336,0,1,0,1,1,5.0,1.151,0.28,0.74,0.3107144126595234,8.86,0,0,0,0,0,0,0.4600000083446502,0.0099999997764825,0.6899999976158142,0.0099999997764825,4
