amplitude_policy,split,n_galaxies,matched_beats_wrong_fraction,matched_rank1_fraction,matched_beats_tpg_v6_fraction,matched_beats_mond_fraction,mean_matched_minus_wrong,median_matched_minus_wrong,mean_matched_minus_tpg_v6,median_matched_minus_tpg_v6,mean_matched_minus_mond,median_matched_minus_mond
family_unconstrained,holdout,44,0.8863636363636364,0.29545454545454547,0.4772727272727273,0.4772727272727273,-17.683782764040107,-13.974199559618805,1.295456434467637,0.6449476015984881,0.824211189680875,0.17340059130903462
family_unconstrained,train,131,0.8702290076335878,0.37404580152671757,0.45038167938931295,0.4580152671755725,-16.83760914102908,-11.122740256969614,0.5524846100985327,0.22657097578142782,0.070266291382845,0.3310014380403583
family_attractive_only,holdout,44,0.8863636363636364,0.29545454545454547,0.2727272727272727,0.5,-17.83306577740563,-13.591752568980574,1.0777353062329083,0.0,0.6064900614461463,-0.01483798948003745
family_attractive_only,train,131,0.8854961832061069,0.366412213740458,0.2748091603053435,0.46564885496183206,-16.734956237432566,-10.72433625096777,0.4497763980076349,0.0,-0.03244192070805276,0.26195186490878974
global_unconstrained,holdout,44,0.5909090909090909,0.25,0.5454545454545454,0.5681818181818182,-0.12389926784657167,-0.1300719791512801,-0.09700811802725472,-0.049715782911791795,-0.5682533628140172,-1.7623722719255488
global_unconstrained,train,131,0.549618320610687,0.2748091603053435,0.4580152671755725,0.5572519083969466,-0.05478047407864683,-0.029306669091401005,0.02119501349302387,0.004447093447282668,-0.4610233052226638,-0.7384441518784914
global_attractive_only,holdout,44,0.11363636363636363,0.1590909090909091,0.0,0.5909090909090909,-1.0092936587501423e-16,0.0,0.0,0.0,-0.4712452447867625,-1.491109667426743
global_attractive_only,train,131,0.08396946564885496,0.16793893129770993,0.0,0.5801526717557252,-1.0847980698627483e-16,0.0,0.0,0.0,-0.4822183187156877,-0.8150410088114475
family_shrink_50_to_global,holdout,44,0.8636363636363636,0.29545454545454547,0.4772727272727273,0.6363636363636364,-10.30062133362194,-6.92272541102798,0.45642183403574704,0.2686631544826996,-0.014823410751015453,-0.5040273721667554
family_shrink_50_to_global,train,131,0.816793893129771,0.3511450381679389,0.46564885496183206,0.5572519083969466,-9.71033289892857,-4.443231202879933,0.12409419578737922,0.04675320312080089,-0.35812412292830836,-0.4499872141373853
