subset,n_galaxies,mean_confidence,matched_beats_wrong_fraction,matched_rank1_fraction,matched_beats_tpg_v6_fraction,matched_beats_mond_fraction,mean_matched_minus_wrong,median_matched_minus_wrong,mean_matched_minus_tpg_v6,median_matched_minus_tpg_v6,mean_matched_minus_mond,median_matched_minus_mond
holdout:all,44,0.8386363636363636,0.8863636363636364,0.29545454545454547,0.4772727272727273,0.4772727272727273,-17.683782764040107,-13.974199559618807,1.295456434467637,0.6449476015984881,0.8242111896808747,0.1734005913090346
holdout:confidence_ge_0_75,32,0.9187500000000001,0.90625,0.375,0.53125,0.46875,-18.48829670997853,-10.817397976193163,1.3623264750643251,-0.2088358942036312,0.8904722783275836,0.1734005913090346
holdout:confidence_ge_0_85,30,0.9266666666666669,0.9,0.3333333333333333,0.5,0.4666666666666667,-15.342121630828627,-9.859721369378608,1.684687302926261,0.17490079574954365,1.0742537651385404,0.228813417718082
holdout:confidence_ge_0_95,13,1.0,0.8461538461538461,0.3076923076923077,0.38461538461538464,0.3076923076923077,-23.954573715826072,-16.185973267278385,2.3066185840299727,2.8084410778293893,0.9818323411992255,0.3075458316535702
holdout:no_large_distance_error,26,0.9076923076923078,0.8846153846153846,0.2692307692307692,0.5384615384615384,0.5,-20.746592367127565,-13.974199559618807,0.8566599409111973,-0.2088358942036312,-0.357515896923535,-0.025986162803965457
holdout:no_low_inclination,35,0.8942857142857145,0.9142857142857143,0.3142857142857143,0.5142857142857142,0.5142857142857142,-18.86995172973713,-14.092339200044249,1.4148538514912599,-0.1525595852268324,0.6809050414610417,-0.1567785679812026
holdout:no_manifest_caveat,13,1.0,0.8461538461538461,0.3076923076923077,0.38461538461538464,0.3076923076923077,-23.954573715826072,-16.185973267278385,2.3066185840299727,2.8084410778293893,0.9818323411992255,0.3075458316535702
train:all,131,0.8610687022900763,0.8702290076335878,0.37404580152671757,0.45038167938931295,0.4580152671755725,-16.83760914102908,-11.122740256969614,0.5524846100985327,0.2265709757814278,0.070266291382845,0.3310014380403583
train:confidence_ge_0_75,112,0.9049107142857142,0.8571428571428571,0.375,0.45535714285714285,0.42857142857142855,-16.404072350153776,-8.918237890323555,0.6029361911064068,0.18178323786668835,0.1992819637697832,0.4112838047612133
train:confidence_ge_0_85,89,0.9365168539325842,0.8426966292134831,0.42696629213483145,0.48314606741573035,0.43820224719101125,-14.50933999590947,-9.749255317624542,0.3009597976096766,0.05022563281182,0.2475555570289774,0.3871515887093437
train:confidence_ge_0_95,47,1.0,0.7872340425531915,0.40425531914893614,0.40425531914893614,0.2978723404255319,-13.357420277203406,-8.9558886864695,0.9587870572064215,0.6393217886237732,1.211111938129315,1.1136170612224283
train:no_large_distance_error,83,0.9132530120481928,0.8313253012048193,0.3132530120481928,0.39759036144578314,0.3855421686746988,-16.08627888321061,-8.44593993968185,1.1022435009071565,0.7071521569334589,0.570402873995291,0.8247433621272293
train:no_low_inclination,112,0.8991071428571429,0.8660714285714286,0.35714285714285715,0.44642857142857145,0.41964285714285715,-17.304887660291932,-11.07771062588817,0.6423808353738448,0.2601221937520055,0.21014952300350553,0.4271142626739492
train:no_manifest_caveat,47,1.0,0.7872340425531915,0.40425531914893614,0.40425531914893614,0.2978723404255319,-13.357420277203406,-8.9558886864695,0.9587870572064215,0.6393217886237732,1.211111938129315,1.1136170612224283
