galaxy,support_tier,accepted_population_caveat,n_points,scale_radius_kpc,rmse_tau,rmse_tpg_v6,rmse_mond,tau_minus_tpg_v6,tau_minus_mond,tau_beats_tpg_v6,tau_beats_mond,accepted_endpoint_status,claim_boundary
NGC0100,CAVEATED,edgedisk_component_orientation_caveat;large_distance_error,21,1.2193294483812045,7.301281378337365,7.537919334963079,6.061732881040405,-0.23663795662571374,1.2395484972969602,True,False,NARROW_ACCEPTED_MATCHED_FAMILY_RESULT,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0247,CAVEATED,bar_component_present,26,4.0018082876406345,6.298719315889417,3.866312004062215,5.475417572666649,2.432407311827202,0.8233017432227676,False,False,NARROW_ACCEPTED_MATCHED_FAMILY_RESULT,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC4010,CAVEATED,edgedisk_component_orientation_caveat,12,2.301214530367252,9.585873701638993,10.799199499954586,11.798351296716529,-1.2133257983155925,-2.2124775950775355,True,True,NARROW_ACCEPTED_MATCHED_FAMILY_RESULT,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC4183,CAVEATED,edgedisk_component_orientation_caveat,23,2.5281069868391675,6.841535878389914,6.489693491114096,10.354993594406714,0.35184238727581807,-3.5134577160168003,False,True,NARROW_ACCEPTED_MATCHED_FAMILY_RESULT,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC4559,CAVEATED,bar_component_present;large_distance_error,32,2.1554796680624935,14.39749336852071,15.385306161864646,18.985298676354127,-0.9878127933439362,-4.587805307833417,True,True,NARROW_ACCEPTED_MATCHED_FAMILY_RESULT,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
UGC06930,CAVEATED,bar_component_present;low_inclination,10,2.6808231529361786,7.320750408182532,7.129942401878801,10.615359911067321,0.19080800630373052,-3.2946095028847893,False,True,NARROW_ACCEPTED_MATCHED_FAMILY_RESULT,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
UGC07089,CAVEATED,edgedisk_component_orientation_caveat,12,1.498363762021143,10.233823623212158,11.854626156035648,15.11002549298317,-1.6208025328234896,-4.876201869771011,True,True,NARROW_ACCEPTED_MATCHED_FAMILY_RESULT,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC0300,STRICT,none,25,1.534398989732565,10.938448962424388,9.83189803567648,5.607034629923943,1.106550926747909,5.3314143325004455,False,False,NARROW_ACCEPTED_MATCHED_FAMILY_RESULT,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC3917,STRICT,none,17,3.360628171466791,8.152579974837693,6.899654025227952,6.637702160319162,1.2529259496097405,1.5148778145185302,False,False,NARROW_ACCEPTED_MATCHED_FAMILY_RESULT,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC5585,STRICT,large_distance_error,24,1.5577077456186188,7.174600938353657,7.910184029247681,8.365260361585127,-0.735583090894024,-1.1906594232314704,True,True,NARROW_ACCEPTED_MATCHED_FAMILY_RESULT,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC6015,STRICT,large_distance_error,44,2.7626597230842966,14.401921299004771,13.450865436024902,10.82252972156713,0.9510558629798691,3.57939157743764,False,False,NARROW_ACCEPTED_MATCHED_FAMILY_RESULT,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC6503,STRICT,none,31,0.899249968469682,7.62005223505336,7.537023161651215,4.239120184630891,0.08302907340214549,3.3809320504224694,False,False,NARROW_ACCEPTED_MATCHED_FAMILY_RESULT,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
NGC7793,STRICT,none,46,1.3135069498792606,5.801181281513164,5.722342289485416,6.0568332273601175,0.07883899202774725,-0.25565194584695394,False,True,NARROW_ACCEPTED_MATCHED_FAMILY_RESULT,narrow_accepted_exponential_disk_population_endpoint_preliminary_control
