panel_x,panel_y,source_x,source_y,palette_class,robust_side_class,endpoint_access
89,18,626,560,purple,robust_approaching,False
90,18,627,560,purple,robust_approaching,False
91,18,628,560,purple,robust_approaching,False
92,18,629,560,purple,robust_approaching,False
93,18,630,560,purple,robust_approaching,False
94,18,631,560,purple,robust_approaching,False
95,18,632,560,purple,robust_approaching,False
96,18,633,560,purple,robust_approaching,False
97,18,634,560,purple,robust_approaching,False
98,18,635,560,purple,robust_approaching,False
89,19,626,561,purple,robust_approaching,False
90,19,627,561,purple,robust_approaching,False
91,19,628,561,purple,robust_approaching,False
92,19,629,561,purple,robust_approaching,False
93,19,630,561,purple,robust_approaching,False
94,19,631,561,purple,robust_approaching,False
95,19,632,561,purple,robust_approaching,False
96,19,633,561,purple,robust_approaching,False
97,19,634,561,purple,robust_approaching,False
98,19,635,561,purple,robust_approaching,False
86,20,623,562,purple,robust_approaching,False
87,20,624,562,purple,robust_approaching,False
88,20,625,562,purple,robust_approaching,False
89,20,626,562,purple,robust_approaching,False
90,20,627,562,purple,robust_approaching,False
91,20,628,562,purple,robust_approaching,False
92,20,629,562,purple,robust_approaching,False
93,20,630,562,purple,robust_approaching,False
94,20,631,562,purple,robust_approaching,False
95,20,632,562,purple,robust_approaching,False
96,20,633,562,purple,robust_approaching,False
97,20,634,562,purple,robust_approaching,False
98,20,635,562,purple,robust_approaching,False
86,21,623,563,purple,robust_approaching,False
87,21,624,563,purple,robust_approaching,False
88,21,625,563,purple,robust_approaching,False
89,21,626,563,purple,robust_approaching,False
90,21,627,563,purple,robust_approaching,False
91,21,628,563,purple,robust_approaching,False
92,21,629,563,purple,robust_approaching,False
93,21,630,563,purple,robust_approaching,False
94,21,631,563,purple,robust_approaching,False
95,21,632,563,purple,robust_approaching,False
96,21,633,563,purple,robust_approaching,False
97,21,634,563,purple,robust_approaching,False
98,21,635,563,purple,robust_approaching,False
86,22,623,564,purple,robust_approaching,False
87,22,624,564,purple,robust_approaching,False
88,22,625,564,purple,robust_approaching,False
89,22,626,564,purple,robust_approaching,False
90,22,627,564,purple,robust_approaching,False
91,22,628,564,purple,robust_approaching,False
92,22,629,564,purple,robust_approaching,False
93,22,630,564,purple,robust_approaching,False
94,22,631,564,purple,robust_approaching,False
95,22,632,564,purple,robust_approaching,False
96,22,633,564,purple,robust_approaching,False
97,22,634,564,purple,robust_approaching,False
98,22,635,564,purple,robust_approaching,False
89,23,626,565,purple,robust_approaching,False
90,23,627,565,purple,robust_approaching,False
91,23,628,565,purple,robust_approaching,False
92,23,629,565,purple,robust_approaching,False
93,23,630,565,purple,robust_approaching,False
94,23,631,565,purple,robust_approaching,False
95,23,632,565,purple,robust_approaching,False
96,23,633,565,purple,robust_approaching,False
97,23,634,565,purple,robust_approaching,False
98,23,635,565,purple,robust_approaching,False
89,24,626,566,purple,robust_approaching,False
90,24,627,566,purple,robust_approaching,False
91,24,628,566,purple,robust_approaching,False
92,24,629,566,purple,robust_approaching,False
93,24,630,566,purple,robust_approaching,False
94,24,631,566,purple,robust_approaching,False
95,24,632,566,purple,robust_approaching,False
96,24,633,566,purple,robust_approaching,False
97,24,634,566,purple,robust_approaching,False
98,24,635,566,purple,robust_approaching,False
89,25,626,567,purple,robust_approaching,False
90,25,627,567,purple,robust_approaching,False
91,25,628,567,purple,robust_approaching,False
92,25,629,567,purple,robust_approaching,False
93,25,630,567,purple,robust_approaching,False
94,25,631,567,purple,robust_approaching,False
95,25,632,567,purple,robust_approaching,False
96,25,633,567,purple,robust_approaching,False
97,25,634,567,purple,robust_approaching,False
98,25,635,567,purple,robust_approaching,False
89,26,626,568,purple,robust_approaching,False
90,26,627,568,purple,robust_approaching,False
91,26,628,568,purple,robust_approaching,False
92,26,629,568,purple,robust_approaching,False
93,26,630,568,purple,robust_approaching,False
94,26,631,568,purple,robust_approaching,False
95,26,632,568,purple,robust_approaching,False
96,26,633,568,purple,robust_approaching,False
97,26,634,568,purple,robust_approaching,False
98,26,635,568,purple,robust_approaching,False
100,26,637,568,blue,robust_approaching,False
101,26,638,568,blue,robust_approaching,False
89,27,626,569,purple,robust_approaching,False
90,27,627,569,purple,robust_approaching,False
91,27,628,569,purple,robust_approaching,False
92,27,629,569,purple,robust_approaching,False
93,27,630,569,purple,robust_approaching,False
94,27,631,569,purple,robust_approaching,False
95,27,632,569,purple,robust_approaching,False
96,27,633,569,purple,robust_approaching,False
97,27,634,569,purple,robust_approaching,False
98,27,635,569,purple,robust_approaching,False
100,27,637,569,blue,robust_approaching,False
101,27,638,569,blue,robust_approaching,False
89,28,626,570,purple,robust_approaching,False
90,28,627,570,purple,robust_approaching,False
91,28,628,570,purple,robust_approaching,False
92,28,629,570,purple,robust_approaching,False
93,28,630,570,purple,robust_approaching,False
94,28,631,570,purple,robust_approaching,False
95,28,632,570,purple,robust_approaching,False
96,28,633,570,purple,robust_approaching,False
100,28,637,570,blue,robust_approaching,False
101,28,638,570,blue,robust_approaching,False
89,29,626,571,purple,robust_approaching,False
90,29,627,571,purple,robust_approaching,False
91,29,628,571,purple,robust_approaching,False
92,29,629,571,purple,robust_approaching,False
93,29,630,571,purple,robust_approaching,False
94,29,631,571,purple,robust_approaching,False
95,29,632,571,purple,robust_approaching,False
96,29,633,571,purple,robust_approaching,False
97,29,634,571,blue,robust_approaching,False
98,29,635,571,blue,robust_approaching,False
99,29,636,571,blue,robust_approaching,False
100,29,637,571,blue,robust_approaching,False
101,29,638,571,blue,robust_approaching,False
102,29,639,571,blue,robust_approaching,False
103,29,640,571,blue,robust_approaching,False
104,29,641,571,blue,robust_approaching,False
89,30,626,572,purple,robust_approaching,False
90,30,627,572,purple,robust_approaching,False
91,30,628,572,purple,robust_approaching,False
92,30,629,572,purple,robust_approaching,False
93,30,630,572,purple,robust_approaching,False
94,30,631,572,purple,robust_approaching,False
95,30,632,572,purple,robust_approaching,False
96,30,633,572,purple,robust_approaching,False
97,30,634,572,blue,robust_approaching,False
98,30,635,572,blue,robust_approaching,False
99,30,636,572,blue,robust_approaching,False
100,30,637,572,blue,robust_approaching,False
101,30,638,572,blue,robust_approaching,False
102,30,639,572,blue,robust_approaching,False
103,30,640,572,blue,robust_approaching,False
104,30,641,572,blue,robust_approaching,False
89,31,626,573,purple,robust_approaching,False
90,31,627,573,purple,robust_approaching,False
91,31,628,573,purple,robust_approaching,False
92,31,629,573,purple,robust_approaching,False
93,31,630,573,purple,robust_approaching,False
94,31,631,573,purple,robust_approaching,False
95,31,632,573,purple,robust_approaching,False
96,31,633,573,purple,robust_approaching,False
97,31,634,573,blue,robust_approaching,False
98,31,635,573,blue,robust_approaching,False
99,31,636,573,blue,robust_approaching,False
100,31,637,573,blue,robust_approaching,False
101,31,638,573,blue,robust_approaching,False
102,31,639,573,blue,robust_approaching,False
103,31,640,573,blue,robust_approaching,False
104,31,641,573,blue,robust_approaching,False
89,32,626,574,purple,robust_approaching,False
90,32,627,574,purple,robust_approaching,False
91,32,628,574,purple,robust_approaching,False
92,32,629,574,purple,robust_approaching,False
93,32,630,574,purple,robust_approaching,False
94,32,631,574,purple,robust_approaching,False
95,32,632,574,purple,robust_approaching,False
96,32,633,574,purple,robust_approaching,False
97,32,634,574,blue,robust_approaching,False
98,32,635,574,blue,robust_approaching,False
99,32,636,574,blue,robust_approaching,False
100,32,637,574,blue,robust_approaching,False
101,32,638,574,blue,robust_approaching,False
102,32,639,574,blue,robust_approaching,False
103,32,640,574,blue,robust_approaching,False
104,32,641,574,blue,robust_approaching,False
89,33,626,575,purple,robust_approaching,False
90,33,627,575,purple,robust_approaching,False
91,33,628,575,purple,robust_approaching,False
92,33,629,575,purple,robust_approaching,False
93,33,630,575,purple,robust_approaching,False
94,33,631,575,purple,robust_approaching,False
95,33,632,575,purple,robust_approaching,False
96,33,633,575,purple,robust_approaching,False
97,33,634,575,blue,robust_approaching,False
98,33,635,575,blue,robust_approaching,False
99,33,636,575,blue,robust_approaching,False
100,33,637,575,blue,robust_approaching,False
101,33,638,575,blue,robust_approaching,False
