score_layer,split,inclusion_lane,allowed_use,n_galaxies,median_rmse_prediction,median_minus_wrong_mean,median_minus_tpg_v6,median_minus_mond,beats_wrong_fraction,beats_tpg_v6_fraction,beats_mond_fraction,claim_boundary
L0,holdout,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,28,11.776079048092104,0.09170266491027139,0.14489990582805046,-0.41503033112905685,0.4642857142857143,0.42857142857142855,0.6071428571428571,inclusion_lane_endpoint_analysis_not_validation
L0,holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,2,8.685061834671108,0.10514935949541959,0.1687326121338475,-0.18536089388006663,0.5,0.5,0.5,inclusion_lane_endpoint_analysis_not_validation
L0,holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,14,26.03003171237743,-0.9421594445415304,-0.775788534732933,-0.3326437137405338,0.5714285714285714,0.5714285714285714,0.5714285714285714,inclusion_lane_endpoint_analysis_not_validation
L0,train,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,80,10.162938479849934,-0.22439932488089995,-0.060696141614060097,-0.19506216837460538,0.5875,0.525,0.525,inclusion_lane_endpoint_analysis_not_validation
L0,train,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,17,14.507948156394024,-0.211839767471881,-0.1011487174104974,0.5299823397337633,0.7058823529411765,0.5294117647058824,0.35294117647058826,inclusion_lane_endpoint_analysis_not_validation
L0,train,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,33,21.221268246941147,0.0054231985904831,0.3223919955571404,-0.2980353485315685,0.48484848484848486,0.45454545454545453,0.5757575757575758,inclusion_lane_endpoint_analysis_not_validation
L0,train,STRICT_READY_CANDIDATE,strict_preendpoint_freeze_candidate,1,35.41555148991009,0.0040084188067623,0.3345905350831231,-2.87421334571097,0.0,0.0,1.0,inclusion_lane_endpoint_analysis_not_validation
L1,holdout,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,28,11.46190841540854,-13.784893510161018,1.0272508695227764,0.03146001280786945,0.9285714285714286,0.4642857142857143,0.5,inclusion_lane_endpoint_analysis_not_validation
L1,holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,2,11.02346153040202,-42.10621338905556,2.5071323078647607,2.1530388018508466,1.0,0.5,0.0,inclusion_lane_endpoint_analysis_not_validation
L1,holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,14,25.55105345839067,-12.27650246743915,0.052696894815856155,-0.8346529051966486,0.7857142857142857,0.5,0.5,inclusion_lane_endpoint_analysis_not_validation
L1,train,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,80,10.454660085783296,-15.867050207546441,0.3782566873262492,0.4112838047612133,0.9375,0.4625,0.4375,inclusion_lane_endpoint_analysis_not_validation
L1,train,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,17,17.666260136312292,-3.8543471514900745,2.158220881397096,2.2877286426346037,0.5882352941176471,0.17647058823529413,0.17647058823529413,inclusion_lane_endpoint_analysis_not_validation
L1,train,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,33,20.704633861715266,-7.161680994387883,-0.325123224226326,-0.8862981213813272,0.8484848484848485,0.5454545454545454,0.6363636363636364,inclusion_lane_endpoint_analysis_not_validation
L1,train,STRICT_READY_CANDIDATE,strict_preendpoint_freeze_candidate,1,31.40417997527423,-6.752959116046792,-3.676780979552735,-6.885584860346828,1.0,1.0,1.0,inclusion_lane_endpoint_analysis_not_validation
L2,holdout,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,28,12.969444177475332,,0.11181611186814955,0.8660159476525857,,0.5,0.42857142857142855,inclusion_lane_endpoint_analysis_not_validation
L2,holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,2,23.595489140753063,,15.079159918215808,14.725066412201894,,0.5,0.5,inclusion_lane_endpoint_analysis_not_validation
L2,holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,14,24.487601042762492,,0.41515013164821246,-0.02925315983979984,,0.5,0.5,inclusion_lane_endpoint_analysis_not_validation
L2,train,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,80,12.015502789589366,,0.3745918576515987,0.10424925097194565,,0.425,0.4875,inclusion_lane_endpoint_analysis_not_validation
L2,train,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,17,17.77976533511529,,0.4285828924427797,3.376251510975308,,0.4117647058823529,0.23529411764705882,inclusion_lane_endpoint_analysis_not_validation
L2,train,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,33,22.655356843363,,0.8016295837751279,0.1334578559674994,,0.3939393939393939,0.48484848484848486,inclusion_lane_endpoint_analysis_not_validation
L2,train,STRICT_READY_CANDIDATE,strict_preendpoint_freeze_candidate,1,32.739255123654445,,-2.3417058311725185,-5.550509711966612,,1.0,1.0,inclusion_lane_endpoint_analysis_not_validation
L3,holdout,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,28,12.513331454597921,-4.323680768849266,0.12445781532866951,-0.9502140299745498,0.8214285714285714,0.4642857142857143,0.6785714285714286,inclusion_lane_endpoint_analysis_not_validation
L3,holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,2,8.974257151253134,-24.398326765875943,0.4579279287158746,0.10383442270196064,1.0,0.5,0.5,inclusion_lane_endpoint_analysis_not_validation
L3,holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,14,25.56019835165089,-5.629327810610777,0.028470096755470742,-0.44096746865152625,0.7857142857142857,0.5,0.5,inclusion_lane_endpoint_analysis_not_validation
L3,train,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,80,10.409293889990238,-5.742542358552787,0.0014968590125655,-0.8377718156928604,0.875,0.5,0.575,inclusion_lane_endpoint_analysis_not_validation
