galaxy,turn_on_power_control,n_profile_rows,filled_x_warp_onset,r_hi_kpc,vflat_km_s,max_delta_v2_candidate,median_delta_v2_candidate,normalization_status,accepted_for_endpoint,claim_boundary
NGC4088,1.0,8,0.2823529411764706,22.25295929988883,171.7,8324.015999999998,682.2963934426228,THEORY_CONDITIONAL_FILLED_SOURCE_RULE,False,s4g75_ngc4088_kernel_to_velocity_normalization_candidate_not_endpoint
NGC4088,2.0,8,0.2823529411764706,22.25295929988883,171.7,8324.015999999998,111.85186777747887,THEORY_CONDITIONAL_FILLED_SOURCE_RULE,False,s4g75_ngc4088_kernel_to_velocity_normalization_candidate_not_endpoint
