galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_exponential_disk,x_R_over_RHI,x_w_formula_freeze,kernel_warp_history_min,kernel_warp_history_max,v_exact_b2_min_km_s,v_exact_b2_max_km_s,v_exact_b2_min_cross_caveated_km_s,v_exact_b2_max_cross_caveated_km_s,exact_b2_interval_distance_km_s,exact_b2_cross_caveated_interval_distance_km_s,inside_exact_b2_interval,inside_exact_b2_cross_caveated_interval,v_exact_b2_interval_midpoint_km_s,v_exact_b2_cross_caveated_midpoint_km_s,construction_used_vobs,scoring_used_vobs,endpoint_scores_allowed,point_q_selected_from_residual,claim_boundary
NGC7331,2.67,221.0,20.0,251.97887713060393,265.1063502896858,268.68016137678785,264.5561224375929,0.0988522769344687,0.5343091911302521,0.0,0.0,251.97887713060393,251.97887713060393,251.97887713060393,251.97887713060393,30.978877130603934,30.978877130603934,False,False,251.97887713060393,251.97887713060393,False,True,True,False,ngc7331_b2_exact_transfer_interval_control_audit_not_point_endpoint
NGC7331,3.21,237.0,13.0,264.4347516496272,279.37949567561077,283.3354109425094,278.7012037401586,0.1188448722695297,0.5343091911302521,0.0,0.0,264.4347516496272,264.4347516496272,264.4347516496272,264.4347516496272,27.434751649627174,27.434751649627174,False,False,264.4347516496272,264.4347516496272,False,True,True,False,ngc7331_b2_exact_transfer_interval_control_audit_not_point_endpoint
NGC7331,3.74,249.0,8.0,275.6652313586173,292.27896660661895,296.57393052515783,291.4795850720429,0.1384672343576453,0.5343091911302521,0.0,0.0,275.6652313586173,275.6652313586173,275.6652313586173,275.6652313586173,26.66523135861729,26.66523135861729,False,False,275.6652313586173,275.6652313586173,False,True,True,False,ngc7331_b2_exact_transfer_interval_control_audit_not_point_endpoint
NGC7331,4.27,250.0,5.0,275.8196327856304,294.5692263182532,299.18902747990677,293.6240850440843,0.1580895964457608,0.5343091911302521,0.0,0.0,275.8196327856304,275.8196327856304,275.8196327856304,275.8196327856304,25.819632785630404,25.819632785630404,False,False,275.8196327856304,275.8196327856304,False,True,True,False,ngc7331_b2_exact_transfer_interval_control_audit_not_point_endpoint
NGC7331,4.81,253.0,5.0,273.4442633700696,294.476840639228,299.3825532452616,293.37628425625417,0.1780821917808218,0.5343091911302521,0.0,0.0,273.4442633700696,273.4442633700696,273.4442633700696,273.4442633700696,20.44426337006962,20.44426337006962,False,False,273.4442633700696,273.4442633700696,False,True,True,False,ngc7331_b2_exact_transfer_interval_control_audit_not_point_endpoint
NGC7331,5.35,257.0,5.0,274.51298426486136,297.5784078309312,302.7317801837498,296.33719902557476,0.1980747871158829,0.5343091911302521,0.0,0.0,274.51298426486136,274.51298426486136,274.51298426486136,274.51298426486136,17.51298426486136,17.51298426486136,False,False,274.51298426486136,274.51298426486136,False,True,True,False,ngc7331_b2_exact_transfer_interval_control_audit_not_point_endpoint
NGC7331,5.88,257.0,5.0,269.34129562694244,294.7904266308157,300.1320321160266,293.3891475859498,0.2176971492039985,0.5343091911302521,0.0,0.0,269.34129562694244,269.34129562694244,269.34129562694244,269.34129562694244,12.34129562694244,12.34129562694244,False,False,269.34129562694244,269.34129562694244,False,True,True,False,ngc7331_b2_exact_transfer_interval_control_audit_not_point_endpoint
NGC7331,6.41,257.0,5.0,265.180273078523,292.9437152227955,298.4314013474768,291.3877502934189,0.237319511292114,0.5343091911302521,0.0,0.0,265.180273078523,265.180273078523,265.180273078523,265.180273078523,8.180273078522987,8.180273078522987,False,False,265.180273078523,265.180273078523,False,True,True,False,ngc7331_b2_exact_transfer_interval_control_audit_not_point_endpoint
NGC7331,7.48,257.0,5.0,254.02275984643583,286.682263941798,292.3088850467704,284.8047695158391,0.2769344687152906,0.5343091911302521,0.0,0.0,254.02275984643583,254.02275984643583,254.02275984643583,254.02275984643583,2.9772401535641677,2.9772401535641677,False,False,254.02275984643583,254.02275984643583,False,True,True,False,ngc7331_b2_exact_transfer_interval_control_audit_not_point_endpoint
NGC7331,8.55,255.0,5.0,238.60471041033537,276.58648775475706,282.10138021726743,274.36415812761106,0.3165494261384672,0.5343091911302521,0.0,0.0,238.60471041033537,238.60471041033537,238.60471041033537,238.60471041033537,16.39528958966463,16.39528958966463,False,False,238.60471041033537,238.60471041033537,False,True,True,False,ngc7331_b2_exact_transfer_interval_control_audit_not_point_endpoint
