galaxy,split,formula_family,weighted_matched_beats_wrong,weighted_matched_minus_wrong
CamB,holdout,K_scale_tail_spiral,True,-71.52191729301825
D512-2,train,K_scale_tail_spiral,True,-35.02632407223954
D564-8,train,K_scale_tail_spiral,True,-44.606404456576016
D631-7,train,K_scale_tail_spiral,True,-24.677712217222695
DDO064,train,K_scale_tail_spiral,True,-53.4808780658656
DDO154,train,K_scale_tail_spiral,True,-41.81849757291367
DDO161,train,K_scale_tail_spiral,True,-13.22543305661928
DDO168,train,K_scale_tail_spiral,True,-38.87534208696967
DDO170,train,K_scale_tail_spiral,True,-13.007594706104657
ESO079-G014,train,K_thick_flared,True,-1.6554830730178072
ESO116-G012,holdout,K_exponential_disk,True,-9.106910389288347
ESO444-G084,train,K_scale_tail_spiral,True,-48.75522063734968
ESO563-G021,train,K_thick_flared,False,1.5714550473312698
F561-1,holdout,K_scale_tail_spiral,True,-14.87428044273237
F563-1,holdout,K_scale_tail_spiral,True,-2.0384022315889574
F563-V1,train,K_scale_tail_spiral,True,-19.704981298429008
F563-V2,train,K_scale_tail_spiral,True,-4.859413928496046
F565-V2,train,K_scale_tail_spiral,True,-21.401215114037257
F567-2,train,K_scale_tail_spiral,True,-19.058712296781785
F568-1,holdout,K_thick_flared,False,5.557020561386171
F568-3,train,K_exponential_disk,True,-12.018484484991603
F568-V1,train,K_exponential_disk,False,7.947520426748731
F571-8,train,K_thick_flared,True,-4.6021756135594245
F571-V1,train,K_scale_tail_spiral,True,-16.578925236194518
F574-1,train,K_exponential_disk,True,-4.058149709127759
F574-2,train,K_scale_tail_spiral,True,-13.904381001984405
F579-V1,train,K_thick_flared,True,-3.2352057426694962
F583-1,train,K_scale_tail_spiral,True,-24.78647686967858
F583-4,train,K_thick_flared,True,-26.296447346772037
IC2574,holdout,K_scale_tail_spiral,True,-14.226488262121043
IC4202,holdout,K_compact_finite,True,-0.6675836979730754
KK98-251,train,K_scale_tail_spiral,True,-51.93283863483363
NGC0024,holdout,K_thick_flared,True,-18.064487766012082
NGC0055,train,K_scale_tail_spiral,True,-8.218543723706114
NGC0100,train,K_exponential_disk,True,-16.93410204784776
