line,velocity_km_s,channel_index_zero_based,held_path,lambda,fractional_squared_residual_improvement,wrong_source_reflection_improvement,model_rss,background_plane_rss
CO54,-202.00000100044525,38,0,100.0,0.009274780449454956,0.006773873419558707,9.912102390209366e-06,1.0004895600322071e-05
CO54,-202.00000100044525,38,1,100.0,-0.0018326017209275847,0.0007579957308697649,9.432718577898265e-06,9.415463782766635e-06
CO54,-202.00000100044525,38,2,100.0,0.005967652858024142,0.0049792162978828935,1.1548310158726502e-05,1.1617640202484354e-05
CO54,-202.00000100044525,38,3,100.0,-0.003252845180727215,-0.007045163601790083,1.2591343577193379e-05,1.255051868297982e-05
CO54,-181.00000100038537,39,0,100.0,0.00799426371429468,0.0072089586569502595,1.0179769809781742e-05,1.0261805388240104e-05
CO54,-181.00000100038537,39,1,100.0,0.0003289989534949189,-0.0026173955643635782,1.042619881458176e-05,1.0429630151987102e-05
CO54,-181.00000100038537,39,2,100.0,0.023068069604854857,0.020494727376875854,1.1956624734591957e-05,1.2238953772097298e-05
CO54,-181.00000100038537,39,3,100.0,0.01199858582118829,0.0052213718112389396,1.037620840157282e-05,1.0502220191857844e-05
CO54,-160.00000100039207,40,0,100.0,9.434391380336304e-05,-0.0019632968165808062,1.1653443790218609e-05,1.1654543325449522e-05
CO54,-160.00000100039207,40,1,100.0,-0.007984107044682665,-0.010704518302968813,8.061086065543108e-06,7.997235282982264e-06
CO54,-160.00000100039207,40,2,100.0,0.013612967876766247,0.015878400262879122,1.1184893486005592e-05,1.1339254391787476e-05
CO54,-160.00000100039207,40,3,100.0,0.0011566824488796756,0.008926944637491885,9.610617350534657e-06,9.62174665601924e-06
CO54,-139.00000100039875,41,0,100.0,0.005759180985364654,0.01094788933092028,1.11348858257256e-05,1.119938511150757e-05
CO54,-139.00000100039875,41,1,100.0,0.006737999271179795,-0.0030604302621708435,1.2216809769605482e-05,1.2299685038430165e-05
CO54,-139.00000100039875,41,2,100.0,0.004805775685726266,-0.004084585798686424,1.0533587616200641e-05,1.0584454128498062e-05
CO54,-139.00000100039875,41,3,100.0,0.0059942477564161045,-0.0032064865442495982,1.0090877334698482e-05,1.0151729315370887e-05
CO54,-118.0000010003389,42,0,100.0,0.0016497936528480084,-0.0007553993880013987,9.920420105208708e-06,9.936813797541424e-06
CO54,-118.0000010003389,42,1,100.0,0.003699328808919211,0.002348128494514823,9.624730405170375e-06,9.660467651461058e-06
CO54,-118.0000010003389,42,2,100.0,0.0067325724240895335,0.00671050106613591,1.1201029187323768e-05,1.1276952083951962e-05
CO54,-118.0000010003389,42,3,100.0,-0.01108527151184835,-0.008531643326497917,9.079998419221567e-06,8.980447717969912e-06
CO54,-97.00000100034559,43,0,100.0,-0.006792786624103542,-0.001327058769229339,9.853625588246875e-06,9.787143610044385e-06
CO54,-97.00000100034559,43,1,100.0,0.004618060148541159,0.0017910983143243353,1.0719263876724955e-05,1.0768995746823169e-05
CO54,-97.00000100034559,43,2,100.0,0.003449998259566045,0.006340941232049979,1.0777711735491717e-05,1.081502354790917e-05
CO54,-97.00000100034559,43,3,100.0,0.00630340024195275,0.002749403806324713,1.0239538509135197e-05,1.0304491845527495e-05
CO54,-76.00000100035228,44,0,100.0,0.00014273291662325605,0.00011553246980777754,9.355154396646412e-06,9.356489875735732e-06
CO54,-76.00000100035228,44,1,100.0,-0.0006637165520089194,-0.0040966563877196105,7.485283120094362e-06,7.480318309018371e-06
CO54,-76.00000100035228,44,2,100.0,0.002000451545934867,0.005329677063910188,9.149273067497825e-06,9.16761243195987e-06
CO54,-76.00000100035228,44,3,100.0,0.00025010265563008005,0.00020444461550261916,9.058237371948854e-06,9.060503427917522e-06
CO54,-55.000001000358985,45,0,100.0,0.001860789955543063,0.007686918398264964,9.755103440008431e-06,9.773289478903389e-06
CO54,-55.000001000358985,45,1,100.0,0.0077424350890769045,0.004424080496407745,7.726522284550037e-06,7.786811164542406e-06
CO54,-55.000001000358985,45,2,100.0,0.014639525514797191,0.011651394037052398,7.656244113842699e-06,7.769993126467417e-06
CO54,-55.000001000358985,45,3,100.0,0.011569915925243923,0.013778357215977532,7.247566272298034e-06,7.33240154166523e-06
CO54,-34.000001000299115,46,0,100.0,0.024654403341311748,0.030853580649637724,8.308319453980315e-06,8.51833389358882e-06
CO54,-34.000001000299115,46,1,100.0,-0.0038187223519248192,0.002637403928303028,7.455632990447165e-06,7.427270307310848e-06
CO54,-34.000001000299115,46,2,100.0,0.009575794160932793,0.010567427956310715,9.90648872751263e-06,1.0002268390765001e-05
CO54,-34.000001000299115,46,3,100.0,0.03486486723840432,0.03396855887588435,7.635511637462546e-06,7.91133943659747e-06
CO54,-13.00000100030581,47,0,100.0,0.015989522019506874,0.0026961466833956838,7.959004533164166e-06,8.088333113584938e-06
CO54,-13.00000100030581,47,1,100.0,0.025533507363674768,0.02874548695810708,9.519539530392627e-06,9.768975744500387e-06
CO54,-13.00000100030581,47,2,100.0,0.02609357479203589,0.040073131463007505,7.452607637167864e-06,7.65228305745746e-06
CO54,-13.00000100030581,47,3,100.0,0.04482296227538529,0.052815592911389375,1.0910338961191469e-05,1.142232123500545e-05
CO54,7.999998999687493,48,0,100.0,0.0007742138008758337,8.836397724965028e-05,7.737888359225253e-06,7.74388378092082e-06
CO54,7.999998999687493,48,1,100.0,0.007958849761219633,0.044927898718232884,8.871825731146467e-06,8.943001738396693e-06
CO54,7.999998999687493,48,2,100.0,0.050741279984161114,0.06168281043890511,7.019986550675576e-06,7.395229985939391e-06
CO54,7.999998999687493,48,3,100.0,0.05725519108795729,0.05935221352951903,1.2277857911126731e-05,1.3023522161098684e-05
CO54,28.99999899971408,49,0,100.0,0.03647758208254104,0.035387101664213216,7.67824525105596e-06,7.968932645751605e-06
CO54,28.99999899971408,49,1,100.0,0.11066613825540894,0.10301749725031639,7.211275089914634e-06,8.108625343207329e-06
CO54,28.99999899971408,49,2,100.0,0.029971709702614535,0.036618568032643406,8.418058340291455e-06,8.678157559415815e-06
CO54,28.99999899971408,49,3,100.0,0.07988663884562597,0.07168654847884615,1.063718713431845e-05,1.1560735430439828e-05
CO54,49.99999899970738,50,0,100.0,-0.010094415333205209,0.008429932068473645,7.2186480624992606e-06,7.146508240141103e-06
CO54,49.99999899970738,50,1,100.0,0.05078991714927372,0.055790737387252376,7.453335053099795e-06,7.852144838912245e-06
CO54,49.99999899970738,50,2,100.0,0.028057719599665853,0.035474155713868805,8.409252047352936e-06,8.652007652027693e-06
CO54,49.99999899970738,50,3,100.0,0.06757971184414335,0.08831752802984683,1.0701859935047693e-05,1.1477506518239602e-05
CO54,70.99999899973398,51,0,100.0,0.04013125750229851,0.042423246537231396,7.472654682926432e-06,7.78507972192284e-06
CO54,70.99999899973398,51,1,100.0,0.09612532656769246,0.09051113002181066,7.793150247024792e-06,8.621936730931572e-06
CO54,70.99999899973398,51,2,100.0,0.02572618079898803,0.05428545846177102,9.001112347814756e-06,9.238791159549417e-06
CO54,70.99999899973398,51,3,100.0,0.08629702914891624,0.1111404145227547,8.065413601647765e-06,8.82717235135517e-06
CO54,91.99999899976055,52,0,100.0,0.024438599179870346,0.021840596376268784,6.143355279120525e-06,6.297251279064508e-06
CO54,91.99999899976055,52,1,100.0,0.13373065382939642,0.1256829551827202,6.168984996586373e-06,7.121324359284727e-06
CO54,91.99999899976055,52,2,100.0,0.02514360201045618,0.017353060664155984,7.345046996732455e-06,7.534491245972452e-06
CO54,91.99999899976055,52,3,100.0,0.09117021043346307,0.08580201956965672,7.505468425010408e-06,8.258387336302119e-06
CO54,112.99999899975386,53,0,100.0,0.022469171037342472,0.009418297268043885,8.502949121710762e-06,8.6983948431928e-06
CO54,112.99999899975386,53,1,100.0,0.08333345790095581,0.0686679491677703,8.535152668582539e-06,9.311076903754093e-06
CO54,112.99999899975386,53,2,100.0,0.04600382270860226,0.04101384533158603,9.279458217157704e-06,9.726934381963773e-06
CO54,112.99999899975386,53,3,100.0,0.06940088428757696,0.06460359413210481,7.919148419877405e-06,8.509731296934316e-06
CO54,133.99999899978044,54,0,100.0,0.020991547995150017,0.017587113919909303,7.644968955736019e-06,7.808889637347223e-06
CO54,133.99999899978044,54,1,100.0,0.11780087204764134,0.105961724630934,7.056350115626776e-06,7.998591125344934e-06
CO54,133.99999899978044,54,2,100.0,0.09677869812101747,0.09912209291360197,8.935420602472894e-06,9.892836433202392e-06
CO54,133.99999899978044,54,3,100.0,0.09213357447769144,0.11027064140234677,8.731017171525535e-06,9.617072430564282e-06
CO54,154.99999899977374,55,0,100.0,0.06534431828523068,0.06361836631702622,5.972608127478772e-06,6.3901693899951545e-06
CO54,154.99999899977374,55,1,100.0,0.061410912286570696,0.06710356717653809,6.69850897430272e-06,7.136785481516182e-06
CO54,154.99999899977374,55,2,100.0,0.0655880315421169,0.06516529379597824,7.194608426840844e-06,7.699610738842038e-06
CO54,154.99999899977374,55,3,100.0,0.027082657753157657,0.04744838434985532,6.122329598867712e-06,6.292754104607577e-06
CO54,175.99999899980034,56,0,100.0,0.04457020732253203,0.043049232241785584,6.495272794096363e-06,6.798273241924144e-06
CO54,175.99999899980034,56,1,100.0,0.04744617341173352,0.03508675344601064,8.050779040624439e-06,8.4517838424519e-06
CO54,175.99999899980034,56,2,100.0,0.05144371922534108,0.052923794642606437,7.932080291437881e-06,8.362266374916601e-06
CO54,175.99999899980034,56,3,100.0,-0.00887324178869231,-0.012604743493793258,6.200006301646673e-06,6.1454760071288114e-06
CO54,196.99999899979363,57,0,100.0,-0.010776465897118115,0.004004633945821512,6.286890807447597e-06,6.219862669504919e-06
CO54,196.99999899979363,57,1,100.0,0.03925461630251248,0.036391133895394945,7.370854075514466e-06,7.672016124758552e-06
CO54,196.99999899979363,57,2,100.0,0.045474322958844016,0.04191162630468326,7.74061807997446e-06,8.10938696166757e-06
CO54,196.99999899979363,57,3,100.0,0.028823791801483756,0.025402721214056623,5.397996651325765e-06,5.5582052008242476e-06
CO87,-201.9999994453666,38,0,100.0,0.0047173691827695485,0.0031733553397121916,6.111626929596037e-06,6.140594380289503e-06
CO87,-201.9999994453666,38,1,100.0,-0.003222595552334173,-0.008486896374267916,6.311919715123993e-06,6.29164429021747e-06
CO87,-201.9999994453666,38,2,100.0,-0.002648827425830058,-0.0036967708849930947,7.682318832837414e-06,7.66202345497253e-06
CO87,-201.9999994453666,38,3,100.0,-0.005514904494243744,-0.007077390667787675,5.837853607887551e-06,5.80583498245e-06
CO87,-180.9999994453067,39,0,100.0,0.009373278767352056,0.007704603317418068,5.1974615135826564e-06,5.246639730367254e-06
CO87,-180.9999994453067,39,1,100.0,-0.0021890549496219602,-0.0033071837342339983,5.9764076275096435e-06,5.963353518972591e-06
CO87,-180.9999994453067,39,2,100.0,0.005816945631204717,0.00580782134004576,6.939053558620872e-06,6.979653825448134e-06
CO87,-180.9999994453067,39,3,100.0,-0.026768982258074336,-0.030320625151696534,5.984727359448159e-06,5.828699018825562e-06
CO87,-159.99999944531342,40,0,100.0,0.02369808447434807,0.019790875700258503,6.924940928741555e-06,7.093032205117706e-06
CO87,-159.99999944531342,40,1,100.0,0.002529216472275886,0.001813075972229794,4.350746622622642e-06,4.361778504665059e-06
CO87,-159.99999944531342,40,2,100.0,0.021818232537359816,0.019013891357538726,8.172878117230796e-06,8.355173229645117e-06
CO87,-159.99999944531342,40,3,100.0,-0.06041084451291656,-0.05962197158297511,6.096484963878084e-06,5.749172592325205e-06
CO87,-138.99999944532013,41,0,100.0,0.01983154918899166,0.0265526873338372,5.402587933189515e-06,5.511897397553778e-06
CO87,-138.99999944532013,41,1,100.0,0.007992589167873598,0.010385492949731678,4.025158464571535e-06,4.0575891073183695e-06
CO87,-138.99999944532013,41,2,100.0,0.0181024668251607,0.015054339113219295,6.908915211575145e-06,7.036289407140129e-06
CO87,-138.99999944532013,41,3,100.0,-0.034471881433080664,-0.03504431679008757,4.919068696512458e-06,4.755149738529331e-06
CO87,-117.99999944539339,42,0,100.0,0.01988787487636745,0.01748502286199005,5.209983940098774e-06,5.315701955469207e-06
CO87,-117.99999944539339,42,1,100.0,-0.003431688421370538,-0.007476628412072639,5.8485511353907554e-06,5.8285493700043244e-06
CO87,-117.99999944539339,42,2,100.0,0.018194417240363858,0.009337464722102728,5.497878272721663e-06,5.5997626915792795e-06
CO87,-117.99999944539339,42,3,100.0,-0.0032778569713696193,-0.005538003037742767,4.586455969014893e-06,4.571471339814267e-06
CO87,-96.99999944540008,43,0,100.0,0.016551175078084013,0.011883344145315,5.29063042769591e-06,5.379670292570614e-06
CO87,-96.99999944540008,43,1,100.0,-0.0059060809520967705,-0.0020059400603367195,6.742403780126375e-06,6.702816403838264e-06
CO87,-96.99999944540008,43,2,100.0,0.021105661722032543,0.016163425502515816,6.3053639211632416e-06,6.441312074861308e-06
CO87,-96.99999944540008,43,3,100.0,0.0163909716516758,0.011743307789637947,5.963724008003649e-06,6.063104176684848e-06
CO87,-75.99999944540677,44,0,100.0,-0.011542382999648604,-0.011703996242563797,6.263085100393649e-06,6.191619061794492e-06
CO87,-75.99999944540677,44,1,100.0,0.012611981653274484,0.016283400534714998,6.557185201986068e-06,6.640940623287455e-06
CO87,-75.99999944540677,44,2,100.0,0.027769802875301952,0.027291749919541974,6.050499127636664e-06,6.223319482907018e-06
CO87,-75.99999944540677,44,3,100.0,0.025380832237180018,0.02503675901340241,8.129653904435698e-06,8.341364682060207e-06
CO87,-54.9999994453469,45,0,100.0,-0.005711430110755922,-0.00859167510076242,6.6916177434413915e-06,6.653616080215439e-06
CO87,-54.9999994453469,45,1,100.0,0.04047353677850063,0.03362002909407369,5.172994893179156e-06,5.391195648540451e-06
CO87,-54.9999994453469,45,2,100.0,0.015872817852834786,0.01158841335603955,5.5691109309868665e-06,5.6589341621844035e-06
CO87,-54.9999994453469,45,3,100.0,0.03441476764875506,0.0282055262153017,6.598905610921261e-06,6.834099559344564e-06
CO87,-33.9999994453536,46,0,100.0,0.003354685805032842,-0.0012975200666227593,5.332937013506818e-06,5.35088756004884e-06
CO87,-33.9999994453536,46,1,100.0,0.03521704764874678,0.03218687050833946,5.603022116083919e-06,5.807546767310622e-06
CO87,-33.9999994453536,46,2,100.0,0.023834504934680534,0.011164525760976374,6.316793300546673e-06,6.4710270261335025e-06
CO87,-33.9999994453536,46,3,100.0,0.03893526425436267,0.015906456750621634,5.046075095621447e-06,5.25050489102222e-06
CO87,-12.999999445360299,47,0,100.0,0.004042939781471855,0.004808072442706202,5.7055788768919385e-06,5.728739827036366e-06
CO87,-12.999999445360299,47,1,100.0,0.04760568428298917,0.05314673841190576,4.9252827913020325e-06,5.171474367309752e-06
CO87,-12.999999445360299,47,2,100.0,0.042864887911223226,0.034410231087040444,4.734257987532429e-06,4.946279713008077e-06
CO87,-12.999999445360299,47,3,100.0,0.0725532586955252,0.06549234362707512,4.524696282965952e-06,4.878658882990806e-06
CO87,8.000000554633004,48,0,100.0,0.029468923598530816,0.022979951518315334,6.137138237015989e-06,6.323484519188446e-06
CO87,8.000000554633004,48,1,100.0,0.08897210979426451,0.08178392832606507,5.153814603090363e-06,5.657142507378658e-06
CO87,8.000000554633004,48,2,100.0,0.02095153165170005,0.015229947740287075,4.358552935894675e-06,4.451825498739358e-06
CO87,8.000000554633004,48,3,100.0,0.1200245235540015,0.11359415302583109,5.068426505828059e-06,5.759736085257932e-06
CO87,29.000000554626308,49,0,100.0,0.014968371966328275,0.016023665707419976,7.335272323035652e-06,7.4467378653398e-06
CO87,29.000000554626308,49,1,100.0,0.10925230185143109,0.08322198140732195,5.289865842464508e-06,5.938680339516527e-06
CO87,29.000000554626308,49,2,100.0,0.009237404107967584,-0.020824712779258236,4.666780508915498e-06,4.7102913738015765e-06
CO87,29.000000554626308,49,3,100.0,0.09432231628502741,0.08139644438992855,8.005267302088198e-06,8.838980407744649e-06
CO87,50.00000055461961,50,0,100.0,-0.0031532274874666033,0.006790557961528831,7.210524167832839e-06,7.187859212587667e-06
CO87,50.00000055461961,50,1,100.0,0.09371869344010986,0.07591008512480302,5.767729775525116e-06,6.364171625053777e-06
CO87,50.00000055461961,50,2,100.0,0.039813741467900954,0.027706672104081287,5.083057511201719e-06,5.293824470027856e-06
CO87,50.00000055461961,50,3,100.0,0.08315554664194325,0.07408890241337673,8.087240974509538e-06,8.820733925900966e-06
CO87,71.00000055461291,51,0,100.0,-0.008769791313619546,-0.002524070300202519,6.283529573184509e-06,6.2289033903385426e-06
CO87,71.00000055461291,51,1,100.0,0.09285584393863688,0.09870628483068633,5.996185745964468e-06,6.609959074199074e-06
CO87,71.00000055461291,51,2,100.0,0.02974794671573089,0.03266192532785528,6.227698665159186e-06,6.418640026659717e-06
CO87,71.00000055461291,51,3,100.0,0.08224461166971697,0.07662562593801547,6.803075615450803e-06,7.412732959081797e-06
CO87,92.00000055457294,52,0,100.0,0.03823424901956807,0.038300192222462504,6.1477131240336875e-06,6.3921106753558835e-06
