ybulge,group_key,n_groups,total_points,mean_delta_tau_minus_v6,median_delta_tau_minus_v6,improvement_fraction
0.3,bulge_presence,2,835,0.18909650525,0.18909650525,0.0
0.3,radius_bin,4,835,0.004220638246249964,1.48369151929,0.25
0.3,type_bin,4,835,0.09611224741499999,0.132896743141,0.25
0.5,bulge_presence,2,835,0.0969220265805,0.0969220265805,0.0
0.5,radius_bin,4,835,0.053882393662500014,0.3213814786495,0.25
0.5,type_bin,4,835,0.0846319598625,0.085267847918,0.25
0.7,bulge_presence,2,835,-0.189674137186,-0.189674137186,0.5
0.7,radius_bin,4,835,-0.20664653095175,-0.191561994213,1.0
0.7,type_bin,4,835,-0.20855490003575,-0.1423232046025,0.75
0.9,bulge_presence,2,835,-0.752426676468,-0.752426676468,0.5
0.9,radius_bin,4,835,-0.97104182769575,-0.3272169007145,0.75
0.9,type_bin,4,835,-0.9844003608045,-0.464361327484,0.75
1.1,bulge_presence,2,835,-1.478862287663,-1.478862287663,0.5
1.1,radius_bin,4,835,-1.9273354927019999,-0.12308313575600001,0.75
1.1,type_bin,4,835,-1.997548526892,-0.7870955981195,0.75
