galaxy,split,formula_family,weight_source,claim_boundary,w_K_compact_finite,w_K_scale_tail_spiral,w_K_exponential_disk,w_K_thick_flared,dominant_mixture_family,hard_family_is_dominant
CamB,holdout,K_scale_tail_spiral,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.028854660115933666,0.6644715626608219,0.08656398034780101,0.22010979687544335,K_scale_tail_spiral,True
ESO116-G012,holdout,K_exponential_disk,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.04001530688417916,0.11966324854805832,0.720275523915225,0.1200459206525375,K_exponential_disk,True
F561-1,holdout,K_scale_tail_spiral,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.04292561831777288,0.8282975267289086,0.12877685495331867,0.0,K_scale_tail_spiral,True
F563-1,holdout,K_scale_tail_spiral,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.03196248307140759,0.7762626185001468,0.03196248307140759,0.15981241535703794,K_scale_tail_spiral,True
F568-1,holdout,K_thick_flared,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.055649415733650606,0.16525876399524095,0.16694824720095183,0.6121435730701567,K_thick_flared,True
IC2574,holdout,K_scale_tail_spiral,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.029959597758694057,0.7007293049832501,0.029959597758694057,0.23935149949936171,K_scale_tail_spiral,True
IC4202,holdout,K_compact_finite,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.7776680246460749,0.05861239121790952,0.04092989603400394,0.12278968810201182,K_compact_finite,True
NGC0024,holdout,K_thick_flared,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.05024316266475914,0.09562307203433547,0.15072948799427743,0.703404277306628,K_thick_flared,True
NGC2683,holdout,K_thick_flared,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.17828187630376896,0.18420184158147462,0.04250108547431709,0.5950151966404392,K_thick_flared,True
NGC3726,holdout,K_thick_flared,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.05523713408073387,0.11620585470825799,0.16571140224220163,0.6628456089688065,K_thick_flared,True
NGC3949,holdout,K_thick_flared,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.06423402841375975,0.10072360220736336,0.06423402841375975,0.7708083409651171,K_thick_flared,True
NGC3972,holdout,K_thick_flared,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.056418662032027944,0.09730140748755291,0.056418662032027944,0.7898612684483912,K_thick_flared,True
NGC4013,holdout,K_compact_finite,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.7641221041362604,0.0680375715631367,0.041960081075150715,0.12588024322545216,K_compact_finite,True
NGC4088,holdout,K_thick_flared,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.056156338245941656,0.10149858806493343,0.056156338245941656,0.7861887354431832,K_thick_flared,True
NGC4183,holdout,K_exponential_disk,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.03013038328774594,0.2047222437800898,0.5423468991794269,0.22280047375273737,K_exponential_disk,True
NGC4214,holdout,K_scale_tail_spiral,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.03900856720417496,0.8439657311833,0.11702570161252489,0.0,K_scale_tail_spiral,True
NGC4389,holdout,K_thick_flared,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.06575441228593686,0.0794382279968839,0.06575441228593686,0.7890529474312423,K_thick_flared,True
NGC5907,holdout,K_thick_flared,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.04270752999801228,0.23126446003577902,0.12812258999403686,0.597905419972172,K_thick_flared,True
NGC5985,holdout,K_compact_finite,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.7774028016606691,0.0535107793497328,0.04227160474739954,0.12681481424219865,K_compact_finite,True
NGC6789,holdout,K_scale_tail_spiral,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.034217540808645634,0.6779312122049573,0.10265262242593691,0.18519862456046013,K_scale_tail_spiral,True
NGC6946,holdout,K_compact_finite,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.74060283162786,0.06450168636480838,0.1948954820073316,0.0,K_compact_finite,True
NGC7331,holdout,K_thick_flared,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.18177256564087918,0.08090085858509788,0.04915510505160153,0.6881714707224216,K_thick_flared,True
UGC00731,holdout,K_scale_tail_spiral,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.030303030303030304,0.7575757575757576,0.030303030303030304,0.1818181818181818,K_scale_tail_spiral,True
UGC00891,holdout,K_scale_tail_spiral,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.028571428571428574,0.7142857142857143,0.028571428571428574,0.22857142857142856,K_scale_tail_spiral,True
UGC02023,holdout,K_scale_tail_spiral,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.04374568544130469,0.8250172582347813,0.13123705632391408,0.0,K_scale_tail_spiral,True
UGC02259,holdout,K_exponential_disk,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.035323178325333784,0.136171263249062,0.6358172098560082,0.192688348569596,K_exponential_disk,True
UGC03580,holdout,K_compact_finite,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.7831853661299899,0.07441729457364839,0.03559933482409045,0.10679800447227136,K_compact_finite,True
UGC04305,holdout,K_scale_tail_spiral,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.0339252609227084,0.6764113567980837,0.10177578276812523,0.1878875995110826,K_scale_tail_spiral,True
UGC04499,holdout,K_scale_tail_spiral,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.03266614865679658,0.6080062161184411,0.16333074328398292,0.1959968919407795,K_scale_tail_spiral,True
UGC05414,holdout,K_scale_tail_spiral,available_data_residual_blind_morphology_proxy,readout_mixture_proxy_not_accepted_tau_side_state_not_endpoint,0.0339728094686604,0.6766586092370341,0.10191842840598121,0.18745015288832428,K_scale_tail_spiral,True
