radius_arcsec,annulus_inner_arcsec,annulus_outer_arcsec,halpha_approaching_lower_radius_arcsec,halpha_approaching_upper_radius_arcsec,halpha_approaching_lower_weight,halpha_approaching_upper_weight,halpha_receding_lower_radius_arcsec,halpha_receding_upper_radius_arcsec,halpha_receding_lower_weight,halpha_receding_upper_weight,endpoint_access
42.0,21.0,63.0,39.1,42.5,0.1470588235294118,0.8529411764705882,38.2,42.3,0.07317073170731647,0.9268292682926835,False
84.0,63.0,105.0,82.1,86.7,0.5869565217391299,0.41304347826087,82.3,84.9,0.34615384615384726,0.6538461538461527,False
