radius_arcsec,delta_odd_los_km_s,measurement_sigma_km_s
20.0,-12.521318035514152,11.606850886682675
40.0,-1.294308700382054,11.044311908273247
60.0,-5.402704639190918,11.079256160328445
80.0,1.5700959017642453,9.372103223432308
